id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context,health_behaviour,coping_strategies
8,детство,"родительская семья, развод родителей","В четвертом классе родители развелись, переезд к отчиму. Отношения с родственниками сложные, но со временем налаживаются.","Мама как раз четвертый класс, я закончил, родители развелись, мы переехали к отчиму.","спокойствие, некоторая отстраненность","семья, адаптация","Развод родителей — частый опыт для поколения 1990-х, влияет на структуру семьи и отношения с родственниками.",узел,семья,,,True,,
9,"детство, подростковый возраст","летние каникулы, ранний трудовой опыт","Каждое лето проводил у бабушки, работал в огороде, играл с другими детьми. С ранних лет работал помощником на комбайне, зарабатывал деньги, покупал вещи на заработанное.","Восьмой, девятый класс я работал помощником на комбайне с дядей. Десятый класс я работал старшим на комбайне сам.","гордость, удовлетворение","трудолюбие, самостоятельность, коллективизм","Ранний трудовой опыт типичен для сельских и малых городов, формирует самостоятельность и ценность труда.",эпизод,,ранний труд,,True,,
10,"детство, подростковый возраст",отношение к учебе и мечтам,"Учеба в школе не вызывала интереса, не было мечты о профессии. С шестого класса увлекался техникой, водил транспорт с ранних лет.","Я не хотел быть ни космонавтом, ни кем... Моя жизнь шестого класса связана с техникой. Мне вот это нравилось.","безразличие к учебе, интерес к технике","практичность, интерес к технике","Отсутствие ярко выраженных мечтаний о профессии характерно для прагматичных подростков, ориентированных на реальные навыки.",декларация,,,,True,,
11,молодость,"волонтерский опыт, путешествия","В молодости работал волонтером, много ездил по стране, знакомился с разными людьми, получал удовольствие от поездок и новых знакомств.","Я тогда успел с людьми... В основном приезжали молодежь, которые то с Сибири приедут, а никогда в жизни моря не видят.","энтузиазм, открытость","общительность, мобильность, познание мира","Волонтерство и мобильность — важные элементы самоидентификации для молодых людей, расширяют социальный круг и опыт.",эпизод,,,,True,,
12,училище,роль преподавателей в мотивации,"Интерес к учебе в училище связан с личностью преподавателей и их подходом. Практическое применение знаний осознал позже, помогает детям с учебой.","Поэтому, наверное, больше зависело от преподавателей. Как они это преподнесут?","благодарность, осознанность","образование, практичность, поддержка",Влияние педагогов на образовательную мотивацию — ключевой фактор для профессионального самоопределения.,декларация,училище,,,True,,
13,зрелость,"трудовая мобильность, опыт на стройках","Работал на стройках, быстро осваивал новые навыки, переходил на более высокие позиции, сталкивался с рисками и нестабильностью рынка труда.","Я месяц отработал, я получил деньги, посмотрел, сколько я получил, я посмотрел, Сколько они получили? А я что не умею? Дайте мне сюда шпатель.","инициативность, уверенность","саморазвитие, предприимчивость, адаптивность","Строительный рынок 2000-х — сфера высокой мобильности и неформальных практик, где ценится способность быстро учиться и договариваться.",эпизод,,"строительство, неформальный рынок",,True,,
14,зрелость,"переезд, смена среды, адаптация","После работы на стройках в Сочи и Волгограде переезжает к будущей жене, отмечает разницу в ритме жизни и трудовой культуре.",Я приехал сюда к ней. И жизнь остановилась. Тут вообще город такой. И люди тормознутые. И город весь какой-то. У меня вообще мозг атрофировался.,"раздражение, фрустрация","динамика, активность","Переезд из динамичной среды в более спокойную воспринимается как потеря темпа и возможностей, что вызывает внутренний конфликт.",перелом,,,False,True,,
1,Период жизни в Сочи,Отношение к деньгам и стилю жизни,"Респондент вспоминает период жизни в Сочи как время, когда он позволял себе жить на широкую ногу, не задумываясь о накоплениях. Сейчас он сожалеет о том, что не был более экономным, и отмечает, что стал осторожнее в обращении с деньгами.","Я жил шикарно, то есть там все себе позволили... Надо было подкопить, чтобы что-то осталось. Но я так не умею. Мне вообще деньги не любят меня.","Сожаление, легкая ирония","Свобода, удовольствие от жизни, финансовая беззаботность","Период финансовой беззаботности часто встречается у людей, которые в молодости не имели опыта управления крупными суммами. Позднее приходит осознание необходимости финансового планирования.",эпизод,,,False,,,
2,Настоящее время,Работа и профессиональные отношения,"Респондент работает в фирме, занимается продажей посуды, отмечает хорошие отношения с коллегами и считает себя коммуникабельным человеком. Легко находит общий язык с людьми, что помогает ему в работе.","Откуда бы я не уволился, у меня отличные характеристики. То есть человеческие отношения у вас хорошо складываются в принципе? Ну, я, наверное, в душе психолог.","Уверенность, удовлетворение","Коммуникабельность, хорошие отношения, профессионализм",Высокая коммуникативная компетентность способствует профессиональной мобильности и успешной адаптации на новых местах работы.,декларация,частная фирма,,,,,
3,Переезд и адаптация,Коммуникабельность и культурные различия,"Респондент подчеркивает свою легкость в общении и отмечает разницу между собой и местными жителями. Считает, что его коммуникабельность связана с национальными особенностями и семейным воспитанием.","Я же татарин, у нас нация такая, мы не можем сидеть ровно. Согласитесь, вам же со мной удобно разговаривать.","Гордость, легкая ирония","Открытость, национальная идентичность, общительность","Национальная идентичность и семейные традиции формируют коммуникативные паттерны, которые могут отличаться от местных норм.",декларация,,,,True,,
4,Работа на заводе,Потребность в движении и развитии,"Респонденту важно ощущение движения и развития на работе. Он предпочитает решать новые задачи, а рутина его быстро утомляет. На заводе он внедрял улучшения, но, когда все процессы были налажены, потерял интерес.","Мне нравится все, где я двигаюсь куда-то. Это либо карьерная лестница первая, либо просто четыре колеса и вперед. Если движение есть, то все нормально.","Азарт, скука при рутине","Развитие, новизна, эффективность",Потребность в постоянном развитии и избегание рутины характерны для людей с высокой внутренней мотивацией и низкой толерантностью к однообразию.,эпизод,завод,,,,,
5,Профессиональный путь,Многообразие профессий и навыков,"Респондент сменил множество профессий, освоил разные навыки, предпочитает горизонтальное расширение компетенций, а не вертикальный карьерный рост. Получает удовольствие от освоения нового.","Я за всю жизнь что только не делал, где я только не работал, практически умею все. Самолет не умею водить, то есть я умею шить, я умею вязать...","Гордость, удовлетворение","Разнообразие, самостоятельность, практичность","Горизонтальная мобильность и широкий набор навыков характерны для людей, ориентированных на самореализацию и независимость.",декларация,,True,,,,
6,Образование и профессиональные решения,Отношение к образованию и карьерному росту,"Респондент бросил учебу, так как не видел смысла в выбранной профессии и не хотел заниматься рутинной работой. Предпочитает деятельность, связанную с перемещениями и новыми задачами.",А смысл агрономом где-то в другом месте быть не хочу... А так сидеть на одном месте и ворошить бумажки я не хочу.,"Безразличие к формальному росту, стремление к свободе","Свобода выбора, динамика, практичность","Отказ от формального образования и карьерного роста в пользу практического опыта и мобильности отражает ценности поколения, ориентированного на гибкость.",перелом,вуз,,,,,
7,Настоящее и планы,Планы на будущее и саморазвитие,"Респондент планирует освоить новую профессию — предметная фотография для маркетплейсов. Уже прошел обучение, но пока не хватает средств на оборудование, поэтому ищет возможности заработать.","Я прошел курс обучения очень известного человека в Америке. Я у него прошел курс обучения и до сих пор учусь. Я набрал аппаратуру, но не хватает денег на это.","Уверенность, целеустремленность","Саморазвитие, обучение, творчество",Стремление к освоению новых профессий и постоянному обучению характерно для людей с высокой адаптивностью и внутренней мотивацией.,узел,,True,,,,
8,Период после развода,Личная жизнь после первого брака,"После развода респондент вел насыщенную личную жизнь, не связывая себя серьезными отношениями. Воспринимает этот период как приятный и насыщенный.","То одна, то вторая, то третья, то четвертая, все такие. То есть, в общем, свободная жизнь у вас была? Абсолютно вообще.","Легкость, удовлетворение","Свобода, насыщенность жизни, независимость",Период свободной жизни после развода часто воспринимается как время личной свободы и самореализации.,эпизод,,,,,,
9,Второй брак,Семейная жизнь и личные предпочтения,"В браке респондент отмечает, что часто находится в разъездах или на даче, предпочитает активную деятельность и уединение. Семейная жизнь сопровождается конфликтами из-за разных интересов и стиля жизни.","Вот пока терплю 13 лет уже... Потому что здесь был раньше садик, тут школа рядом, тут теща рядом, тут центр рядом, есть где погулять. А мне больше нравится на даче.","Сдержанность, усталость, ирония","Самостоятельность, личное пространство, активность","Различие в жизненных установках супругов может приводить к дистанцированию и конфликтам, особенно при разном отношении к досугу и пространству.",эпизод,,,True,,,
10,Переезды и адаптация,Отношение к переменам и стрессу,"Респондент легко адаптируется к новым условиям, не испытывает стресса от переездов и перемен, считает, что всегда сможет выкрутиться из любой ситуации.",Я так не умею... Я выкручусь из всего.,"Уверенность, спокойствие","Адаптивность, оптимизм, самостоятельность",Высокая адаптивность и стрессоустойчивость позволяют респонденту легко менять место жительства и работу.,декларация,,,,,,
11,Жизненные принципы,Отношение к проблемам и планированию,"Респондент делит проблемы на решаемые и нерешаемые, предпочитает жить одним днем, но способен к долгосрочному планированию, если это необходимо.","В жизни есть два варианта проблемы. Первая, которую решить можно. А если проблему можно решить, это уже не проблема, это вопрос.",Философское спокойствие,"Рациональность, гибкость, прагматизм","Философское отношение к трудностям и гибкое планирование — черты, характерные для людей с богатым жизненным опытом.",декларация,,,,,,
12,Экстремальные ситуации,Опыт преодоления трудностей,"Респондент сталкивался с экстремальными ситуациями, например, вынужденный переезд из-за угрозы, но всегда находил выход. Считает, что работа и жилье всегда можно найти.",А что вот переехать из Сибири в Сочи со 150 рублями в кармане не экстремал? Вопрос решен.,"Уверенность, легкая бравада","Самостоятельность, решительность, оптимизм",Опыт преодоления экстремальных ситуаций формирует уверенность в себе и готовность к переменам.,эпизод,,,,,,
13,Жизненные ценности,Главное в жизни и отношениях,"Для респондента важно, чтобы рядом был человек, который его понимает и поддерживает, и чтобы поддержка была взаимной.","Чтобы рядом с тобой был человек, который тебя понимает. И, наверное, чтобы он тебя поддерживал и понимал то, когда ты его стараешься поддержать в меру своих способностей.","Искренность, теплота","Взаимопонимание, поддержка, честность","Взаимная поддержка и понимание в отношениях — ключевая ценность для респондента, что отражает его потребность в эмоциональной близости.",декларация,,,,,,
1,"зрелый возраст, семейная жизнь",Поддержка и отношения в семье,"Респондент рассуждает о том, как важно поддерживать близких, но в меру, чтобы не возникало ощущения должного или зависимости. В семье сталкивается с разными взглядами на поддержку и ответственность.","Главное, чтобы он понимал то, что ты этого человека поддерживаешь, но в меру того, Если я правильно выразился.","спокойствие, рассудительность","поддержка, самостоятельность, личная ответственность","Респондент демонстрирует зрелое отношение к семейным отношениям, подчеркивая баланс между поддержкой и самостоятельностью членов семьи. Это отражает современные тенденции к индивидуализации в семейных отношениях.",декларация,,,,,,
2,настоящее время,Счастье и внутреннее состояние,"Счастье для респондента — это спокойствие дома, отсутствие проблем, финансовая стабильность. Он отмечает умение абстрагироваться от проблем и ценит гармонию в быту.","Когда у меня все хорошо. Когда у меня дома спокойно, все улыбаются, когда у меня деньги есть.","удовлетворение, спокойствие","семья, финансовая стабильность, гармония",Важность семейного уюта и материального благополучия как основы счастья типична для представителей зрелого возраста с семейными обязанностями.,декларация,,,,,,
3,настоящее время,"Страхи, неуверенность и смена интересов","Респондент признает наличие неуверенности в себе, которая мешает доводить начатое до конца. Приводит пример с фотографией: столкнувшись с трудностями (недостаток денег на оборудование), быстро теряет интерес и переключается на другое.","Но запнулся и вроде как уже не охота в эту сторону идти, я могу быстро развернуться и начать с...","фрустрация, неуверенность","саморазвитие, поиск себя, адаптивность",Демонстрируется типичная для современной мобильной среды склонность к частой смене интересов и деятельности при отсутствии быстрых результатов.,эпизод,,,,,,
4,настоящее время,Влияние окружения и семейных установок,"Респондент сталкивается с непониманием и осторожностью со стороны жены, которая предпочитает стабильность и избегает рисков. Это влияет на его мотивацию и уверенность.","Я живу с человеком, который привык всю жизнь сходить на работу, получать там свои до 30 тысяч. И вот тихая, спокойная речка, по которой она там всю жизнь плывет...","раздражение, внутренний конфликт","стабильность, независимость, самореализация",Конфликт между стремлением к переменам и традиционными установками на стабильность характерен для семей с разными жизненными стратегиями супругов.,узел,,,,,,
5,настоящее время,Ответственность и личные границы,"Респондент подчеркивает важность личной ответственности за собственное настроение и решения, что иногда становится причиной конфликтов в семье.",Твое настроение – это зона действия твоей ответственности.,"уверенность, ирония","личная ответственность, независимость",Идея личных границ и ответственности за собственные эмоции становится все более популярной в современном обществе.,декларация,,,,,,
6,рефлексия о прошлом,Переосмысление жизненного пути и образования,"Респондент сожалеет, что не получил высшее образование в молодости из-за отсутствия денег, хотя позже поступил в университет в 40 лет. Считает, что учиться нужно в молодости.","Я бы 100% поступил куда-нибудь в бычку. Потому что после училища у меня мозги были на месте, я мог это сделать. Но на тот момент, чтобы поступить в наше время, нужны были бабки по-любому.","сожаление, реализм","образование, саморазвитие, прагматизм","Образование воспринимается как важный ресурс, но доступ к нему ограничен социально-экономическими факторами. Позднее получение образования — пример образовательной мобильности взрослого поколения.",перелом,университет (поступление в 40+ лет),,,,,
7,молодость,Студенческая жизнь и предпринимательство,"Вспоминая молодость, респондент рассказывает о жизни в общежитии и небольшом бизнесе среди студентов, что приносило ему удовольствие и доход.","Пока в Казани работал, я жил в общежитии со студентами с матфаком. У меня там был шикарный бизнес.","ностальгия, удовлетворение","предприимчивость, общительность, самостоятельность","Опыт студенческой жизни и неформального предпринимательства типичен для молодежи, ищущей дополнительные источники дохода и социализации.",эпизод,"общежитие, неформальный бизнес",,,,,
8,настоящее время,Самооценка и жизненная позиция,"Респондент характеризует себя как уверенного, адаптивного и эгоистичного человека, который считает, что всегда сможет выкрутиться из любой ситуации.","Я считаю, что у меня все отлично. Я все умею, я все могу и выкручу из всего, что только можно сделать.","уверенность, самоирония","самостоятельность, оптимизм, эгоизм","Демонстрируется установка на индивидуализм и внутреннюю автономию, что характерно для людей с опытом жизненных трудностей и адаптации.",декларация,,,,,,
9,настоящее время,Режим дня и привычки,"Респондент рассказывает о своем режиме дня, привычке спать днем (адмиральский час), что связано с опытом службы на флоте. Приводит пример длительных поездок на машине.","Мне организм, наверное, с флота привык. Там есть адмиральский час, когда ты всегда спишь. И с тех пор он меня не отпускает в этот часик.","спокойствие, легкая усталость","устойчивость, привычки, дисциплина",Военные привычки и дисциплина продолжают влиять на повседневную жизнь даже спустя годы после службы.,эпизод,флот (служба),,,,,
10,настоящее время,Работа и гибкий график,"Работа респондента нерегулярна, зависит от сезона. Он работает 3-4 дня в неделю, меняет работу при необходимости, что влияет на доход и образ жизни.","Потому что не сезон, работы практически нет, а я работаю 3-4 дня в неделю. Сегодня выходной, потому что нет работы.","прагматизм, некоторая неуверенность","гибкость, независимость, прагматизм",Гибкий график и частая смена работы характерны для представителей неформального сектора и самозанятых.,эпизод,,нерегулярная занятость,,,,
11,настоящее время,"Досуг, отдых и таксование","В свободное время респондент занимается дачей, фотографией, автомобилем, смотрит сериалы. В прошлом подрабатывал таксистом, предпочитая работать на своей машине, чтобы не платить аренду.","Я таксовал. Ну, наверное, лет шесть, там, с перерывами на работу. ... Зачем я буду 2, 5 рубля отдавать, если я могу с утра на своей выехать на 2 часа, заработать 2, 5 рубля, целый день сидеть дома.","удовлетворение, прагматизм","самостоятельность, экономия, свобода",Выбор работы на себя и отказ от аренды — проявление экономической рациональности и стремления к независимости.,эпизод,,самозанятость (такси),False,,,
12,настоящее время,Семейный отдых и отпуск,"Респондент рассказывает о семейных поездках на море, совмещая отдых и работу (таксование). Отмечает, что такой формат позволяет и заработать, и провести время с семьей.","Я отдохнул и покупался, дети мои целый месяц были на море. А мы и отдохнули, и поработали, и денег заработали.","удовлетворение, радость","семья, рациональность, баланс","Совмещение работы и отдыха — типичная стратегия для семей с ограниченными ресурсами, стремящихся к максимальной эффективности.",эпизод,,,True,,,
13,настоящее время,Отношение к отдыху и отпуску,"Респондент отмечает, что не было хорошего отпуска после Сочи, несмотря на жизнь у моря. Для него отпуск — это не только место, но и возможность действительно отдохнуть.",У меня еще не было хорошего отпуска после Сочи. В Сочи у меня был отпуск прям круглогодичный. Но при этом я за два года купался два раза.,"легкая ирония, сожаление","отдых, качество жизни",Даже при наличии ресурсов (жизнь у моря) не всегда удается реализовать идею качественного отдыха — типичная проблема для занятых взрослых.,узел,,,,,,
14,настоящее время,Семейные предпочтения в отдыхе,"Респондент и его жена по-разному представляют идеальный отдых: жена предпочитает спокойствие и близость к морю, респондент — активные поездки и новые впечатления.","У меня жила в заднице, мне надо съездить, допустим, сегодня в Россию, завтра в Абрау-Дюрсо.","живость, легкая ирония","разнообразие, впечатления, семейные компромиссы",Различие в предпочтениях отдыха между супругами отражает разные жизненные стратегии и ценности внутри семьи.,эпизод,,,,,,
1,"зрелый возраст, семейная жизнь","Отдых, путешествия, впечатления от городов","Респондент рассказывает о любимых местах для отдыха на море, впечатлениях от поездок в Санкт-Петербург и Карелию, а также о поездках в Сочи и Красную Поляну. Описывает особенности разных курортов, аквапарки, природу, архитектуру и атмосферу городов.","Вот как едешь в сторону Финляндии, Карелии. Вот чисто сама дорога, природа, ой, блин, отлично вообще. Первый раз я побывал в музее в этом, как ее называть, в Эрмитаже. понравилось, но туда нужно ехать на неделю оказаться.","ностальгия, воодушевление, легкая грусть","эстетика, новые впечатления, природа, культурный досуг","Респондент ценит разнообразие впечатлений, предпочитает активный отдых, интересуется культурой и природой. Путешествия воспринимаются как способ отвлечься от рутины и получить новые эмоции.",эпизод,"туризм, досуг",потребитель туристических услуг,False,,,
2,"зрелый возраст, семейная жизнь",Жилищные условия и виды из окна,"Респондент описывает съемную квартиру в Сочи, особенности планировки, виды на город, море и горы. Делится впечатлениями от проживания на высоком этаже с панорамными видами.","Угловая квартира, лоджия здесь, лоджия здесь. Получается, вот в эту лоджию ты выходишь, у тебя весь город, море, корабли, все шикарно. А выходишь в эту лоджию на кухню, а там горы, Кавказский хребет с белыми шапками.","восторг, удовлетворение","комфорт, красота окружающего мира, уют","Для респондента важны не только функциональные характеристики жилья, но и эстетика, виды, ощущение пространства. Это отражает стремление к качеству жизни и эмоциональному комфорту.",эпизод,рынок аренды жилья,арендатор,True,,,
3,"зрелый возраст, семейная жизнь",Семейные традиции и кулинария,"Респондент рассказывает о семейных традициях: Новый год, вареники, празднование дней рождения. Делится своим отношением к традициям, рассказывает о любви к готовке, о том, как готовит для семьи, и о различиях в пищевых привычках.","Я люблю и умею готовить. То есть вот у меня мои домашние дети, жена, отец, они с тестом не дружат совсем... Вот, например, мои дети любят борщ, но тот, который я готовил.","тепло, легкое раздражение, забота","семья, забота, домашний уют, самостоятельность","Традиции воспринимаются как важная часть семейной жизни, но респондент отмечает различия между своими представлениями и привычками семьи. Кулинария становится способом выражения заботы и индивидуальности.",узел,"семья, домашнее хозяйство",потребитель продуктов питания,False,,,
4,"зрелый возраст, кризис семейных отношений",Финансовые трудности и напряжение в семье,"Респондент говорит о финансовых проблемах, долгах, экономии, влиянии материальных трудностей на отношения с супругой. Описывает, как долги и нехватка денег стали причиной конфликтов и отчуждения.","Как только закончатся мои долги, моя жизнь с тобой тоже закончится.","разочарование, усталость, тревога","стабильность, независимость, честность","Финансовые трудности становятся ключевым фактором напряженности в семье, влияя на эмоциональное состояние и планы на будущее. Экономические обстоятельства напрямую связаны с качеством семейных отношений.",перелом,"семья, кредитные организации",заемщик,False,,,
5,"зрелый возраст, семейная жизнь",Дружба и социальные связи,"Респондент описывает круг близких друзей, особенности общения, традиции встреч, совместные занятия (например, изготовление самогона). Отмечает, что с возрастом стал более общительным, хотя раньше был замкнутым.","И вообще моя болтливость, она пришла там с годами. То есть изначально из меня слово вытянуть было очень тяжело. Я не от рождения такой. Меня жизнь таким сделал.","дружелюбие, благодарность, легкая ирония","дружба, поддержка, общение","Социальные связи вне семьи играют важную роль в жизни респондента, компенсируя недостаток эмоционального контакта в семье. Дружба становится источником поддержки и самореализации.",узел,неформальные сообщества,потребитель досуговых услуг,False,,,
6,"зрелый возраст, кризис семейных отношений",Отношения с супругой: кризис и размышления о разводе,"Респондент откровенно говорит о проблемах в браке, причинах конфликтов (финансы, характеры), размышляет о разводе, отмечает, что держит в браке только дети. Признает, что эмоциональная близость с супругой ослабла.","Я уже понял, что этот человек по натуре такой, как кисть. Вечно всегда что-то не устраивает. А я не хочу с такими людьми потратить на это остаток своей жизни.","разочарование, усталость, внутренняя борьба","искренность, свобода, забота о детях","Кризис в браке воспринимается как следствие не только внешних обстоятельств (долги), но и несовпадения личностных установок. Дети выступают сдерживающим фактором для развода.",перелом,семья,нет,False,,,
7,"зрелый возраст, семейная жизнь",Рефлексия о себе и отношениях,"Респондент признает, что не до конца понимает свои чувства к супруге, затрудняется говорить о душевной близости, отмечает сложность самоанализа. Готов к диалогу, но не знает, как его вести.","Я бы захотел углубиться, я не понимаю просто, как это сделать. Может, я и сам бы что-то понял, но это сложный процесс.","растерянность, открытость, неуверенность","саморазвитие, честность, поиск смысла","Респондент демонстрирует высокий уровень рефлексии, но испытывает трудности с выражением и анализом собственных чувств. Это типично для людей, выросших в среде с низкой культурой эмоционального диалога.",декларация,"семья, психологическая помощь",нет,False,,,
