id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
5,Зрелость,Личные отношения и второй брак,"Первый брак был неосознанным, второй — более зрелым, но также неудачным. Отсутствие положительных примеров семейной жизни в детстве повлияло на собственные отношения. После развода жила самостоятельно, воспитывала сына.","Наверное, потому что примеров рядом никогда не было. Вот эта женская атмосфера. Поэтому характер у меня больше мышцы.","Рефлексия, сожаление, принятие","Самостоятельность, честность, личная ответственность","Личные отношения респондента формируются на фоне отсутствия позитивных семейных моделей, что приводит к повторяющимся неудачам в браке и акценту на самостоятельности.",перелом,семья,,,True,
6,Зрелость и поздняя зрелость,Роль материнства и отношение к сыну,"Появление сына не было осознанной целью, но Марина выполняла материнские обязанности. Отношения с сыном скорее формальные, без сильной эмоциональной вовлечённости.","Я делала все, что должна делать с мамочкой. Я, конечно же, восхищалась, я, конечно же, любовалась. Но вы знаете, вот это вот мерзкое ощущение, хорошо, что вы есть где-нибудь рядом. А чтобы я жила своей замечательной, интересной жизнью...","Амбивалентность, вина, дистанция","Ответственность, честность, личная свобода","Материнство воспринимается как долг, а не как источник самореализации. Это отражает советские и постсоветские нормы, где материнство — социальная обязанность, а не всегда личный выбор.",декларация,семья,,,True,
7,Поздняя зрелость,"Пенсия, повседневность и самоощущение","После выхода на пенсию Марина живёт одна, её день структурирован, но кажется ей бессмысленным. Работает по привычке, занимается домашними делами, ощущает рутину.","День у меня бестолковый. Он у меня систематизирован, он у меня как лед, так и площадь.","Скука, усталость, принятие","Порядок, независимость, привычка","Жизнь на пенсии характеризуется рутиной и отсутствием новых смыслов, что типично для одиноких пожилых женщин в российских городах.",эпизод,"пенсия, дом",,,True,
8,Поздняя зрелость,Стрессовые ситуации и способы совладания,"Марина не считает, что в её жизни были сильные стрессы. В трудных ситуациях сначала теряется, потом анализирует и переживает эмоции в одиночестве. Испытывает гордость за то, что смогла организовать людей для решения сложной финансовой ситуации.","Я горжусь тем, что я смогла их сорганизовать на выгоду сразу.","Гордость, сдержанность, самоконтроль","Самообладание, ответственность, репутация","Стратегии совладания со стрессом — уход в себя, рационализация, опора на внутренние ресурсы. Гордость за преодоление трудностей связана с коллективным действием и сохранением репутации.",эпизод,"судебные приставы, неформальные группы",,,True,
1,"Пенсия, зрелый возраст",Изменение ритма жизни после выхода на пенсию,"Респондентка отмечает, что после выхода на пенсию её жизнь стала менее структурированной, исчезла обязательность и строгий распорядок, который был раньше.","У меня сейчас в моей жизни нет вот того кирпича, который был у меня раньше. У меня раньше в понедельник, пятница генеральный убор... А вот в какой-то момент уже будучи на пенсии, я представляю, что мне изрядно надоело обязательность, обязательство, связанное с таким-то временем.","Облегчение, лёгкая растерянность","Свобода, отсутствие жёстких обязательств, самостоятельность","Переход на пенсию часто сопровождается изменением структуры повседневности, что может восприниматься как освобождение от рутины, но также и как потеря организованности.",перелом,,,,True,
2,"Пенсия, зрелый возраст",Повседневная жизнь и досуг,"Дни проходят без чёткого графика, досуг разнообразен: прогулки, театр, кино, поездки. Вечера и выходные часто проводятся вместе с мужем.","Мы можем в театр пойти, можем в кино пойти, можем просто пройтись, прогуляться по аллее. Это система. Я порой не делаю между ними выхода.","Спокойствие, удовлетворённость","Совместное времяпрепровождение, культурный досуг, гибкость","Для пожилых людей характерно смещение акцента с работы на досуг и семейное общение, что становится основой повседневности.",эпизод,,,,,
3,"Пенсия, зрелый возраст",Режим дня и сон,"Режим сна и бодрствования нерегулярный, зависит от работы и самочувствия. Иногда бывают периоды усталости и бессонницы.","Могу я лечь в 10 и встать в 10. Могу я лечь в 2 и встать в 10. Ну, по-разному.","Нейтральность, лёгкая неудовлетворённость","Гибкость, адаптация к обстоятельствам","Нерегулярный режим дня часто встречается у людей, не связанных жёстким графиком, что может приводить к ощущению неустроенности.",эпизод,,,,,
4,"Пенсия, зрелый возраст",Работа и самозанятость,"Респондентка подрабатывает, работа неофициальная, без прямого контакта с заказчиками. Работа воспринимается как способ обеспечить себя, а не как источник интереса.","Я не могу сказать, что интересно, но я не скучно, не против, народно.","Равнодушие, прагматизм","Самостоятельность, материальная независимость","Для пенсионеров подработка часто становится способом поддержания финансовой стабильности, а не самореализации.",эпизод,,,неофициальная занятость,,
5,"Пенсия, зрелый возраст",Отношение к хобби и увлечениям,"Нет выраженных хобби, много читает, но не считает это увлечением. Ранее занималась вязанием, сейчас не может за это взяться.","У меня нет хобби, у меня нет увлечений. Я много читаю. Я люблю читать, не считаю это увлечением.","Лёгкая апатия, принятие","Интеллектуальное развитие, спокойствие","С возрастом интерес к активным хобби может снижаться, а привычные занятия (чтение) становятся частью рутины.",декларация,,,,,
6,"Пенсия, зрелый возраст",Экологические привычки,"Соблюдает некоторые экологические привычки: сортировка мусора, бережное отношение к природе.","Я стараюсь не нарушать препятствия. Поехать в лес и накрасить какой-то цветок. Понятно, да Но деревья набираются.","Спокойствие, ответственность","Ответственность, забота о природе","Экологические практики становятся частью повседневности даже у старшего поколения, хотя и не занимают центральное место.",декларация,,,,,
7,"Пенсия, зрелый возраст",Семейные традиции и праздники,"Праздники отмечаются по советским традициям, но с годами празднование стало менее значимым из-за утраты круга общения.","Праздники, традиции праздничные, все оставшиеся с советских времен. 8 марта, 23 февраля, нерождение.","Ностальгия, грусть","Традиции, семейственность","Старшее поколение сохраняет советские традиции, но сужение круга общения влияет на эмоциональную насыщенность праздников.",декларация,,,,,
8,"Пенсия, зрелый возраст",Отдых и отпуск,"Отпуск организуется совместно с мужем, поездки на море стали регулярными с 2018 года. Важна свобода от обязательств во время отдыха.","Для меня, знаете, отсутствие обязательств. Я делала, что я хочу, не делала, чего не хочу, когда хочется.","Желание свободы, удовлетворение","Свобода, отдых, совместность","Отдых воспринимается как возможность временно избавиться от повседневных обязанностей, что особенно ценно для женщин старшего возраста.",эпизод,семья,,,,
9,"Пенсия, зрелый возраст",Самооценка и отношение к распорядку дня,"Респондентка недовольна своей неспособностью к равномерному распределению дел, но ценит вариативность и отсутствие жёстких рамок.","Мне бы очень хотелось бы представить себя как-то, может, не заставить, может, как-то убедить. То есть равномерно поработал, сделал что-то, поработал, сделал что-то. У меня так не получается, поэтому я недовольна собой.","Недовольство собой, противоречивость","Вариативность, свобода, саморефлексия","Внутренний конфликт между желанием порядка и стремлением к свободе характерен для людей, вышедших из трудовой рутины.",узел,,,,,
10,"Пенсия, зрелый возраст",Дружба и социальные связи,"Старые друзья ушли, остались приятельские отношения. Появились новые знакомства, особенно в период репетиции. Дружба ассоциируется с надёжностью и комфортом.","К сожалению от старых друзей уже ничего не осталось, они ушли. то есть я Приятельства те остались, мы периодически нечистые. Мы встречаемся, общаемся с большими людьми. Потом в моей жизни появился новый царь.","Грусть, принятие, лёгкая радость от новых связей","Надёжность, комфорт, общение","С возрастом социальный круг сужается, но сохраняется потребность в общении и появляются новые связи, часто по интересам.",узел,,,,,
1,Детство и юность,Семейное окружение и ранние потери,"Марина росла в семье с отцом, матерью и старшей сестрой по отцу. В третьем классе умерла мама, отец вскоре завёл новую женщину. В семье не было эмоциональной близости, поддержка взрослых ощущалась слабо. Основным источником утешения были книги и немногочисленные подруги.","В основном у меня были книги и подруги. Подруг очень мало, фактически одна книга.","Ощущение одиночества, некоторая отстранённость, грусть","Самостоятельность, внутренняя опора, ценность образования и чтения","Ранние семейные потери и эмоциональная дистанция со взрослыми формируют у респондента склонность к самостоятельности и поиску поддержки вне семьи (книги, подруги). Типичная для советского и постсоветского детства ситуация сдержанных эмоций в семье.",эпизод,"семья, школа",,,True,
2,Юность и ранняя взрослость,Образование и профессиональный выбор,"После окончания восьмилетки Марина поступила в другую школу, затем в Харьковский институт культуры и параллельно в медицинское училище. В институт культуры пошла, потому что не поступила в другой вуз. Позже получила второе высшее образование по филологии, чтобы преподавать.","В Институт культуры я пошла по одной причине, что не поступила в Мининский институт.","Сдержанность, рациональность, некоторая неудовлетворённость","Образование, профессиональная состоятельность, адаптация к обстоятельствам","Выбор образования определяется не только интересами, но и обстоятельствами (неудача при поступлении). Получение второго высшего — пример адаптации к требованиям рынка труда и институциональных изменений в постсоветский период.",узел,"школа, институт культуры, медицинское училище, университет",,,True,
3,Молодость и зрелость,Личная жизнь и брак,"Первый брак был заключён 'с перепугу', из-за страха остаться одной. Муж был старше на 8 лет, интересный, но отношения не сложились. После развода Марина жила отдельно, работала ради получения жилья и обеспечения сына. Второй брак был более осознанным, но также не привёл к гармонии.","Первый раз я замуж вышла совершенно неправильно, но с перепонкой. Собственно, я замуж не вышла, меня замуж и взяли...","Рефлексия, сожаление, некоторая ирония","Самостоятельность, ответственность, поиск гармонии","Браки респондента отражают типичные для советского и постсоветского общества паттерны: ранний брак по необходимости, отсутствие моделей гармоничных отношений, высокая женская самостоятельность после развода.",перелом,,True,,True,
4,Зрелость,Материнство и отношение к ребёнку,"Появление сына не было осознанной целью, но Марина выполняла материнские обязанности. Ощущала дистанцию между личной жизнью и материнством, не испытывала сильной эмоциональной вовлечённости.","Я делала все, что должна делать с мамочкой. Я, конечно же, восхищалась, я, конечно же, любовалась. Но вы знаете, вот это вот мерзкое ощущение, хорошо, что вы есть где-нибудь рядом. А чтобы я жила своей замечательной, интересной жизнью...","Амбивалентность, честность, некоторая вина","Честность, самостоятельность, личная свобода","Респондентка демонстрирует нетипичную для традиционного общества дистанцию в материнстве, что может быть связано с личной историей эмоционального дефицита в семье.",декларация,,,,True,
5,Профессиональная жизнь,Трудовая биография и смена мест работы,"Марина работала на заводе (в цехе и заводской библиотеке), затем в вузовской библиотеке, позже в коммерческом вузе. Работу находила через знакомства, смена мест работы происходила без особых трудностей. В коллективе держалась особняком, конфликты были незначительными.","Я не очень вливалась в коллектив. А почему, что библиотека, это вот немножко в сторонке, понимаете?","Спокойствие, некоторая отчуждённость","Профессионализм, независимость, стабильность","Трудовая биография типична для женщин советского и постсоветского времени: работа ради жилья, переходы между учреждениями, опора на социальные связи. Позиция 'особняком' в коллективе — проявление индивидуализма.",эпизод,"завод, библиотека, вуз, коммерческий вуз",,True,True,
6,Поздняя зрелость,Пенсия и повседневная жизнь,"После выхода на пенсию Марина продолжает работать по специальности, её день структурирован, но кажется ей 'бестолковым'. Занимается домашними делами, работой, день расписан, но не наполнен смыслом.","День у меня бестолковый. Он у меня систематизирован, он у меня как лед, так и площадь.","Скука, некоторая усталость, принятие","Рутина, порядок, независимость","Повседневность пенсионерки структурирована, но лишена ярких событий. Это отражает типичную ситуацию пожилых женщин в российских городах: сохранение трудовой активности, но снижение насыщенности жизни.",эпизод,,,,True,
7,Зрелость и поздняя зрелость,Отношение к стрессу и жизненным трудностям,"Марина не считает, что в её жизни были сильные стрессы. Обычно теряется в неожиданных ситуациях, потом переживает и анализирует их. Гордится тем, что смогла организовать людей для решения сложной финансовой ситуации.","Я горжусь тем, что я смогла их сорганизовать на выгоду сразу... Вы знаете, я этим горжусь.","Гордость, спокойствие, рефлексия","Рациональность, ответственность, репутация","Респондентка демонстрирует стратегию рационального преодоления трудностей, опирается на внутренние ресурсы и социальные связи. Гордость за коллективное решение проблемы — проявление социальной компетентности.",эпизод,,,True,True,
1,"Пенсия, поздняя зрелость",Изменение ритма и структуры жизни после выхода на пенсию,"Респондентка отмечает, что после выхода на пенсию исчезла жесткая структура и обязательность в повседневной жизни, которая раньше была связана с работой и домашними обязанностями. Сейчас ее жизнь менее организована, больше свободы в планировании дня.","У меня сейчас в моей жизни нет вот того кирпича, который был у меня раньше. У меня раньше в понедельник, пятница генеральный убор... А вот в какой-то момент уже будучи на пенсии, я представляю, что мне изрядно надоело обязательность, обязательство, связанное с таким-то временем.","Облегчение, легкая усталость, принятие","Свобода, независимость, отсутствие жестких рамок","Переход на пенсию часто сопровождается изменением структуры времени и снижением внешних обязательств, что может восприниматься как освобождение, но также и как потеря организованности.",перелом,пенсия,,,,
2,"Настоящее, пенсия",Повседневная жизнь и досуг,"Дни респондентки проходят без четкой структуры, досуг включает совместные прогулки, посещение театра, кино, поездки. Вечера и выходные проводит с мужем, иногда с внуком. Привычки и ритуалы стали менее обязательными.","Мы можем в театр пойти, можем в кино пойти, можем просто пройтись, прогуляться по аллее. Это система. Я порой не делаю между ними выхода.","Спокойствие, некоторая апатия, удовлетворение","Семья, совместное времяпрепровождение, гибкость","Для пожилых людей характерно смещение акцентов с работы на семейные и досуговые практики, однако отсутствие четкой структуры может вызывать ощущение неорганизованности.",эпизод,,,,,
3,"Пенсия, настоящее",Работа и самозанятость,"Респондентка продолжает работать в формате подработки, неофициально, без прямого контакта с заказчиками. Работа не приносит особого интереса, но дает ощущение занятости и финансовой стабильности.","Я не могу сказать, что интересно, но я не скучно, не против, народно.","Равнодушие, прагматизм","Самостоятельность, материальная независимость","Многие пенсионеры продолжают работать, чтобы поддерживать привычный уровень жизни и ощущение полезности, даже если работа не приносит удовольствия.",декларация,,,неофициальная занятость,,
4,"Пенсия, настоящее",Отношение к хобби и увлечениям,"Респондентка не считает себя человеком с хобби, хотя любит читать и раньше вязала. Сейчас не может заставить себя заниматься рукоделием.","У меня нет хобби, у меня нет увлечений. Я много читаю. Я люблю читать, не считаю это увлечением.","Безразличие, легкая грусть","Интеллектуальное развитие, самодостаточность","С возрастом у части людей снижается мотивация к активным увлечениям, досуг становится более пассивным.",декларация,,,,,
5,"Пенсия, настоящее",Экологические привычки и отношение к природе,"Респондентка придерживается некоторых экологических привычек, не мусорит, сортирует отходы, но не считает себя активисткой. Вопросы экологии воспринимает как не зависящие от нее лично.","Понимаю, от меня здесь ничего ровным счетом не зависит.","Сдержанность, легкая апатия","Ответственность, уважение к природе","Экологические практики у пожилых людей часто связаны с личной ответственностью, но отсутствует вера в возможность повлиять на ситуацию в целом.",декларация,,,,,
6,"Пенсия, настоящее",Семейные традиции и праздники,"Праздники отмечаются по привычке, в основном остались советские традиции. Формат праздников изменился: меньше гостей, больше символических действий, меньше застолий.","Праздники, традиции праздничные, все оставшиеся с советских времен. 8 марта, 23 февраля, нерождение.","Ностальгия, легкая грусть","Память, традиции, семейственность","С возрастом праздники теряют массовость, становятся более камерными, что связано с уходом старого круга общения.",узел,,,,,
7,"Пенсия, настоящее",Отдых и отпуск,"Респондентка и муж регулярно ездят в отпуск, чаще всего на море. Организацией поездок занимается муж. Для респондентки в отдыхе главное — отсутствие обязательств и возможность делать то, что хочется.","Для меня, знаете, отсутствие обязательств. Я делала, что я хочу, не делала, чего не хочу, когда хочется.","Желание свободы, благодарность","Свобода, отдых, независимость","Для пожилых людей отпуск становится не только сменой обстановки, но и возможностью временно избавиться от бытовых и семейных обязанностей.",эпизод,,,,,
8,"Пенсия, настоящее",Оценка текущего распорядка дня и самочувствия,"Респондентка испытывает амбивалентные чувства: с одной стороны, ценит свободу и вариативность, с другой — недовольна отсутствием организованности и самодисциплины.","Я доверена тем, что я имею возможность вариативности. И я недовольна тем, что меня мальчок пустил.","Амбивалентность, легкое разочарование","Свобода, самодисциплина","Свобода от обязательств может вызывать не только облегчение, но и внутренний конфликт из-за нехватки структуры.",декларация,,,,,
9,"Пенсия, настоящее",Дружба и социальные связи,"Старые друзья ушли, остались приятельские отношения и новые знакомства. Для респондентки важны комфорт и надежность в общении, конфликты с друзьями обычно разрешаются сами собой.","К сожалению от старых друзей уже ничего не осталось, они ушли. То есть я Приятельства те остались, мы периодически нечистые. Мы встречаемся, общаемся с большими людьми.","Грусть, принятие","Доверие, комфорт, надежность","В пожилом возрасте круг общения сужается, но сохраняется потребность в эмоциональной поддержке и доверии.",узел,,,,,
1,"Зрелый возраст, семейная жизнь",Отношения с близкими и поддержка,"Респондентка размышляет о своих отношениях с близкими, отмечает, что обращается за поддержкой к мужу, но в целом чувствует недооцененность и неудовлетворенность качеством отношений. Испытывает потребность во внимании и заботе, но считает, что не смогла правильно выстроить отношения с семьей.","Я, наверное, неправильно сложила отношения, сформировала отношения со своими близкими. Вот это да! А это что такое? Мне бы хотелось других отношений, но понятно, что я не стилист. Мне бы хотелось больше внимания, проявления внимания.","Сожаление, неудовлетворенность, легкая обида","Внимание, поддержка, семейные отношения, взаимопомощь","Респондентка демонстрирует типичную для зрелого возраста рефлексию по поводу семейных ролей и поддержки. Чувство недооцененности может быть связано с изменением структуры семьи (например, взросление детей, уход на пенсию) и снижением социальной вовлеченности.",узел,семья,,,,
2,Зрелый возраст,Отношение к здоровью и забота о себе,"Респондентка воспринимает заботу о здоровье как сложную и даже болезненную тему, сожалеет об упущенных возможностях. Поддерживает здоровье в основном за счет выполнения предписаний врача и периодических попыток заниматься гимнастикой, но не придает этому большого значения.","Для меня это скорее сожаление, а в упущенных возможностях и не сделанном. И не более того, это что у меня создало... Насколько хуже нет в моем возрасте, то, что... Спасибо, Катюшка. У меня то, что доктор назначает, пьет.","Сожаление, апатия","Здоровье, ответственность, принятие возраста","Отношение к здоровью носит пассивный характер, что типично для части пожилых людей, которые не склонны к активному самоуправлению здоровьем и больше полагаются на врачей и предписания.",эпизод,медицина,,,,
3,Зрелый возраст,Пищевые привычки и отношение к еде,"Респондентка безразлична к типу продуктов, но придает большое значение эстетике подачи пищи. Для нее важно, чтобы еда была красиво сервирована, даже если это простые блюда.","Мне нужно, чтобы были салфетки, мне нужно, чтобы картошка была красивым веером, мне нужно, чтобы салатик был разложен, как должно. Вот этому я... Чтобы колбаска ливерная была порезана ровным колечком.","Удовольствие, спокойствие","Эстетика, порядок, забота о себе","Внимание к эстетике еды может быть способом самоуважения и поддержания чувства контроля в повседневной жизни, особенно при снижении других сфер активности.",эпизод,,,потребление,,
4,Зрелый возраст,"Режим дня, физическая активность и желания","Респондентка хотела бы изменить свой образ жизни: вставать рано, больше гулять, структурировать рабочий день, но признает, что не реализует эти желания. Отмечает нехватку физической активности и воды, а также склонность к перееданию на ночь.","Мне бы очень хотелось бы вставать рано. Я периодически это делаю, но не переживайте. Мне бы хотелось выгнать график работы и денег. Мне бы хотелось непременно выходить, прогуляться вечером перед сном.","Сожаление, неудовлетворенность","Самодисциплина, здоровье, порядок","Нереализованные желания по изменению образа жизни часто встречаются у людей зрелого возраста, что связано с устоявшимися привычками и снижением мотивации к переменам.",декларация,,,,,
5,Зрелый возраст,Психологическое состояние и саморефлексия,"Респондентка отмечает склонность к самокопанию, жалости к себе, что негативно влияет на ее эмоциональное состояние. Она недовольна собой, испытывает тревожность и подавленность, но справляется с этим, просто ожидая, когда пройдет.","Паническое настроение. Я очень люблю себе копаться, себя жалеть. В итоге я делаю много для себя. Ничем это выражается.","Тревожность, подавленность, самокритика","Рефлексия, эмоциональная честность","Высокий уровень саморефлексии и склонность к самокритике могут быть следствием одиночества или недостатка внешней поддержки, что характерно для части пожилых женщин.",узел,,,,,
6,Зрелый возраст,Медицинские практики и отношение к медицине,"Респондентка регулярно принимает лекарства от хронических заболеваний, доверяет официальной медицине, но критикует современную систему за формализм и недостаток индивидуального подхода. Отмечает, что качество медицины не зависит от формы собственности учреждения, а от конкретного специалиста.","Медицина в целом, это хорошо, я не против официальной медицины, я не против фармакологии, я обеим руками сам, потому что травмами буквально не все вылечишь. А вот медицина, которая есть в деятельности сейчас, нет.","Критика, разочарование, прагматизм","Профессионализм, индивидуальный подход, рациональность","Критика формализма и бюрократии в медицине типична для старшего поколения, имеющего опыт советской и постсоветской медицины. Ориентация на личность врача, а не на учреждение, отражает недоверие к системам и поиск индивидуального подхода.",декларация,государственная и частная медицина,,потребление медицинских услуг,,
7,Зрелый возраст,Опыт обращения за медицинской помощью,"Респондентка обращается как в государственные, так и в частные клиники, но отмечает, что полное обследование и лечение в частных клиниках ей не по карману. В целом довольна найденными специалистами, особенно массажистом, но сталкивалась и с некачественной медицинской помощью.","Если счёт честного переклинивания так, как мне бы хотелось, вот с полным обследованием, с полным лечением, то есть это мне не по карману.","Прагматизм, благодарность, разочарование","Доступность, качество, профессионализм","Финансовые ограничения влияют на выбор медицинских услуг, что типично для пожилых людей с фиксированным доходом. Оценка медицины строится на личном опыте и конкретных случаях.",эпизод,государственная и частная медицина,,потребление медицинских услуг,,
8,Зрелый возраст,Отношение к вакцинации,"Респондентка положительно относится к вакцинации, готова делать прививки, если есть необходимость, но не проявляет избыточной инициативы.","Ну, сейчас у меня нет необходимости, но я бы и так помогла Маку от ковида. То есть я бы сделала клипы перед этим.","Спокойствие, рациональность","Здравый смысл, ответственность",Прагматичное отношение к вакцинации характерно для людей с доверием к официальной медицине и отсутствием выраженных антивакцинаторских настроений.,декларация,медицина,,,,
