id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context
5,Детство,Дружба и социальные связи,"Хорошие отношения со сверстниками, часть друзей осталась с детства и университета, поддерживает связи с теми, кто уехал.","Остались школьные друзья, остались друзья, которые уехали в другие города.","дружелюбие, удовлетворение","дружба, общение","Сохраняет социальные связи, что характерно для малых городов, где дружба часто длится с детства.",декларация,"школа, университет",,,
6,Детство,Яркие воспоминания и дисциплина,"Вспоминает случай, когда ушел на рыбалку с другой компанией, не предупредив родителей, из-за чего его искали всем двором и сильно ругали.","Ушел на целый день, никому не сказал просто, куда ушел. Ну да, там перенервничали все. Всем двором искали, но ничего. Нашли, ругали сильно.","легкое чувство вины, юмор","ответственность, доверие","Эпизод иллюстрирует коллективизм и контроль в малых сообществах, а также важность доверия в семье.",эпизод,"семья, двор",,,
7,Школьные годы,Учеба и отношения с учителями,"Учился средне, без троек, любил биологию и физику, не нравился русский язык из-за отношений с учителем. В университете с русским языком проблем не было.","В школе каких-то успехов не было сверх, но и плохо тоже не учился. Все, скажем так, как-то средне.","нейтральность, легкое разочарование","справедливость, интерес к науке",Влияние учителя на отношение к предмету подчеркивает роль педагогов в формировании образовательной траектории.,декларация,"школа, университет",,,
8,Поступление в университет,Выбор профессии и образования,"Выбрал экономическую специальность, потому что было проще поступить, не осознавал свои интересы. Сейчас считает, что лучше бы выбрал техническую специальность.","Да потому, что проще всего туда было поступить. Вот и все. Я еще тогда совсем не понимал, что мне нравится, чего я хочу.","рефлексия, легкое сожаление","прагматизм, самоопределение","Выбор образования по принципу доступности, а не интереса, типичен для провинциальной молодежи с ограниченным доступом к информации и ориентирам.",узел,университет,,,
9,Начало трудовой деятельности,Профессиональный путь,"После университета начал работать в продажах, сменил три места работы, сейчас работает в сфере продаж кормов для животных.","Детство, детский сад, школа, университет, работа. Ну, в принципе, все. Три места работы. Вот сейчас последние. В основном это продажи.","удовлетворение, спокойствие","стабильность, профессионализм","Карьерная траектория типична для регионального центра: работа по смежной специальности, смена нескольких мест работы.",эпизод,рынок труда,,,
10,Профессиональная зрелость,Отношение к профессии и специфика работы,"Работа в продажах кормов приносит удовлетворение, отмечает специфику рынка, важность долгосрочных отношений и профессиональных навыков.","Вот то, чем я сейчас непосредственно занимаюсь, мне нравится. Я вот в этой сфере уже три года. Мне очень нравится.","удовлетворение, интерес","профессионализм, развитие, интерес к делу",Переход от массового FMCG к более специализированному рынку кормов отражает поиск профессионального удовлетворения и стабильности.,декларация,рынок труда,"рынок кормов, B2B",,
11,Профессиональная зрелость,Профессиональное обучение,"Проходил краткосрочные курсы и тренинги по профессии, имеет дополнительное образование по животноводству.","Ну, есть дополнительные, ну, как если это можно считать дополнительным образованием, там, двухнедельные курсы. Это больше по нынешней, да, там, профессии.",прагматизм,"развитие, профессионализм",Дополнительное обучение становится инструментом адаптации к рынку труда и повышения квалификации.,эпизод,дополнительное образование,,,
12,Профессиональная зрелость,Поиск работы,"Работу находил через HeadHunter, что свидетельствует о цифровизации поиска работы даже в регионах.",Через HeadHunter.,нейтральность,"адаптивность, самостоятельность",Использование цифровых платформ для поиска работы становится нормой даже в малых городах.,декларация,,"рынок труда, цифровые платформы",,
13,"Молодость, университет",Личные отношения до брака,"Были отношения во время учебы в университете, которые завершились, чему респондент рад и считает это важным опытом.","И я подумал, слава Богу, что все это закончилось. И спасибо за такой опыт вообще в жизни.","облегчение, благодарность","саморазвитие, опыт",Личный опыт до брака воспринимается как этап взросления и самоопределения.,эпизод,университет,,,
14,"Взрослая жизнь, настоящее",Семья и родительство,"В браке, воспитывает 10-летнего сына, к рождению ребенка подошли осознанно, жена вышла из декрета, ребенок занимается лошадьми.","Понимаете, то есть мы с женой как бы ждали этого ребенка, мы хотели именно. Понимаете, то есть осознанно подошли, то есть ни рано, ни поздно.","уверенность, спокойствие","осознанность, семья, забота","Современная модель родительства: осознанное планирование, совместное участие в воспитании, поддержка детских интересов.",эпизод,"семья, спортивная школа",,,
15,"Взрослая жизнь, настоящее",Отношения с близкими и социальный круг,"Старается не зависеть от других, избегает негативных людей, ценит ограниченный круг общения.","Я стараюсь ни от кого не зависеть. Чтобы люди влияли, никому за помощью стараться не бежать.","уверенность, самостоятельность","независимость, самодостаточность",Индивидуализация и дистанцирование от токсичных связей — черта современного взрослого человека.,декларация,,,,
16,Студенчество,Опыт проживания вне дома,"Переезд в Орел для учебы не был стрессом, проживание в общежитии воспринималось как веселый и интересный опыт.","Вообще не стресс, вообще не стресс. Было классно, как бы весело.","позитив, легкая ностальгия","адаптивность, открытость новому",Положительный опыт самостоятельной жизни вне родительского дома способствует формированию взрослой идентичности.,эпизод,,,"общежитие, съемная квартира",
17,Профессиональная зрелость,Этические дилеммы на работе,"Иногда приходится поступать не по совести в интересах компании, но старается не зацикливаться на этом.","Но поскольку ты работаешь на компанию, а ты человек компании и защищаешь ее интересы, а не интересы клиента, тебе нужно, защищать, скажем так, эту компанию.","прагматизм, легкое напряжение","лояльность, профессионализм","Работа в продажах связана с регулярными этическими компромиссами, что требует психологической устойчивости.",узел,"рынок труда, компания",,,
1,"Зрелый возраст, семейная жизнь",Распорядок буднего дня,"Респондент описывает свой типичный будний день: после работы ужин дома, затем прогулка, иногда просмотр телевизора, выполнение домашних дел. Свободного времени мало, в основном оно уходит на бытовые обязанности и помощь ребенку с уроками.","Мало, очень мало времени. Это же будние дни. В течение работы времени нет свободного.","Усталость, некоторая усталость, принятие","Семья, ответственность, порядок","Распорядок дня типичен для занятых семейных людей среднего возраста, где основное время уходит на работу и поддержание быта.",эпизод,"семья, работа",,,
2,"Зрелый возраст, семейная жизнь",Распределение домашних обязанностей,"В семье нет строгого разделения домашних обязанностей, но есть устоявшиеся роли: жена чаще готовит и убирает, респондент помогает по мере необходимости, особенно в праздники или при большой уборке.","Нет никаких определенных там каких-то разделений, кто что делает, кто-то там, могу я там мусор вынести, может, жена, там, да.","Спокойствие, принятие","Взаимопомощь, гибкость, семейное сотрудничество","Отражает распространенную модель распределения труда в российских семьях, где обязанности делятся ситуативно, без жестких границ.",эпизод,семья,,,
3,Профессиональная зрелость,Рабочий график и условия труда,"Рабочий день с 8:30 до 17:30, перерыв на обед, но в сезон перерывы часто отсутствуют. Руководство находится в другом городе, контроль минимален, но объем работы большой, командировки по регионам.","Работу никто не отменял, ее объем, текучка, все эти дела накапливаются, и это все равно потом делать придется.","Усталость, некоторая фрустрация","Ответственность, самостоятельность, трудолюбие","Типичная ситуация для специалистов среднего звена в крупных компаниях: высокая нагрузка, самостоятельность, но и отсутствие поддержки.",эпизод,работа,наемный труд,,
4,Профессиональная зрелость,Коллектив и рабочие отношения,"Коллектив на работе нездоровый, между отделами постоянные конфликты, особенно между отделом продаж и производством. Корпоративная атмосфера напряженная.","У нас очень нездоровый коллектив, учитывая, что это холдинг. Завод сам по себе. Там отдел продаж сам по себе.","Раздражение, ирония","Прагматизм, профессионализм","Внутрикорпоративные конфликты типичны для крупных предприятий, где отделы имеют разные интересы и слабую коммуникацию.",декларация,работа,наемный труд,,
5,Профессиональная зрелость,Мотивация к работе,"Работа воспринимается исключительно как способ заработка, а не как хобби или призвание. Возможность сменить работу ради большей зарплаты рассматривается, но не хочется уходить в менее перспективные сферы.","Это вообще не хобби. Конечно, ради денег. Может быть, если где-то было бы место, где можно было бы больше заработать, да, естественно, меня бы там уже не было.","Прагматизм, некоторая неудовлетворенность","Материальная стабильность, рациональность","Отражает отношение к работе как к средству обеспечения семьи, а не к самореализации.",декларация,работа,наемный труд,,
6,"Зрелый возраст, семейная жизнь",Досуг и отдых,"Свободное время посвящается огороду, прогулкам, редким походам в кино. Вечером иногда смотрят телевизор или пользуются Телеграмом. Отдых на природе и встречи с друзьями важны.","Я думаю, это какой-нибудь водоем. Лес какой-нибудь там, что-нибудь такое. Природа, может быть. Все-таки и будут какие-то вечерние встречи с друзьями.","Спокойствие, легкая усталость, удовлетворение","Природа, дружба, семейные традиции","Досуг преимущественно семейный и локальный, с акцентом на природу и неформальное общение.",эпизод,"семья, неформальные связи",,,
7,"Зрелый возраст, семейная жизнь",Экологические привычки,"Семья не мусорит на природе, учит ребенка не бросать мусор. Раздельного сбора мусора нет, инфраструктура для этого отсутствует. К экологическим проблемам относятся с пониманием, но считают, что на многое повлиять не могут.","Ну, если там могут и коробку большую какую-то в контейнер выкинуть, хотя предупреждают, что и диван могут выкинуть, там выходишь, там с утра диван стоит.","Ирония, легкая апатия","Ответственность, здравый смысл","Пассивное отношение к экологии типично для малых городов и сельской местности, где инфраструктура раздельного сбора мусора не развита.",декларация,местное сообщество,,,
8,"Зрелый возраст, семейная жизнь",Праздники и традиции,"В семье отмечают все основные праздники: Новый год, 23 февраля, 8 марта, Пасха, день города и др. Праздники — повод встретиться с друзьями, пожарить мясо, вкусно поесть.","Повод встретиться с друзьями, мясца пожарить, вкусно поесть.","Радость, теплота","Дружба, семейные традиции, общение",Праздники выполняют функцию поддержания социальных связей и семейной сплоченности.,эпизод,"семья, неформальные связи",,,
9,Профессиональная зрелость,Отпуск и отдых,"Отпуск обычно проводится с ноутбуком и телефоном, полностью отключиться от работы не удается. Предпочтение отдается отдыху в России, последний отпуск был в Сочи. Идеальный отпуск — без рабочих гаджетов, на машине, с возможностью самостоятельно планировать маршрут.","Вообще он был бы, наверное, только с личным телефоном, с одним, без всяких ноутбуков. И, может быть, можно куда-то было бы ехать, даже за границу куда-нибудь поехать. Где вообще телефон не нужен.","Нервозность, мечтательность","Свобода, независимость, семейный отдых",Трудоголизм и невозможность полностью отключиться от работы характерны для специалистов с высокой зоной ответственности.,эпизод,"работа, семья",,,
10,"Зрелый возраст, семейная жизнь",Социальные связи и близкие люди,"Круг общения — в основном профессиональные знакомые из сферы продаж. Общение поддерживается по телефону, иногда встречаются в бане. С родственниками стараются видеться на выходных, серьезных конфликтов в семье нет.","Обязательно. Это близкие люди, это друзья, это общие интересы.","Теплота, спокойствие","Дружба, семейные отношения, гармония","Социальные связи строятся вокруг профессиональной среды и семьи, что типично для зрелых людей с устоявшимся образом жизни.",эпизод,"семья, профессиональное сообщество",,,
11,"Зрелый возраст, семейная жизнь",Семейные традиции и конфликты,"В семье нет серьезных конфликтов, стараются не ругаться по мелочам. Традиции — совместное празднование, обмен куличами на Пасху. Особых уникальных семейных традиций нет.","Не было у нас никогда серьезных конфликтов. Да, и так-то, в принципе, стараемся не ругаться по мелочам, потому что понимаем, что это вообще ни к чему еще силы на эти какие-то скандалы, я не знаю...","Гармония, спокойствие","Согласие, уважение, семейная стабильность","Семейная гармония и отсутствие конфликтов — важная ценность для респондента, что отражает ориентацию на стабильность и спокойствие.",декларация,семья,,,
12,"Молодость, студенчество",Знакомство с супругой,"Респондент познакомился с супругой в университете, вместе уже около 15 лет.",Университете.,"Ностальгия, теплота","Партнерство, долгосрочные отношения",Знакомство в университете — типичный сценарий для формирования долгосрочных семейных союзов.,узел,университет,,,
1,"Семейная жизнь, зрелый возраст",Взаимоотношения в семье и ценности брака,"Респондент считает, что для гармоничных отношений в семье важны общие интересы и ценности, а противоположности не притягиваются. В семье решения о крупных расходах принимаются совместно, бюджет общий.",У людей должно быть много общего. Общие какие-то ценности должны быть. В противном случае это мнения разные. Они будут все время провоцировать скандалы...,"Уверенность, спокойствие","Партнерство, взаимопонимание, общие ценности, совместность","Респондент демонстрирует ориентацию на партнерскую модель семьи, где важны совместные решения и отсутствие разделения на «твое–мое». Отмечается критика традиционного стереотипа о притяжении противоположностей.",декларация,семья,,,
2,"Родительство, воспитание ребенка",Отношения с ребенком и подход к воспитанию,"Респондент не стремится к тому, чтобы ребенок был отличником, считает важным выполнение требований учителей, но не настаивает на максимальных результатах. Отношения с сыном менялись по мере взросления, постепенно увеличивалась степень доверия и ответственности.","Мы не хотим, чтобы он был каким-то отличником... Он должен выполнять все требования, которые дают учителя.","Спокойствие, реализм","Умеренность, самостоятельность, постепенное взросление, ответственность","Респондент придерживается современной модели воспитания, где важна не столько успеваемость, сколько развитие самостоятельности и ответственности у ребенка.",эпизод,,,,
3,"Родительство, воспитание ребенка",Роль родителя и дисциплина,"Респондент считает, что родитель должен быть примером для ребенка. В случае конфликтов применяет ограничения (лишение телефона, приставки), но считает это достаточным.","Ну, наверное, примером надо быть как минимум... Телефон мы лишили уже давно. Такого, как сказать, сенсорного. С кнопками теперь.","Умеренность, рациональность","Личный пример, справедливость, умеренность в наказаниях","Воспитательные практики респондента отражают баланс между авторитетом и уважением к ребенку, избегая жестких мер.",декларация,,,,
4,"Взрослая жизнь, социальные связи",Дружба и поддержка,"Друзья помогают друг другу в трудных ситуациях, в том числе финансово. Конфликты случаются, но разрешаются с помощью третьих лиц, отношения становятся крепче.","Ну, друзья, ну, выручают, да, там, с чем-то, с какой-то помощью, там, отвезти, довезти... Не изменились отношения. Мне кажется, что они стали еще крепче.","Доверие, благодарность","Взаимопомощь, лояльность, прощение","Дружеские отношения респондента строятся на взаимной поддержке и способности преодолевать конфликты, что укрепляет социальный капитал.",эпизод,работа,,,
5,"Взрослая жизнь, социальные связи",Близость и доверие,"Самым близким человеком респондент считает жену. В случае трудностей обращается к разным людям в зависимости от ситуации. Готов оказывать моральную поддержку всем, кто обратится.","Ну, конечно, живет со мной вместе... Да я не знаю, в принципе, да все могут обратиться.","Уверенность, открытость","Доверие, открытость, готовность помочь",Респондент демонстрирует высокий уровень доверия в семье и готовность к широкой социальной поддержке.,декларация,,,,
6,"Взрослая жизнь, социальные связи",Круг общения и одиночество,Круг общения сложился по интересам. Чувства одиночества или изоляции не отмечает.,"Но я не знаю даже, как получилось, так получилось. По интересам, наверное.","Спокойствие, удовлетворенность","Общность интересов, естественность социальных связей",Формирование круга общения по интересам характерно для зрелых людей с устоявшимся образом жизни.,декларация,,,,
7,"Зрелый возраст, забота о здоровье",Текущее состояние здоровья и образ жизни,"Респондента беспокоят проблемы с шеей, которые он связывает с сидячим образом жизни. Признает недостаток физической активности, наличие вредных привычек (курение, алкоголь), но не видит в этом серьезной угрозы.","Вот сейчас сижу, вот с утра не успел таблетку выпить... проблемы с шеей. Это все из-за сидячки.","Легкая тревога, принятие","Здоровье, саморефлексия, умеренность","Респондент осознает влияние профессиональной деятельности на здоровье, но не предпринимает активных шагов к изменению образа жизни.",декларация,,"покупка лекарств, услуги медицины",,
8,"Зрелый возраст, забота о здоровье",Отношение к вредным привычкам и изменениям образа жизни,"Респондент курит, употребляет алкоголь, задумывался о том, чтобы бросить курить, но не считает это необходимым. Хотел бы больше заниматься спортом, но не хватает времени и мотивации.","Да, думали... если бы немного свободного времени было, ну, побольше, да.","Снисходительность, легкая ирония","Умеренность, самокритика, прагматизм","Респондент демонстрирует типичную для зрелого возраста амбивалентность: осознание вреда привычек, но отсутствие решимости к переменам.",декларация,,,,
9,"Зрелый возраст, забота о здоровье","Факторы, влияющие на здоровье",Основными негативными факторами для здоровья считает курение и стресс по работе.,"Да, и стресс. Вот прям стресс по работе и вот именно сигареты.","Реализм, тревога","Осознанность, прагматизм","Респондент связывает здоровье не только с личными привычками, но и с профессиональной нагрузкой.",декларация,,,,
10,"Зрелый возраст, забота о здоровье",Отношение к медицине и медицинским услугам,"Респондент доверяет официальной медицине, консультируется с друзьями-врачами, иногда обращается в частные клиники по косметическим вопросам. В компании нет ДМС, пользоваться корпоративной медициной неудобно из-за удаленной работы.","Слушайте, а к кому еще идти? ... у меня тут друг, доктор, одноклассник, он полостной хирург...","Доверие, прагматизм","Рациональность, доверие к экспертам","Респондент использует неформальные каналы получения медицинской информации и услуг, что типично для российского контекста.",декларация,здравоохранение,частные клиники,False,
11,"Зрелый возраст, забота о здоровье",Роль государства в здравоохранении,"Считает, что государство должно полностью финансировать здравоохранение, но признает разницу в качестве между бесплатной и платной медициной. Отмечает проблемы с доступностью сложных услуг и низкой оплатой труда врачей.","Государство, оно влияет Оно должно спонсировать полностью все это, потому что мы к этому привыкли уже.","Реализм, легкая критика","Социальная справедливость, привычка к бесплатной медицине","Респондент выражает типичную для постсоветского пространства установку на бесплатную медицину как социальную норму, но осознает ее ограничения.",декларация,государство,,,
12,"Зрелый возраст, забота о здоровье",Отношение к вакцинации,"Положительно относится к прививкам, считает их необходимыми для общества. Готов вакцинироваться, если это бесплатно. К ковид-вакцинам относится с осторожностью из-за недостаточной изученности.","Положительно отношусь к прививкам. Они всю жизнь были, если бы не прививки, что бы вообще было с человечеством?","Уверенность, рациональность","Рациональность, забота о здоровье общества","Респондент разделяет научный подход к вакцинации, но отмечает влияние экономических факторов на доступность прививок.",декларация,,,,
13,"Зрелый возраст, забота о здоровье",Опыт обращения за медицинской помощью,"Не сталкивался с отказом или плохим качеством медицинской помощи. Все операции проходили без значительных затрат, благодарность врачам выражал лично.","Все операции, на которые я попадал, были с небольшими суммами денег. И то эти деньги с меня никто не просил. Это как бы моя благодарность лично врачам.","Благодарность, спокойствие","Благодарность, справедливость","Респондент отмечает неформальные практики благодарности врачам, что типично для российской медицины.",эпизод,,,,
14,"Зрелый возраст, забота о здоровье",Эмоциональное состояние и отношение к психологической помощи,"В периоды тревоги и подавленности предпочитает справляться самостоятельно, не обращается к психологам, считает, что человек должен сам разбираться со своими проблемами.","Я вообще считаю, что человек как-то должен все-таки сам с этим справиться. Разобраться со своими тараканами сам должен в своей голове.","Самостоятельность, скепсис","Самостоятельность, рациональность",Скептическое отношение к психологической помощи характерно для старших поколений и людей с высокой внутренней автономией.,декларация,,,,
15,"Зрелый возраст, забота о здоровье",Отношение к альтернативным практикам,"Скептически относится к энергетическим практикам и гипнозу, считает их неэффективными и даже смешными.","Я считаю, что это вообще какой-то бред, это чушь.","Скепсис, ирония","Рациональность, критическое мышление","Респондент выражает рационалистическую позицию, отвергая ненаучные методы поддержания здоровья.",декларация,,,,
1,"Взрослая жизнь, семейный этап",Опыт переживания болезни близких,"Респондент рассказывает о тяжелом эмоциональном опыте, связанном с болезнью отца (инфаркт), необходимости сопровождать его к врачу и ожидании скорой помощи.","Я как бы присутствовал, когда у отца протекал инфаркт. И ждал скорую вместе с ним. Тяжело.","Тревога, стресс, беспомощность","Семья, забота о близких, ответственность",Опыт ухода за пожилыми родственниками типичен для взрослого населения и часто становится источником эмоционального напряжения. Подчеркивается важность семейных связей и поддержки.,эпизод,Система здравоохранения,,,False
2,"Взрослая жизнь, зрелость",Страх потери работоспособности и заботы в будущем,"Респондент признает наличие страха потерять работоспособность и размышляет о том, кто мог бы о нем позаботиться в случае болезни. Отмечает, что рассчитывать может только на жену.","Потерять работоспособность. Потому что как бы особо-то рассчитывать не на кого. Ну, кроме жены.","Тревога, уязвимость","Самостоятельность, семейная поддержка","Вопросы социальной поддержки и страх перед утратой трудоспособности характерны для людей среднего возраста, особенно при отсутствии широкой сети поддержки.",декларация,,,False,False
3,"Взрослая жизнь, зрелость",Финансовое положение и структура доходов,"Основной источник дохода — зарплата жены, официальное трудоустройство. Ранее был опыт работы с серой зарплатой и на полставки.","Да, зарплата моей жены. ... У меня была серая зарплата. До этого все время. Вообще была оформлена на полставки.","Спокойствие, принятие","Стабильность, честность, адаптация",Ситуация с серыми зарплатами и частичной занятостью типична для российского рынка труда. Официальное трудоустройство воспринимается как преимущество.,узел,Рынок труда,официальная и неофициальная занятость,,False
4,"Взрослая жизнь, зрелость",Отношение к дополнительным заработкам и сезонности,"Работа респондента связана с сезонностью, доходы меняются, но незначительно. Были мысли о подработке, но не реализованы.","Были мысли, но потом я понял, что нет. Как уже говорил, у меня работа связана с сезонностью.","Спокойствие, рациональность","Умеренность, баланс, рациональность",Сезонность доходов характерна для ряда профессий. Респондент предпочитает не распыляться и не брать на себя лишнюю нагрузку.,декларация,,сезонная занятость,,False
5,"Взрослая жизнь, зрелость",Финансовое благополучие и расходы,"Респондент оценивает свое финансовое положение как достаточное, есть возможность откладывать деньги. Экономить приходится редко, расходы контролируются, но без жестких ограничений.","Да и нам вообще нормально хватает, еще и откладываем.","Удовлетворение, спокойствие","Бережливость, финансовая грамотность",Финансовая стабильность и возможность сбережений — важный маркер среднего класса. Отсутствие необходимости жесткой экономии свидетельствует о достаточном уровне дохода.,декларация,,,,False
