id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,collapse_context,housing_promised,ownership
11,"Взрослая жизнь, настоящее время",Вопрос материнства и репродуктивные решения,"Пока не хочет детей, проходит лечение, пробовала ЭКО, но не готова к повтору из-за негативного опыта. Рассматривала усыновление, но нет условий. Муж не настаивает.","Я прохожу лечение. Мы пробовали сами, пока не получалось. Я не скажу, что я сейчас сильно хочу от него ребенка. И вообще.","Спокойствие, принятие, некоторая усталость","Здоровье, свобода выбора, честность","Вопрос материнства рассматривается прагматично, с учётом личных границ, здоровья и финансовых условий.",узел,,,,нет отдельной комнаты для ребёнка,
12,"Взрослая жизнь, после развода и повторного брака",Опыт первого брака и личные выводы,"В первом браке не было свободы, отношения с родственниками были сложнее, муж был требовательнее. Во втором браке больше свободы и поддержки.",Свобода — это дороже всего. Самое главное для меня — свобода.,"Осознанность, благодарность за перемены","Свобода, уважение, поддержка",Личный опыт неудачного брака становится основой для формирования новых границ и ценностей в последующих отношениях.,перелом,,,,,
1,"Взросление, подростковый и юношеский периоды",Формирование круга близких друзей,"Респондентка рассказывает о том, как формировался её круг близких друзей: знакомства происходили в разные периоды жизни — в лагере, в школе, университете, по соседству. Сейчас поддерживает связь с 4-5 близкими подругами, преимущественно онлайн.","Мы в лагере познакомились. Потом одноклассница. И с универа девочка. И соседка. Все, мне кажется. 4-5. 4-5 человек.","спокойствие, уверенность, лёгкая ностальгия","дружба, стабильность, доверие, длительные отношения","Круг близких друзей формируется на разных этапах социализации (школа, университет, соседство, лагеря), что типично для городских жителей среднего класса. Поддержание дистанционной связи отражает современные коммуникационные практики.",эпизод,"школа, университет, летний лагерь, соседство",False,,,
2,Взрослая жизнь,Поддержка и взаимопомощь в дружбе,"Респондентка подчёркивает важность моральной близости, взаимопомощи и уважения в дружбе. Для неё важно быть полезной друзьям и обществу, а также ощущать внутреннюю духовную связь.","Быть полезной еще важно для меня. Ага. быть полезным друзьям, обществу. Мне кажется, только вот общество интересов и, наверное, связь какая-то тоже внутренняя, духовная.","теплота, удовлетворение, уверенность","взаимопомощь, уважение, духовная близость, полезность","Важность взаимопомощи и моральной поддержки отражает ценности коллективизма и взаимной ответственности, характерные для постсоветского общества.",декларация,,,1.0,,
3,Взрослая жизнь,Конфликт и восстановление отношений с подругой,"Описан единственный серьёзный конфликт с близкой подругой, который привёл к году разрыва общения. Респондентка не чувствовала вины, так как считала, что уже много раз поддерживала подругу. Восстановление отношений произошло по инициативе подруги.","Я понимала, что я сделала, как я хотела, и я не буду через себя переступать. И я не считаю, что я была перед кем-то виновата тогда, потому что я ее до этого много раз поддерживала.","уверенность, лёгкая обида, спокойствие","самоуважение, границы, честность, поддержка","Ситуация иллюстрирует важность личных границ и самоуважения в современных дружеских отношениях, а также готовность к восстановлению контакта после конфликта.",перелом,,,1.0,,
4,Настоящее время,Форматы общения с друзьями,"Связь с друзьями поддерживается преимущественно онлайн (переписка, звонки в мессенджерах). Есть желание встречаться чаще, но обстоятельства не позволяют.","Да, мы переписываемся, иногда созваниваемся в Телеграме, в WhatsApp. Хочется, конечно, видеться больше, но так получается.","лёгкая грусть, принятие","поддержка, постоянство, адаптация к обстоятельствам","Онлайн-коммуникация становится нормой для поддержания дружеских связей на расстоянии, что характерно для мобильных и урбанизированных слоёв общества.",эпизод,,False,,,
5,Настоящее время,Ощущение поддержки и отсутствие одиночества,"Респондентка ощущает себя окружённой людьми, даже когда работает самостоятельно. Балансирует между онлайн и офлайн работой, что помогает избегать чувства изоляции.","Всегда ощущаю себя, что кто-то со мной рядом. Даже там ангел-хранитель.","уверенность, спокойствие, защищённость","поддержка, вера, общение",Чувство защищённости и отсутствие одиночества даже при самостоятельной работе говорит о сформированной социальной поддержке и внутренней устойчивости.,декларация,,True,,,
6,Настоящее время,Принципы формирования круга общения,"Респондентка считает, что люди с похожей энергией и ценностями притягиваются друг к другу. В её окружении уважают личные границы и не стремятся к постоянному тесному контакту.","Человек всегда человека находит. Люди на энергию идут. Люди, у которых похожая энергия, вибрации, они притягиваются.","уверенность, философское принятие","индивидуальность, уважение границ, энергетическая совместимость","Видна ориентация на психологический комфорт и уважение личных границ, что характерно для современных индивидуалистических установок.",декларация,,,1.0,,
7,Настоящее время,Отношение к домашним животным,"В доме респондентки живут две кошки, к которым она относится спокойно, хотя они иногда раздражают. Предпочла бы завести одну кошку или маленькую собачку, если бы был выбор.","Ну, может быть, одну кошку завела бы или маленькую собачку. Маленьких-то я не боюсь. И все, больше нет.","нейтральность, лёгкая симпатия","умеренность, комфорт","Отношение к животным прагматичное, без излишней эмоциональности, что может говорить о рациональном подходе к быту.",эпизод,,,,False,
8,Настоящее время,Здоровье: хронические проблемы и отношение к медицине,"С 15 лет у респондентки проблемы с женским здоровьем (гормональный сбой, нерегулярный цикл), аллергия с детства, после ковида — ухудшение памяти. Регулярно обследуется, принимает лекарства, предпочитает нетрадиционную медицину (иглоукалывание, рефлексология), положительно оценивает израильскую медицину.","У меня проблемы с женским здоровьем с циклом с 15 лет. Это меня беспокоит... Я люблю больше нетрадиционную медицину, типа иголки. И мне это помогает.","спокойствие, принятие, лёгкая тревога","здоровье, забота о себе, открытость к альтернативным практикам",Комбинация обращения к официальной и альтернативной медицине типична для людей с опытом жизни в разных странах и критическим отношением к отечественной системе здравоохранения.,узел,медицинские учреждения России и Израиля,True,,,
9,Настоящее время,Финансовые аспекты медицинской помощи,"В России не сталкивалась с необходимостью брать кредиты на лечение, в Израиле такие случаи были. В России пользуется бесплатной медициной, но анализы платные.","Здесь в России нет. В Израиле были кредиты. Были кредиты, да.","спокойствие, практичность","финансовая устойчивость, доступность медицины",Опыт медицинских расходов за рубежом и в России позволяет респондентке сравнивать системы и делать выбор в пользу более доступных и качественных услуг.,эпизод,,True,,,
10,Настоящее время,Психологическая поддержка и нетрадиционные практики,"Респондентка пробовала гипноз в рамках коучинга, осталась довольна опытом, считает его полезным для себя. К психологу обращалась только по необходимости, в рамках обучения.","Ой, классно, мне понравилось. Я бы еще сделал кому-нибудь.","интерес, удовлетворение","открытость новому, самопознание",Популярность коучинга и нетрадиционных практик среди молодых женщин отражает тенденцию поиска альтернативных способов психологической поддержки.,эпизод,"коучинг, психологические практики",,,,
11,Настоящее время,Отношение к здоровью близких и философия жизни,"Респондентка переживает за здоровье близких, но относится к этому спокойно, считает, что каждый человек сам за себя ответственен. Мужчины и родители — временные фигуры, главное — быть для себя.","Все люди, время, жизнь, есть только ты у себя. И всё. И мужчины временные, и родители, и каждый из нас.","философское принятие, спокойствие","самостоятельность, принятие неизбежного","Философия индивидуализма и принятия конечности отношений характерна для людей, прошедших через эмиграцию и самостоятельную жизнь.",декларация,,,,,
1,"Взрослая жизнь, совместная жизнь с партнером",Доверие и поддержка в паре,"Респондентка уверена, что в случае потери работоспособности или ухода в декрет может положиться на партнера, который обеспечивает семью.","Я думаю, что если, допустим, я уйду в декрет, если такое будет, то он будет зарабатывать, он в семью будет сыграть. В принципе, он и так все деньги в семью несет.","Уверенность, спокойствие","Доверие, семейная поддержка, партнерство","Респондентка демонстрирует традиционное распределение ролей в паре, при этом подчеркивает взаимную поддержку и финансовую ответственность партнера.",декларация,Семья,,,,
2,Текущий этап профессиональной деятельности,Источники дохода и трудовая занятость,"Респондентка работает фрилансером на онлайн-школу, имеет собственных клиентов и офлайн-проекты. Доходы официальные, оформлена как самозанятая.","Я работаю как фрилансер на онлайн-школу, на своих клиентов и вот офлайн.","Деловой, уверенный","Честность, самостоятельность, легальность","Респондентка демонстрирует современный тип занятости (фриланс, самозанятость), подчеркивает важность официальных доходов и уплаты налогов.",эпизод,,"Фриланс, самозанятость",,,
3,Текущий этап жизни,Отношение к серым зарплатам и налогам,"Респондентка принципиально не участвует в неофициальных схемах, считает важным платить налоги.","Я за то, чтобы платить налоги, потому что сверху прилетит, когда ты что-то прижимаешь, нажимаешь какие-то деньги.","Принципиальность, спокойствие","Законопослушность, ответственность","Демонстрируется установка на легальность и неприятие теневой экономики, что может быть связано с желанием стабильности и избегания рисков.",декларация,,,,,
4,Текущий этап жизни,Финансовое положение семьи,"Личный доход респондентки составляет 70-80 тысяч рублей, семейный бюджет — около 150 тысяч. Основные расходы — питание и транспорт.","Около 70-80 тысяч рублей стараюсь. А если мы говорим про семью, в рамках семьи, примерно бюджетно, Он сколько накатает в такси? Ну, примерно. В твоем, наверное, тысяч 150.",Удовлетворенность с элементами стремления к большему,"Стабильность, достаток","Респондентка открыто говорит о доходах, что может свидетельствовать о доверии к интервьюеру и отсутствии стигмы вокруг финансовых тем.",эпизод,,,,,
5,Текущий этап жизни,Потребление и расходы,"Основные расходы — питание, транспорт. На внешности экономить не готова, а на транспорте — да. Спонтанные покупки не вызывают сожаления.",Я всегда красиво люблю выглядеть. Своё внешнее видение очень важно.,"Уверенность, легкость","Самовыражение, внешний вид, рациональность","Респондентка демонстрирует баланс между рациональным и эмоциональным потреблением, выделяя внешность как важную статью расходов.",эпизод,,,,,
6,Текущий этап жизни,Покупательское поведение,"Положительно относится к скидкам, не привязана к брендам, спокойно покупает подержанные вещи, советуется с мужем и его мамой при крупных покупках.","Да, хорошо отношусь. Не откажусь никогда. ... С его мамой советую, с ним и отзывы читаю.","Прагматизм, открытость","Рациональность, семейность, экономия","Потребительское поведение респондентки характеризуется прагматизмом и ориентацией на семейное мнение, что типично для семейных женщин среднего класса.",эпизод,,,,,
7,Текущий этап жизни,Отношение к кредитам и крупным покупкам,"Респондентка не берет кредиты, рассчитывает свои доходы и расходы.","Здесь такого вообще не было. Я рассчитываю свои доходы, что я получаю.","Осторожность, самостоятельность","Финансовая независимость, расчетливость",Отказ от кредитов может свидетельствовать о стремлении к финансовой независимости и избеганию долговой нагрузки.,декларация,,,,,
8,Текущий этап жизни,Организация семейного быта и покупок,"Покупки для дома осуществляются по очереди с мужем, предпочитает супермаркеты и доставку, часто питается вне дома.","Муж и я. Когда кто может, тогда тот покупает. ... Спокойно заказываю. Нормально. Яндекс, самокат. Все, быстро довольна.","Спокойствие, удовлетворение","Партнерство, удобство, комфорт",Совместное ведение быта и гибкое распределение домашних обязанностей отражают современные семейные практики.,эпизод,,,,,
9,Текущий этап жизни,Сбережения и собственность,"Сбережения хранятся в банке. Собственной недвижимости нет, есть квартира родителей.",В банке. ... Квартира родителей.,"Спокойствие, некоторая отстраненность","Безопасность, рациональность","Отсутствие собственной недвижимости типично для молодых семей, сбережения в банке — стандартная стратегия сохранения средств.",эпизод,,,,False,Квартира родителей
10,Текущий этап жизни,Отношение к платному и бесплатному образованию,"Предпочитает бесплатное образование, чтобы тратить деньги на другие нужды. Готова платить только за медицинское или IT-образование.","Бесплатную. ... На что-то другое потратишь, которое на образование уже... ... Это медицинская, может. Ага. Это программист.",Прагматизм,"Рациональность, приоритеты","Отражает распространенное среди россиян отношение к образованию как к базовой социальной услуге, за исключением престижных или высокооплачиваемых специальностей.",декларация,,,,,
11,Текущий этап жизни,Финансовое взаимодействие в семье,"В семье обсуждают доходы и расходы, у каждого свой счет, муж жалуется на кредиты. Крупные покупки обсуждаются совместно.","Табличка. Он жалуется, и это все, что я услышала. ... А возможность, сколько ты можешь, сколько я могу, я могу. А может, расстройку тебе.","Спокойствие, некоторая ирония","Открытость, партнерство, самостоятельность","Семейные финансы ведутся раздельно, что характерно для современных городских семей, при этом сохраняется совместное принятие решений.",эпизод,,,,,
12,Текущий этап жизни,Гендерные роли и финансовая самостоятельность,"Респондентка не считает, что мужчина должен обеспечивать семью, для нее важнее свобода и отсутствие привязки к традиционным ролям.","Для меня главное, чтобы меня никто не привязывал к этим. Мужчина точно меня тратил.","Уверенность, независимость","Свобода, самостоятельность, равноправие",Отражает современные взгляды на гендерные роли и стремление к финансовой независимости женщины.,декларация,,,,,
13,Текущий этап жизни,Смысл денег и финансовые амбиции,"Деньги для респондентки — это свобода, удовольствие и возможность делать то, что хочется. Считает, что могла бы зарабатывать больше, если бы лучше управляла временем и ценообразованием.","Деньги? Свобода. ... Наверное, то, что времени не могу рассчитать, не могу цену иногда повысить на свои услуги.","Рефлексия, стремление к развитию","Свобода, самореализация, рост",Респондентка осознает свои ограничения и связывает финансовое благополучие с личной эффективностью и самореализацией.,декларация,,,,,
014,Текущий этап жизни,Финансовые цели и мечты,"Считает достаточным доходом 200 тысяч рублей, а по-настоящему счастливой сделала бы сумма 500 тысяч. Финансовые цели связаны с накоплениями и проектами.",200 тысяч. ... А тут 500. ... 5 – это моё любимое.,"Мечтательность, амбициозность","Амбиции, финансовая независимость","Финансовые ожидания респондентки выше текущего уровня, что отражает стремление к улучшению качества жизни и финансовой независимости.",декларация,,,,,
