id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children,marital_status,migration_attempt,health_crisis,collapse_context,digital_participation
7,Настоящее время,Использование цифровых технологий и соцсетей,"Респондент активно использует YouTube, Rutube и тематические сообщества по интересам, предпочитая не вовлекаться в политические дискуссии. Отмечает, что соцсети и мессенджеры упрощают общение.",Это все касаемо только сферы моих интересов. Явные политики все-таки.,"Удовлетворение, интерес","Саморазвитие, комфорт",Цифровая грамотность и избирательность в потреблении контента характерны для современных пожилых пользователей.,эпизод,,,,,,,,,активное
8,Настоящее время,Влияние технологий на общение,"Респондент отмечает, что соцсети и мессенджеры позволяют избегать неудобных ситуаций в общении, но при необходимости ищет живое общение.","Если не хватает, то я иду в народ. В народе, знаете, сколько всего интересного.","Гибкость, открытость","Коммуникация, самостоятельность",Комбинация онлайн- и офлайн-общения отражает адаптацию к современным социальным практикам.,декларация,,,,,,,,,
9,Последние годы,Влияние событий года на жизнь,"События, связанные со СВО и экономическими изменениями, усилили тревожность, снизили уровень занятости и доходов, повлияли на эмоциональное состояние.",Компании уходят с рынка. У меня раньше было столько работы. А сейчас не столько работы.,"Тревога, неуверенность","Адаптация, выживание",Экономическая нестабильность и макрособытия напрямую влияют на повседневную жизнь и психологическое состояние.,перелом,,,снижение,,,,,,
10,Настоящее время,Выводы и стратегии выживания,"Респондент делает вывод о необходимости самостоятельного поиска решений, развития и заботы о здоровье как ключе к благополучию.","Спасение утопающих – дело земли утопающих. Шевелиться надо, искать другие источники дохода, развиваться, заниматься собой, заниматься своим здоровьем.",Решимость,"Самостоятельность, развитие, здоровье","Стратегия индивидуальной ответственности и самопомощи характерна для людей, не рассчитывающих на внешнюю поддержку.",декларация,,,,,,,,,
11,Настоящее время,Планы на будущее и отношение к переменам,"Респондент строит планы, но осознает влияние внешних обстоятельств. Ожидает перемен, но готова корректировать планы по мере развития событий.","Понимаете, желание – да, одно, и иногда коррективы-то вносятся событиями. Ну, пока строим.",Осторожный оптимизм,"Гибкость, адаптация",Гибкость планирования и принятие неопределенности отражают адаптацию к нестабильной социальной среде.,декларация,,,,,,,,,
12,Настоящее время,Жизненные ценности и принципы,"Респондент придерживается принципов жить по средствам, не брать кредитов и выживать в любых ситуациях.","Не брать кредитов, не брать в долг, жить посредством и стараться выживать в любых ситуациях.",Уверенность,"Самостоятельность, умеренность, ответственность",Финансовая осторожность и ориентация на самодостаточность типичны для людей с опытом экономических кризисов.,декларация,,,,,,,,,
13,Настоящее время,Оценка жизненного пути и сожаления,"Респондент сожалеет об упущенных возможностях, связывая это с психологической неподготовленностью, и отмечает недостаток смелости для кардинальных решений.","Сожалеют об обученных возможностях, но это, видимо, какая-то неподготовленность была психологическая.","Сожаление, самоанализ","Рефлексия, стремление к развитию",Рефлексия над жизненным путем и признание ошибок характерны для зрелого возраста.,узел,,,,,,,,,
14,Настоящее время,Отношение к страхам,"Респондент утверждает, что не испытывает страхов, старается их прогонять.",Их прогоняю. Нет у меня страхов.,Самообладание,"Сила воли, психологическая устойчивость",Демонстрация психологической устойчивости и стремления к внутреннему контролю.,декларация,,,,,,,,,
1,"Завершение интервью, рефлексия",Отношение к опыту интервью,"Респондентка размышляет о том, был ли в интервью момент неожиданного взгляда на себя, и отмечает, что обычно рассматривает себя с этого ракурса.","Да нет, друзья, я с этого ракурса всегда и рассматриваю.","Уверенность, спокойствие","Саморефлексия, стабильность, открытость","Респондентка демонстрирует устойчивую самоидентификацию и привычку к саморефлексии, что может говорить о сформированной личностной позиции и опыте участия в подобных беседах.",декларация,,,,,,,,True,
2,"Завершение интервью, эмоциональная реакция",Эмоции после интервью,"Респондентка отмечает приятные впечатления от общения с интервьюером, не испытывает потребности что-то добавить.",После беседы приятный собеседник Александр.,"Благодарность, удовлетворение","Доброжелательность, уважение к собеседнику",Позитивная оценка интервьюера и отсутствие желания что-либо добавить свидетельствуют о доверии к процессу и удовлетворенности коммуникацией.,декларация,,,,,,,,True,
003,Рефлексия о сложных моментах,Эмоционально сложные воспоминания,"Респондентка вспоминает, что эмоционально сложным моментом в интервью было обсуждение ДТП, адвокатов и следственного отдела.","Ну, воспоминали о ДТП и этих адвокатах, особенно о следственном отделе. Эмоционально.","Тревога, напряжение","Честность, открытость к обсуждению трудных тем",Вспоминание травматичного опыта в интервью подчеркивает значимость подобных событий в биографии респондента и их влияние на эмоциональное состояние.,эпизод,следственный отдел,,,,,,,True,
