id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,family_structure,institution,region,market_participation,marital_status,event,family_support,housing_promised,children,spouse_employed,work_mode,work_partner,housing_type,pets,social_guarantees,family_involvement,media_consumption,collapse_context
9,"Взрослая жизнь, зрелость",Организация семейного быта и покупок,"В семье нет жесткого распределения обязанностей: любой может сходить в магазин или заказать доставку, решения принимаются гибко.",Нет такого вопроса. Кто-то конкретно чем-то должен заниматься.,"Спокойствие, партнерство","Гибкость, равноправие","Современная модель семьи, где обязанности распределяются ситуативно, без жестких гендерных ролей.",декларация,,,,,,,,False,,,,,,,,,,
10,"Взрослая жизнь, зрелость",Отношение к кредитам и крупным покупкам,"Респондент избегает кредитов, предпочитает жить по средствам. Исключение — ипотека на жилье, но не на повседневные покупки или автомобиль.","Кредиты вообще никакие не дают... В частности ипотеки, но это, наверное, только ипотека.","Осторожность, прагматизм","Финансовая независимость, осторожность","Отражает недоверие к кредитным инструментам, характерное для части населения с опытом экономических кризисов.",декларация,,,,,,,,True,,,,,,,,,,
11,"Взрослая жизнь, зрелость",Отношение к платному образованию,"Респондент считает, что за образование платить нормально, если это необходимо, но предпочитает использовать собственные средства, а не кредиты.","Мои деньги для него всегда найдут, ну, именно свои деньги.","Прагматизм, готовность к вложениям","Образование, самостоятельность","Готовность инвестировать в образование, но с осторожностью к заемным средствам.",декларация,,образование,,,,,,,,,,,,,,,,
12,"Взрослая жизнь, зрелость",Семейный бюджет и гендерные роли,"В семье общий бюджет, деньги могут быть у любого из супругов, нет жесткого разделения обязанностей, оба работают и ценят независимость.","Нет никакого, что это мои деньгами.","Партнерство, равноправие","Равенство, доверие, командная работа",Современная модель семьи с размытыми гендерными ролями и совместным управлением финансами.,декларация,,,,,,,,,,,,,,,,,,
13,"Взрослая жизнь, зрелость",Отношение к традиционным гендерным ролям,"Респондент считает, что модель 'мужчина обеспечивает, женщина дома' устарела, современные женщины хотят работать.","Но это, скажем, в современных реалиях уже ушло куда-то далеко.","Реализм, принятие изменений","Равенство, современность","Отражает сдвиг в сторону современных ценностей, где оба партнера работают и участвуют в жизни семьи.",декларация,,,,,,,,,,,,,,,,,,
1,"Взрослая жизнь, семейный этап",Взаимодействие с государственными органами и личная самостоятельность,"Респондент отмечает, что предпочитает самостоятельно решать проблемы, не обращаясь в полицию, если это возможно. Он считает себя способным объяснить и уладить ситуацию без вмешательства органов.",Я сам могу объяснить и решить какую-либо проблему.,"Уверенность, легкая ирония","Самостоятельность, ответственность, рациональность","Демонстрируется установка на самостоятельное разрешение бытовых и социальных вопросов, что характерно для части взрослого населения, обладающего определенным социальным капиталом и опытом.",декларация,,,,,,,,,,,,,,,,,,
2,"Взрослая жизнь, забота о семье",Безопасность близких и противодействие мошенничеству,"Респондент активно предупреждает своих близких, особенно старших родственников, о рисках мошенничества, дает конкретные инструкции, как действовать в подозрительных ситуациях.","В первую очередь позвони мне и спроси, какие у меня проблемы.","Забота, тревога","Семейная поддержка, безопасность, информированность","Отражает распространённую практику внутри семей, когда более информированные члены берут на себя роль защитников и советчиков для уязвимых родственников.",эпизод,,,,,,,,,,,,,,,,,,
3,"Взрослая жизнь, профессиональный опыт",Отношение к судебной системе и трактовке законов,"Респондент отмечает, что законы могут трактоваться по-разному, и исход судебных дел зависит от обстоятельств и решений должностных лиц.","Одну и ту же статью можна перегнать как в одну сторону, так и в другую сторону.","Сдержанность, реализм","Справедливость, прагматизм",Показывает критическое отношение к формальным институтам и осознание гибкости правоприменения в российской действительности.,декларация,,,,,,,,,,,,,,,,,,
4,"Молодость, служба в армии",Опыт военной службы и влияние окружения,"Респондент служил на Северном флоте, решение о выборе рода войск принимал самостоятельно, опираясь на рассказы знакомых и брата.","Я сам уже принимал решение, куда я хочу, на основании того, что рассказывал.","Уверенность, самостоятельность","Самоопределение, влияние окружения, опыт","Военная служба воспринимается как этап взросления и самостоятельного выбора, при этом значим опыт и мнения близких.",эпизод,,армия,,,,,,,,,,,,,,,,
5,Взрослая жизнь,Взаимодействие с налоговой и социальными органами,"Респондент не испытывал сложностей с налоговой инспекцией, отмечает быстрый и стандартный процесс. Из социальной поддержки выделяет материнский капитал, сравнивая его с советской практикой предоставления жилья.","Все в порядке вещей, все быстро.","Спокойствие, удовлетворенность","Стабильность, государственная поддержка","Позитивное отношение к современным формам социальной поддержки, при этом присутствует ностальгия по советским гарантиям.",эпизод,,"налоговая инспекция, соцподдержка",,,,,,False,,,,,,,,,,
6,Взрослая жизнь,Бюрократия и цифровизация госуслуг,"Респондент сталкивается с очередями при оформлении документов, отмечает, что даже электронная запись не всегда помогает избежать ожидания.","Даже придя по записи, условно, к 17.00, сейчас время 17.05, придя к 17.10, ты все равно не попадешь в 17.10.","Раздражение, усталость","Эффективность, справедливость","Несмотря на цифровизацию, сохраняются традиционные проблемы бюрократии, что снижает доверие к инновациям в госуправлении.",эпизод,,"МФЦ, госуслуги",,,,,,,,,,,,,,,,
7,"Взрослая жизнь, профессиональный опыт",Внутренний взгляд на работу госорганов и отношение к ним,"Респондент отмечает, что, работая в органах, проще понимать механизмы и получать услуги, в отличие от 'чужих', для которых система менее прозрачна.","Я как находясь в органах, мне проще. Людям, которые в ванне, им тяжелее.","Осознание привилегии, сочувствие","Информированность, принадлежность","Явное разделение на 'своих' и 'чужих' в доступе к государственным услугам, что отражает особенности российской бюрократической культуры.",декларация,,госорганы,,,,,,,,,,,,,,,,
8,Взрослая жизнь,Оценка региональных и федеральных программ,"Респондент положительно оценивает программы благоустройства в регионе, отмечает возможность участия граждан в выборе объектов для улучшения.","Голосуете, типа, я хочу там, чтоб у этого дома, там вы хотите, чтоб у того дома, и вот там на голосование вы выдвигаетесь...","Удовлетворение, вовлеченность","Гражданская активность, комфорт среды",Рост участия граждан в локальных инициативах свидетельствует о развитии элементов гражданского общества на муниципальном уровне.,эпизод,,,,False,,,,,,,,,,,,,,
9,Взрослая жизнь,Отношение к политике и источникам информации,"Респондент старается избегать обсуждения политики в семье, получает информацию из профессиональных источников и Telegram-каналов, но относится к ним критически.",Стараемся не о политике не разговаривать.,"Осторожность, недоверие","Безопасность, критическое мышление",Демонстрируется характерная для современной России осторожность в публичном обсуждении политики и высокий уровень недоверия к медиа.,декларация,,,,,,,,,,,,,,,,,,
10,Взрослая жизнь,Отношение к государственным монополиям,"Респондент считает, что наличие конкуренции важно для развития экономики, и критикует существование государственных монополий.","В любом случае, должно быть какая-то конкуренция.","Критичность, рациональность","Конкуренция, развитие",Отражает рыночные установки и недовольство монополизацией ключевых отраслей.,декларация,,,,True,,,,,,,,,,,,,,
11,Взрослая жизнь,Отношение к обсуждению СВО,"Респондент отказывается обсуждать тему СВО, подчеркивая чувствительность и опасность подобных вопросов.",На эту тему не обсуждать.,"Осторожность, закрытость","Безопасность, самосохранение","Явное избегание острых политических тем, что типично для респондентов в условиях высокой политической чувствительности.",декларация,,,,,,,,,,,,,,,,,,
12,Взрослая жизнь,Использование цифровых технологий и соцсетей,"Респондент не выделяет предпочтительных социальных сетей, выбирает контент по интересу, иногда смотрит популярных блогеров.","Что понравилось, то смотрим, так скажем.","Нейтральность, открытость","Гибкость, индивидуальный выбор","Потребление цифрового контента становится ситуативным и не привязано к конкретным платформам, что характерно для зрелых пользователей.",эпизод,,,,,,,,,,,,,,,,,,
1,"Взрослая жизнь, профессиональная деятельность",Использование цифровых технологий и соцсетей в повседневности и работе,"Респондент рассказывает о том, как использует соцсети и интернет для получения информации, в том числе профессиональной. Подписывается на интересные каналы, но не увлекается бессмысленным потреблением контента. Для работы ищет судебную практику, использует личный ноутбук, работает преимущественно из дома.","Я считаю, что он зашел, посмотрел, полистал, вышел, ну, что надо, глянул, и все. То есть, ты же зачем-то туда зашел, не просто так.","Спокойствие, рациональность","Осознанность, эффективность, самостоятельность","Респондент демонстрирует высокий уровень цифровой грамотности и самоконтроля в использовании информационных технологий. Для него интернет — инструмент, а не источник развлечения или зависимости. Работа на дому и отсутствие выделенного кабинета отражают современные гибкие формы занятости.",эпизод,,"Работа (юридическая сфера), домашний офис",,Пользователь цифровых сервисов,,,,False,,,,,,,,,,
2,"Взрослая жизнь, семейный этап",Семейная жизнь и быт,"Респондент упоминает о покупке кроватки для ребенка, отмечает, что ребенок уже подрос. Использует маркетплейсы для бытовых нужд, что облегчает повседневную жизнь.","Да, отчас перевезли кроватку ребенку.","Удовлетворение, спокойная радость","Забота о семье, комфорт, практичность",Использование маркетплейсов для решения бытовых задач свидетельствует о высокой интеграции цифровых сервисов в семейную жизнь. Покупка кроватки — маркер жизненного этапа с маленьким ребенком.,эпизод,,"Семья, маркетплейсы",,Покупатель на маркетплейсах,,,,False,,,,,,,,,,
3,"Взрослая жизнь, профессиональная деятельность",Отношение к искусственному интеллекту и новым технологиям,"Респондент знаком с искусственным интеллектом, использует встроенные решения (например, в Яндекс.Браузере), но не проявляет инициативы в освоении новых ИИ-инструментов. Считает, что ИИ может быть как полезным, так и опасным, в зависимости от применения.","Ну, да, пользовался. Считаю, что это, с одной стороны, хорошо... такой интересный с точки зрения науки, и хорошо, что он не стоит на месте.","Умеренный интерес, осторожный оптимизм","Развитие, прагматизм, осторожность","Респондент относится к ИИ как к неизбежной части технологического прогресса, но не стремится быть в авангарде его освоения. Это типичная позиция зрелого пользователя, не склонного к технологическим экспериментам.",декларация,,Технологические платформы,,Пользователь встроенных ИИ-сервисов,,,,,,,,,,,,,,
4,"Взрослая жизнь, потребительские практики",Отношение к платным подпискам и цифровым сервисам,"Респондент предпочитает платить за качественный контент (например, фильмы), чем пользоваться бесплатными, но низкокачественными альтернативами. Использует приложения для покупок.","Приходится пользоваться, а альтернативы нету.","Практичность, принятие необходимости","Качество, рациональность",Готовность платить за цифровые сервисы и контент свидетельствует о сформированном потребительском поведении и ценности качества.,декларация,,"Цифровые платформы, стриминговые сервисы",,Платящий пользователь,,,,,,,,,,,,,,
5,"Взрослая жизнь, рефлексия и ценности","Отношение к жизни, приоритеты и ценности","Респондент подчеркивает важность отношений с близкими, считает себя счастливым в семье. Смотрит в будущее с оптимизмом, не планирует кардинальных изменений, стремится к постепенному улучшению жизни.","Единственное, что я могу выделить, это отношения с близкими. Я в них счастлив.","Удовлетворение, благодарность, спокойствие","Семья, близкие отношения, стабильность, оптимизм",Центральное место семьи и близких в системе ценностей респондента типично для зрелого этапа жизни. Отсутствие тревожности и ориентация на стабильность отражают адаптацию к текущим социальным условиям.,декларация,,Семья,,,,,,False,,,,,,,,,,
006,"Взрослая жизнь, рефлексия",Рефлексия по поводу интервью и самоощущения,"Респондент отмечает, что интервью помогло вспомнить и осмыслить некоторые моменты жизни, почерпнуть что-то важное для себя.","Беседа, которая помогла, може, в какие-то моменты что-то это вспомнить, там, какие-то затронуть моменты... почерпнуть для себя что-то такое важное.","Благодарность, легкая задумчивость","Рефлексия, саморазвитие","Интервью становится для респондента не только исследовательской процедурой, но и поводом для личной рефлексии, что подчеркивает его склонность к осмыслению собственного опыта.",эпизод,,Исследовательское интервью,,,,,,,,,,,,,,,,
