id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,collapse_context,institution,housing_promised,housing_received,market_participation,housing_type,pets,employment_type,health_care,housing,housing_actual,healthcare_participation
5,Зрелость,Отношение к искусственному интеллекту и новым технологиям,"Респондентка пока не имеет личного опыта использования ИИ, воспринимает его как нечто фантастическое, но наблюдает за развитием технологий со стороны.","Я пока читаю, это все как бы из раздела научной фантастики. Сказать честно, я пока про это ничего не могу. Ничего не могу сказать, не знаю.","Скепсис, осторожный интерес","Осторожность, критичность, наблюдательность","Поколенческий разрыв в освоении новейших технологий проявляется в дистанцированном отношении к ИИ, несмотря на общую цифровую компетентность.",декларация,,,,,,,,,,,,
6,Зрелость,Влияние технологий на социальные связи,"Респондентка рефлексирует над изменениями в обществе: технологии создают 'кокон' вокруг человека, уменьшают живое общение, особенно среди детей и молодежи, что вызывает у нее сожаление.","Я считаю, что технологии вокруг человека создают какой-то кокон. Человеку не надо куда-то выходить... Мы как-то обосабливаемся.","Сожаление, тревога","Человеческое общение, традиции, близость","Респондентка фиксирует социокультурный сдвиг: цифровизация ведет к индивидуализации и снижению плотности социальных связей, особенно в межпоколенческом аспекте.",декларация,,,,,,,,,,,,
7,Последний год (60 лет),Потеря работы и разрыв социальных связей,"В прошедшем году респондентка столкнулась с закрытием торговой точки, потерей работы и внезапным исчезновением коллеги, с которой сложились доверительные отношения. Это стало эмоционально значимым событием.","Вот когда нам объявили, что мы будем закрываться, И она вот внезапно просто пропала с радара... То есть она просто пропала из моей жизни.","Огорчение, недоумение","Доверие, стабильность, дружба","Потеря работы и социальных связей в зрелом возрасте воспринимается как значимый стресс, но респондентка демонстрирует способность к рефлексии и поиску новых смыслов.",перелом,,"Малый бизнес, рынок труда",,,,,,,,,,
8,Последний год,Профессиональный рост и новые навыки,"Несмотря на потерю работы, респондентка отмечает приобретение новых знаний и навыков в сфере торговли и производства сыра, что воспринимает как ценный опыт.","Я получила знания все-таки в одной из областей, потому что с сыром я никогда раньше... вот этот вот новый продукт, который мы предлагали...","Гордость, удовлетворение","Обучаемость, профессионализм, оптимизм",Даже негативные события (потеря работы) рассматриваются как возможность для личностного и профессионального роста.,эпизод,,,,,,,,,,,,
9,Настоящее и будущее,Оптимизм и жизненные установки,"Респондентка декларирует жизненный оптимизм как главный принцип, унаследованный от семьи. Даже в трудные моменты она сохраняет позитивный настрой и веру в лучшее.","На жизнь надо всегда смотреть с позитивом. Всегда. Даже когда плохо, даже когда что-то, позитив нельзя убирать.","Оптимизм, уверенность","Позитив, устойчивость, семейные традиции",Оптимизм и вера в лучшее выступают важным ресурсом преодоления жизненных трудностей для представителей старшего поколения.,декларация,,,,,,,,,,,,
10,Настоящее и будущее,Планы на здоровье и активное долголетие,"Забота о здоровье становится приоритетом. Респондентка планирует медицинские обследования, связывает с этим свои будущие возможности, в том числе путешествия и работу.","Здоровье, например, это у меня просто план номер один, который, ну, это уже запрограммировано...","Решимость, забота","Здоровье, активность, самостоятельность","Здоровье становится центральной ценностью и условием активного долголетия, что типично для людей старшего возраста.",узел,,,False,,,,,,,,,
11,Настоящее и будущее,Семейные проекты и поддержка близких,"Респондентка участвует в семейном проекте по поиску архивных документов для поддержки свекрови, что укрепляет семейные связи и придает смысл повседневности.",Сейчас мы развернули со свекровью большую работу. Вот как раз сейчас я рассылаю письма по архивам...,"Увлеченность, забота","Семья, поддержка, преемственность","Семейные проекты становятся важной частью жизни, способствуя межпоколенческому взаимодействию и укреплению идентичности.",эпизод,,,,,,,,,,,,
1,"Зрелость, профессиональная деятельность",Отношение к работе и покупателям,"Респондент рассказывает о своем подходе к работе, стараясь приносить радость покупателям, особенно пожилым людям, проявляя заботу и внимание к их нуждам.","Я люблю, чтобы мой покупатель уходил довольный... Я вижу, что она рада, потому что купила действительно хорошую вещь, еще и за такие большие деньги, и она сварит такой вкусный супчик.","Теплота, забота, удовлетворение","Сострадание, эмпатия, желание помогать, радость других","Респондент демонстрирует ценности сервисной ориентации и эмпатии, что характерно для работников сферы обслуживания, особенно в условиях экономических ограничений покупателей. Особое внимание уделяется уязвимым группам (пенсионеры), что отражает социальную солидарность.",эпизод,,Розничная торговля,,,"Работа с покупателями, индивидуальный подход",,,,,,,
2,"Зрелость, рефлексия о ценностях",Отношение к старикам и детям,"Респондент размышляет о своем особом отношении к пожилым людям, цитируя известную фразу о трепетном отношении к детям и старикам, и отмечает, что современные старики оказались в сложной жизненной ситуации.","Вот эта фраза из Штирлица очень нравится, когда он сказал, что это у меня трепетное отношение к детям и к старикам... Особенно вот к сегодняшним старикам, которые вот оказались-то вот в этой жизни, они не из этой жизни, а оказались в этой жизни.","Сочувствие, грусть, уважение","Уважение к старшему поколению, эмпатия, социальная ответственность","Респондент осознает социальную изоляцию и уязвимость пожилых людей в современной экономической и культурной ситуации, что формирует у нее особое отношение и желание помогать.",декларация,1.0,,,,,,,,,,,
3,"Зрелость, повседневная жизнь",Стремление приносить радость окружающим,"Респондент считает важным приносить радость людям в повседневной жизни, несмотря на общие трудности и заботы, с которыми сталкиваются все.","Поэтому как-то стараешься, что действительно на каждом этапе, на каждой встрече какой-то, человек от тебя получал какой-то заряд положительный.","Оптимизм, желание поддержать","Позитив, поддержка, альтруизм","В условиях повседневных стрессов и забот респондент видит свою миссию в создании позитивной атмосферы для окружающих, что может рассматриваться как стратегия психологической адаптации.",декларация,,,,,,,,,,,,
4,"Зрелость, благотворительность и семейные отношения",Благотворительность и поддержка близких,"Респондент занимается благотворительностью, помогая приютам для собак, а также поддерживает свекровь материально, несмотря на ее протесты, считая это проявлением заботы и возможности сделать доброе дело.","Я, например, жертвую приютом собачьим... Я иногда свекрови денег подкидываю, хотя она ругается страшно, говорит, мне так неудобно, мне так неудобно.","Забота, теплота, легкая грусть","Благотворительность, семейная поддержка, щедрость","Респондент проявляет социальную ответственность не только в профессиональной, но и в личной жизни, поддерживая как незнакомых (приюты), так и близких людей (свекровь), что свидетельствует о широкой социальной эмпатии.",эпизод,,"Благотворительные организации, семья",False,,,,,,,,,
5,"Зрелость, экономическая адаптация",Экономические стратегии и забота о близких,"Респондент описывает, как помогает свекрови и использует различные скидки и бонусы для экономии, подчеркивая разницу в возможностях между поколениями.","Я могу ходить утром в пятерочку, у меня будет скидка 10%. Пусть не на все. Но хотя бы на кошачий корм. Я возьму уже не по 29 рублей, а по 26. А если еще у меня стоит бонус на карте, то он вообще у меня будет по 22.","Практичность, забота","Рациональность, забота о семье, экономия","Респондент демонстрирует типичные для среднего класса стратегии экономии и поддержки старшего поколения, что отражает современные тенденции в российском обществе, связанные с ростом цен и необходимостью финансовой взаимопомощи в семье.",эпизод,,,,,"Потребительские практики, использование скидок",,,,,,,
1,Детство (0-6 лет),Ранние воспоминания и переезд,"Респондентка родилась на Сахалине, но раннее детство помнит плохо. В возрасте 5 лет семья переехала в Ейск благодаря выигрышу отца в лотерею. Переезд был обусловлен заботой о здоровье детей.","Почему? Потому что я родилась на Сахалине, в городе Невикс. Но свое раннее детство я, честно сказать, помню плохо, ну, какими-то отрывками. И вот почему-то именно с Ельска у меня как-то... Мне было тогда 6 лет. 5 лет было, потому что в 6 я пошла уже в школу.","ностальгия, лёгкая отстранённость","семья, забота о здоровье, судьба/случай",Переезд семьи по причине выигрыша в лотерею иллюстрирует роль случайности и экономических обстоятельств в биографиях советских семей. Забота о здоровье детей становится определяющим фактором для смены места жительства.,эпизод,,семья,False,,False,,,,,,,
2,Детство (5-7 лет),Формирование интереса к чтению и семейные традиции,"В Ейске, во время болезни, мать читала респондентке книги, что пробудило у неё желание научиться читать. К школе она уже хорошо читала, а любовь к книгам осталась на всю жизнь.","И вот, наверное, у меня вот с шести лет у меня вот любовь к книгам.","тёплая благодарность, радость","образование, семейная поддержка, саморазвитие",Семейное чтение и поддержка матери способствовали раннему развитию интереса к образованию. Книга как символ культурного капитала в советской семье.,узел,,"семья, школа",False,,False,,,,,,,
3,Детство (6-8 лет),Дворовые игры и воображение,"Воспоминания о дворовых играх с братом, фантазиях о морских приключениях и совместных шалостях. Важную роль играют рассказы матери и брат как партнёр по играм.","И мама постоянно рассказывала историю про какую-то женщину, я вот сейчас ее уже не помню, мама рассказывала историю про женщину-капитана. Вот, я почему-то себя представляла именно вот тоже капитаном.","весёлое возбуждение, лёгкая тревога (из-за страха наказания)","семейные отношения, воображение, самостоятельность",Детские игры и рассказы родителей формируют воображение и идентичность. Старший брат выступает как важный агент социализации.,эпизод,,"семья, двор",False,,False,,,,,,,
4,Детство — ранний школьный возраст,Школьные впечатления и коллективные практики,"Воспоминания о школьных фильмах, совместном просмотре и обмене впечатлениями с одноклассниками. Школа воспринимается как место радости и единения.","Мне очень жаль, что многое вот из того, что было у нас хорошего, оно, к сожалению, ну, вот, прекратило свое существование, потому что все-таки нас очень сильно объединяли вот эти фильмы...","ностальгия, лёгкая грусть","коллективизм, дружба, культурные традиции",Коллективные школьные практики (просмотр фильмов) способствовали формированию чувства общности и культурной идентичности. Сравнение с современностью подчёркивает утрату коллективных форм досуга.,декларация,,школа,False,,False,,,,,,,
5,Детство — возвращение на Сахалин,Семейные традиции и трудолюбие матери,"После возвращения на Сахалин мать не работала, но занималась шитьём одежды для дочери, что стало семейной традицией. Воспоминания о подготовке к школе и заботе матери.","И у нас вот такая традиция была, что все формы она мне шила сама. С первого класса и по последний... последнюю ночь наметывала последние дешки, пришивала последние пуговицы.","тёплая благодарность, семейная гордость","семейные традиции, трудолюбие, забота",Труд матери и индивидуальный подход к одежде ребёнка иллюстрируют особенности быта и гендерных ролей в советской семье. Шитьё как форма заботы и проявления любви.,узел,,семья,False,,False,,,,,,,
6,Подростковый возраст — переход в городскую школу,Социализация и адаптация в новой среде,"Переезд из посёлка в райцентр (Анива), поступление в городскую школу. Испытание стереотипами (ожидания от 'девочки из деревни'), но положительный опыт благодаря интересным учителям и атмосфере школы.","Но поскольку я девочка была из деревни, Помню, что директор этой школы была такая высокая, очень худая... И когда мы пришли в школу, и помню, что она смотрит на меня сверху вниз, она тоже высокая была, смотрит на меня и спрашивает, сколько троек? А я так сжалась, ну я тогда была такая скромная очень...","тревога, неуверенность, затем благодарность и радость","образование, преодоление трудностей, открытость новому","Переход из сельской в городскую школу сопровождается социальной стигматизацией, но также открывает новые возможности для развития. Важную роль играют харизматичные учителя и школьное сообщество.",перелом,,школа,False,,False,,,,,,,
1,Детство и школьные годы,Самостоятельность в учебе и школьная среда,"Респондентка вспоминает, что мать не контролировала её учебу в школе, доверяя её ответственности. Учёба давалась легко, интерес проявлялся как к точным, так и к гуманитарным предметам. В классе учились дети из обеспеченных семей, но атмосфера была дружелюбной и без показного превосходства.","Она сказала, что я пришла первый раз в школу, привела тебя в пятый класс, последний раз я приду в школу на выпускной вечер.","Спокойствие, удовлетворение, лёгкая ностальгия","Самостоятельность, доверие, равенство, уважение","Воспоминания о школьной жизни иллюстрируют советскую модель воспитания, где самостоятельность поощрялась, а социальное неравенство не проявлялось открыто. Отмечается отсутствие демонстративного потребления среди детей элиты.",эпизод,1.0,школа,,,,,,,,,,
2,"Переходный возраст, выбор профессии",Интересы и первые образовательные выборы,"Респондентка проявляла интерес к английскому языку и физике, задумывалась о поступлении в ОМГУ, но под влиянием матери рассматривала и другие варианты. Вспоминает опыт обучения в деревенской и городской школе, где уровень английского оказался выше в деревне.",В пятом классе английский для меня это было что-то прекрасное.,"Воодушевление, интерес, лёгкое сожаление","Любознательность, стремление к знаниям, уважение к учителям","Переход из деревенской школы в городскую сопровождался неожиданным преимуществом в знаниях, что говорит о высоком уровне отдельных сельских школ и роли харизматичных учителей.",эпизод,1.0,школа,,,,,,,,,,
3,"Окончание школы, попытка поступления в вуз",Первые шаги к высшему образованию и трудовой опыт,"После окончания школы респондентка с матерью пыталась поступить в МГУ, но столкнулась с барьерами для иногородних. В ожидании следующей попытки год работала уборщицей на рыбокомбинате, где проявляла активность и общественную инициативу.","Я целый год проработала уборщицей. Ну, естественно, что меня любили, потому что я была самая молоденькая.","Сдержанный оптимизм, принятие","Трудолюбие, активность, адаптивность","Опыт работы на производстве в юном возрасте был типичен для советской молодёжи, особенно в периоды ожидания поступления в вуз. Отмечается неформальная социализация и раннее включение в трудовые коллективы.",эпизод,1.0,рыбокомбинат,,,наёмный труд,,,,,,,
4,Поступление и обучение в техникуме,Выбор специальности и студенческая жизнь,"Под влиянием матери респондентка поступила в сельскохозяйственный техникум, где получила специальность зоотехника. Учёба проходила в многонациональной среде, отмечается высокий уровень преподавания и насыщенная студенческая жизнь.",Я попала в саркосттехникум. Там я отучилась три года и вышла оттуда за техникой по воспроизводству стада. То есть я научилась делать телят.,"Гордость, благодарность, тёплая ностальгия","Профессионализм, дружба, открытость к разным культурам",Техникумы в советское время были важным каналом социальной мобильности. Многонациональная среда способствовала формированию толерантности и межкультурных связей.,узел,1.0,Яхровский совхоз-техникум,,,,,,,,,,
5,Студенчество,Межнациональные отношения и студенческие традиции,"Респондентка описывает дружелюбную атмосферу в техникуме, где студенты разных национальностей жили и учились вместе без конфликтов. Приводит примеры совместных развлечений, взаимопомощи и уважения.","Я видела, что люди разных национальностей могут существовать вместе. Но если они не... Наверное, притесняют друг друга, когда они равны в своих мнениях, в своих поступках.","Тёплая ностальгия, радость, благодарность","Толерантность, дружба, равенство","Опыт совместной жизни и учёбы в многонациональном коллективе формировал у респондентов установки на межэтническую толерантность, что контрастирует с современными тревогами по поводу миграции.",эпизод,1.0,общежитие техникума,,,,,,,,,,
6,Начало профессиональной деятельности,Распределение и первые трудности на работе,"После окончания техникума респондентка получила распределение в Подмосковье, где столкнулась с несоответствием между теорией и практикой, а также с недружелюбным отношением на производстве. Вопрос с жильём был решён не в её пользу — вместо квартиры дали комнату.","А там еще и за квартиру у нас был вопрос, потому что молодому специалисту тогда полагалось жилье. И было обещание, что у меня будет квартира. А вместо квартиры мне дали комнату в трёхкомнатной квартире.","Разочарование, обида, настойчивость","Справедливость, профессионализм, самостоятельность","Система распределения молодых специалистов часто не оправдывала ожиданий, что приводило к разочарованию и мобильности. Жилищный вопрос был одним из ключевых факторов адаптации молодых специалистов.",перелом,1.0,"совхоз, распределение",квартира,комната в коммунальной квартире,,,,,,,,
7,Профессиональная зрелость и перестройка,Работа в животноводстве и переход к частной деятельности,"Респондентка долго работала по специальности, но с развалом хозяйства в 1990-е годы перешла к частному производству и торговле молочными продуктами на рынке.","Когда работа уже не стала по большому счету, то мы купили сепаратор, делали сметану, творог. И я ездила на рынок торговать.","Адаптация, практичность, лёгкая ирония","Трудолюбие, предприимчивость, семейная поддержка","Переход от государственной к частной занятости был массовым явлением в 1990-е годы. Женщины активно включались в рыночную экономику, используя профессиональные навыки для выживания семьи.",узел,1.0,,,,частное предпринимательство,,,,,,,
1,"Юность, ранняя молодость",Случайное знакомство и начало журналистской карьеры,"Респондентка случайно знакомится с журналистами районной газеты, рассказывает им о своей жизни, что производит на них впечатление. Позже её приглашают работать корреспондентом, что становится началом её профессионального пути в журналистике.","И она сказала, вот вам корреспондент. Вот так. Оказалось, что им требовался корреспондент в психозотдел, короче говоря. Но и тут оказалась я со своим подвешенным языком, со своей любовью к литературе и прочее. И так я попала в журналистику.","Воодушевление, удивление, гордость","Открытость к новым возможностям, коммуникабельность, любовь к литературе",Случайные встречи и неформальные коммуникации часто играют ключевую роль в профессиональной социализации в малых городах и сельской местности.,перелом,,Районная газета,,,False,,,,,,,
2,"Молодость, профессиональное становление",Работа в журналистике и сельская жизнь,"Респондентка работает корреспондентом, пишет о жизни односельчан, совмещает работу с ведением хозяйства (держит корову). Описывает колоритные истории из жизни села, отмечает интерес читателей к её материалам.","Я очень много писала тогда, я писала и про своих односельчан, про там, где я жила, это называлось село Веденское.","Ностальгия, удовлетворение, теплота","Трудолюбие, связь с родными местами, уважение к простым людям","Журналистика в сельской местности тесно переплетена с личной жизнью, а профессиональная идентичность формируется на стыке труда и быта.",эпизод,,Редакция районной газеты,False,,,,,,,,,
3,"Молодость, зрелость",Профессиональная компетентность и уважение к сельскому труду,"Респондентка подчеркивает свою компетентность в сельском хозяйстве, рассказывает о случаях, когда её знания помогали избегать ошибок в журналистских материалах. Делится уважением к сельским жителям и их труду.","Я-то была специалист сельского хозяйства. То есть я представляла все, как сеется, как убирается, как пашется, как стена сгребается...","Гордость, уважение, юмор","Профессионализм, честность, уважение к труду",Профессиональные знания и опыт становятся инструментом социальной легитимации и позволяют занимать уважаемое положение в локальном сообществе.,декларация,,,,,False,,,,,,,
4,"Молодость, зрелость","Сельская культура, традиции и быт","Респондентка описывает особенности сельской жизни: музыкальные традиции, взаимопомощь, отношение к труду, бытовые привычки. Делится историями о соседях и односельчанах.","Вот такая любовь была у этих, собственно говоря, молодых людей... Это было очень интересно, потому что мы ездили по всем селам.","Теплота, умиление, уважение","Семейственность, взаимопомощь, любовь к жизни","Сельская культура характеризуется высокой степенью взаимозависимости, коллективизмом и сохранением традиций.",эпизод,,,False,,,,,,,,,
5,"Зрелость, переезд","Переезд, освоение новых технологий и поиск работы","Респондентка решает изменить жизнь, осваивает компьютер, интернет, ищет работу через сайты, получает предложение из Псковской области и переезжает, оставив хозяйство матери.","Я научилась на нем работать, я закончила курс компьютерные. Интернет, конечно, был очень слабенький, очень такой вот. Но, тем не менее, я в интернет заходила, я нашла сайты какие-то рабочие, я скинула резюме.","Решимость, тревога, надежда","Самостоятельность, стремление к развитию, адаптивность",Освоение цифровых технологий становится инструментом социальной мобильности и выхода за пределы локального сообщества.,перелом,,,True,,True,,,,,,,
6,"Зрелость, адаптация в новых регионах",Переезд в Ленинградскую область и интеграция в городскую жизнь,"После Псковской области респондентка переезжает в Ленинградскую область, начинает новую жизнь на окраине Санкт-Петербурга, занимается индийскими танцами, впервые выезжает за границу.","И вот здесь, собственно говоря, отсюда у меня и началась моя петербургская жизнь.","Вдохновение, радость, открытость","Открытость миру, стремление к новому опыту, культурная любознательность","Переезд в крупный город и освоение новых практик (танцы, путешествия) свидетельствуют о расширении горизонтов и успешной интеграции в городскую среду.",узел,,,True,,True,,,,,,,
7,"Зрелость, рефлексия",Отношение к сельскому прошлому и культурная идентичность,"Несмотря на переезд и новую жизнь, респондентка сохраняет любовь к сельскому труду и культуре, отмечает уникальность сельских традиций и людей.","И вот эта вот любовь, я, конечно, вот сейчас переехала уже, я вот 10 лет живу, ну, практически в Санкт-Петербурге. Вот. Но вот эта вот любовь вот к этому сельскому, вот к труду, к сельскому, вот ко всему, она, конечно, осталась.","Ностальгия, благодарность","Память о корнях, уважение к традициям, трудолюбие",Миграция не всегда ведет к разрыву с прежней идентичностью; сохраняется связь с культурным наследием и ценностями родного места.,декларация,,,,,False,,,,,,,
8,"Детство, ранняя семья","Семейная история, развод родителей, родственные связи","Респондентка рассказывает о разводе родителей, жизни с матерью, бабушкой, тетей и двоюродным братом. Описывает семейную сплоченность и традиции.","Мы жили одной семьей... Дом был на две половины. В одной стороне жили мы втроем. А на второй половине жила тетушка, бабушка наша, мамина мама и Миша. И мы жили просто одной семьей.","Теплота, благодарность, легкая грусть","Семейственность, поддержка, уважение к старшим","Расширенная семья и совместное проживание нескольких поколений — характерная черта советского и постсоветского быта, обеспечивающая устойчивость и поддержку в трудные периоды.",эпизод,,,True,,,,,,,,,
1,Профессиональное становление и ранняя карьера,Выбор профессии и смена профессионального пути,"Респондентка изначально выбрала профессию зоотехника, но из-за отсутствия подходящей работы была вынуждена сменить сферу деятельности на журналистику, связанную с сельским хозяйством. Она сожалеет, что не попала в хорошее хозяйство, где могла бы реализовать себя и построить карьеру, а также обрести семью.","Если бы я попала в хорошее хозяйство, к какому-то хорошему директору, ну, подвезло как-то другому, то, наверное, я была бы уже давным-давно заслуженным зоотехником России, с хорошим домом, возможно, с хорошей семьей, с детьми, с внуками...","Сожаление, легкая грусть, принятие","Профессиональная самореализация, стабильность, семейные ценности","Ситуация респондентки иллюстрирует типичную для провинциальных регионов России проблему ограниченного выбора рабочих мест и влияния социальных институтов (например, хозяйства, директора) на жизненные траектории. Также заметна высокая значимость профессии и семьи как идеалов.",перелом,,"сельскохозяйственное предприятие, журналистика",да (мечта о хорошем доме),,ограниченное (зависимость от наличия рабочих мест),,,,,,,
2,Молодость и личная жизнь,Личные отношения и отсутствие брака,"Респондентка рассказывает, что у нее не было серьезных отношений и брака, поскольку в деревне не было подходящих людей для создания семьи. Она отмечает, что была окружена поддержкой, но романтических отношений не сложилось.","Отношений не было. Не из кого было выбрать, к огромному сожалению.","Сожаление, одиночество, принятие","Честность, самостоятельность, поддержка окружения","Отсутствие брака и отношений респондентка связывает с демографическими и социальными особенностями сельской местности, где ограничен круг потенциальных партнеров. Подчеркивается ценность взаимопомощи и неформальных связей.",декларация,,"деревня, локальное сообщество",,,низкая (ограниченный брачный рынок),,,,,,,
