id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation,religion,region,psychological_support,family_structure,social_guarantees,psychological_coping,career_mobility
6,Настоящее,"Экономика, развитие и миграционные настроения","Респондент считает, что для развития страны нужно закончить конфликт, вкладывать ресурсы в детей, спортсменов, предприятия. Отмечает, что многие знакомые хотят уехать, но сама не планирует.","В первую очередь, это понятно, что пока мы не уладим этот конфликт, идут огромные средства из бюджета. Поэтому нам нужно уладить этот конфликт и потом развивать.","прагматизм, тревога","развитие, забота о будущем","Видна усталость от войны и запрос на экономическую стабильность, а также осознание миграционных настроений в окружении.",узел,,,,,,,,,,,
7,Настоящее,Оценка государственных инициатив и социальной политики,"Респондент положительно оценивает инициативы по переобучению, поддержке матерей, считает нужным регулярное обновление знаний (например, ПДД). Отмечает, что социальная политика требует доработки, но в целом работает.",Я вот за эти вот правильные подходы вот постоянно надо людям надо освежать память и вот те же ПДД...,"одобрение, рациональность","обучение, социальная поддержка","Прагматичный взгляд на государственные реформы, поддержка инициатив, направленных на адаптацию граждан.",декларация,"РЖД, государственные программы",,,,,,,,,,
8,Настоящее,Участие в выборах и отношение к электронному голосованию,"Респондент участвует в выборах, но теперь делает это через госуслуги из-за нехватки времени. Считает это удобным.","Да, выборки я принимаю, но сейчас в последнее время, мало времени, я это делаю на госуслугах. Это очень удобно.",удовлетворение,"гражданская ответственность, технологичность","Рост доверия к электронным сервисам, адаптация к цифровизации государственных услуг.",эпизод,,,,,,,,,,,
9,Настоящее,Отношение к государственным монополиям,"Работая в РЖД, респондент считает государственные монополии эффективными, но отмечает, что время меняется, и нужно принимать новые условия и работать с новаторством.","Если анализировать со своей рабочей точки, то я считаю, что да.","прагматизм, умеренный оптимизм","профессионализм, адаптация","Лояльность к институту, в котором работает, и готовность к переменам.",декларация,РЖД,,,,,,,,,,
10,Настоящее,Восприятие коррупции и бюрократии,"Респондент сталкивалась с коррупцией в медицине и сфере недвижимости, не знает, как с этим бороться.","Столкнулась с коррупцией в медицине неоднократно. Ну, решили, там, есть такие моменты, да, там, и... У недвижимости есть аспекты.","разочарование, бессилие","справедливость, честность","Коррупция воспринимается как часть повседневности, с которой сложно бороться на индивидуальном уровне.",эпизод,,,,,,,,,,,
11,Настоящее,Личное восприятие СВО и его последствий,"СВО сильно затронула респондента и ее окружение: близость к зоне конфликта, гибель знакомых, тревога за будущее, осознание долгосрочных последствий для общества и семей.","СВО очень сильно меня затронуло, потому что это наша ближайшая территория. Мама с Таганрога, я сама с Таганрога. Это все рядом. Эти леты мы слышим. Не по наслышке.","боль, тревога, сочувствие","семья, безопасность, поддержка","Глубокое личное вовлечение в конфликт, типичное для жителей приграничных регионов.",эпизод,,,,,,Таганрог,,,,,
12,Настоящее,Использование цифровых технологий и отношение к ним,"Респондент уверенный пользователь компьютера и смартфона, использует интернет и приложения для работы и быта, предпочитает практичные сервисы. Соцсети использует мало, считает их тратой времени.","Я тебя не назову, но на уровне пользователя, то есть компьютер, как бы я хорошо с ними дружу...","уверенность, рациональность","практичность, эффективность","Поколенческий сдвиг к цифровизации, но с прагматичным подходом к выбору сервисов.",декларация,,,,активный пользователь цифровых сервисов,,,,,,,
13,Настоящее,Влияние соцсетей на общение,"Респондент отмечает, что соцсети изменили стиль общения, люди меньше встречаются лично, даже с соседями и родственниками.","Многие перестали участвовать в живую. Некоторые нет времени, могут просто по видеосвязи пообщаться.","легкая грусть, принятие","живое общение, близость",Отражает общую тенденцию цифровизации коммуникаций и ностальгию по личным встречам.,декларация,,,,,,,,,,,
14,Настоящее,Потребление онлайн-сервисов и подписок,"Семья активно использует платные подписки (Яндекс Плюс, Сбер Прайм), онлайн-магазины, сервисы доставки. Технику предпочитают выбирать офлайн, но покупают онлайн.","Подписками, сервисами люблю я пользоваться. Как дочке подарили Алису, с этого и пошло знакомство с Яндексом...","удовлетворение, интерес","комфорт, технологичность","Рост цифрового потребления, интеграция онлайн-сервисов в повседневную жизнь.",эпизод,,,,активный пользователь подписок,,,,,,,
15,Настоящее,Отношение к искусственному интеллекту и новым технологиям,"Респондент положительно относится к ИИ, использует голосовых помощников, переводчики, планирует пройти курсы по ИИ для работы в логистике.","Я считаю, что это... Я думаю, что это лучше для нашей жизни. Все плюсы.","оптимизм, интерес","обучение, инновации","Готовность к освоению новых технологий, интерес к их применению в профессиональной сфере.",декларация,,,,,,,,,,,
16,Настоящее,Влияние цифровых технологий на детей,"Дочь респондента зависима от телефона, были попытки ограничить использование, но безуспешно. Проблема решается разговорами и методом проб и ошибок.","Она у меня зависима и от этих всех телефонов... Вначале вообще, как бы, переводили на кнопочный телефон. Это и даже 11 класс. Но это все бесполезно.","беспокойство, усталость","забота о детях, баланс","Проблема цифровой зависимости подростков, типичная для семей с детьми школьного возраста.",узел,,,,,,,,,,,
17,Последний год,Ключевые события года и их влияние,"В семье не было глобальных изменений, год прошел спокойно, но вопросы безопасности остаются актуальными из-за близости к зоне конфликта. Главная потребность — разрешение конфликта.","Год прошел, 24-й, более-менее спокойно. Не считая, как территорию близко, затрагиваются вопросы безопасности.","спокойствие, легкая тревога","стабильность, безопасность","Даже при отсутствии личных потрясений, фон тревоги сохраняется из-за внешних обстоятельств.",эпизод,,,,,,,,,,,
18,Последний год,Изменения в жизни и карьере,"Респондент получила повышение по работе, в семье все хорошо, ценит здоровье и домашний комфорт как главное.","В карьере я получила не высшую стоящую должность, но другой разряд. По работе улучшилось, в семье все хорошо, все здоровы, живы, тепло, дома комфортно.","удовлетворение, благодарность","семья, здоровье, профессиональное развитие",Фокус на базовых ценностях и умеренный карьерный рост как источник удовлетворения.,эпизод,,,,,,,,,,,
1,"Настоящее, зрелый возраст (около 45 лет)",Оптимизм и вера в лучшее будущее,"Респондентка выражает оптимистичный взгляд на жизнь, веру в лучшее будущее для страны и семьи, желание стабильности и развития.","Ну, я всегда смотрю с оптимизмом, потому что хочется верить в лучшее, что будет всё хорошо, что в стране, что у нас дома все будут счастливы, здоровы, и вокруг будет мир.","надежда, оптимизм","семья, здоровье, мир, стабильность","Оптимизм и вера в лучшее — характерная черта для людей, стремящихся к стабильности в условиях неопределенности. Важность мира и здоровья отражает ценности зрелого поколения.",декларация,,,,,,,,,,,
2,"Настоящее, зрелый возраст",Планирование будущего и забота о семье,"Респондентка строит планы на будущее, связанные с улучшением условий жизни, заботой о детях и жилье. Планы воспринимаются как желания, но они мотивируют к действию.","Да, строим, потому что это касается жизни детей, улучшения условий проживания, замена дома. Да, строим планы, по-другому не так, на 5-10 лет, да.","умеренный оптимизм, реализм","семья, забота о детях, улучшение условий жизни","Планирование будущего связано с заботой о семье и жилье, что типично для зрелого возраста. Планы воспринимаются как ориентиры, а не как жесткие цели.",узел,,True,,,,,,,,,
3,Настоящее,Влияние внутреннего состояния на жизнь,"Респондентка считает, что многое зависит от внутреннего состояния, настроя, умения поддерживать себя и создавать вокруг себя позитивную атмосферу.","от своего внутреннего состояния, от взгляда, от того, как ты встал утром, в хорошем состоянии, ничего у тебя не болит, руки, ноги ходят, все, ты готов, полон сил, ты сам себя подбадриваешь...","саморефлексия, бодрость","саморазвитие, позитив, ответственность за атмосферу вокруг","Склонность к внутренней рефлексии и самоподдержке характерна для людей, переживших жизненные трудности и научившихся опираться на себя.",декларация,,,,,,,,,,,
4,Настоящее,Смысл жизни и приоритеты,"Для респондентки важны здоровье (физическое и эмоциональное), забота о себе как условие заботы о близких, удовольствие от работы и мелких добрых дел.","В первую очередь это меня научили так... работе проходили мы, в первую очередь, ты должна думать о себе. Если ты не подумаешь о себе, то как ты можешь позаботиться о своих близких...","уверенность, благодарность","здоровье, забота о себе и близких, труд, добрые поступки","Переосмысление приоритетов в зрелом возрасте: забота о себе становится не эгоизмом, а необходимым условием для заботы о других.",декларация,,,,трудовая занятость,,,,,,,
5,Рефлексия над прожитым,Оценка прошлого и сожаления,"Респондентка не жалеет о прошлом, но отмечает, что хотела бы больше времени проводить с родными, особенно с отцом, и больше общаться в студенческие годы.","Ну, я не жалею. Но вот как сложилось, так сложилось. Потому что это уже не изменить.","спокойствие, легкая грусть","семейные связи, принятие прошлого","Рефлексия над прожитым свойственна зрелому возрасту; сожаления касаются упущенного общения с близкими, что подчеркивает важность семейных связей.",рефлексия,,,,,,,,,,,
6,Настоящее,Страхи и заботы,"Главные страхи связаны с благополучием детей, мамы, мужа и мира в целом. Глобальных страхов нет, но есть тревога за близких.","Ну, конечно, есть страхи за детей, за будущее, за маму, как бы. Но таких прям глобальных страхов, допустим, я не боюсь там остаться одна...","тревога, забота","семья, безопасность, мир","Страхи респондента типичны для зрелых женщин: забота о близких выходит на первый план, личные страхи отходят на второй.",декларация,,,,,,,,,,,
7,Потеря близкого,Переживание утраты и отношение к смерти,"Смерть воспринимается как неизбежная часть жизни, особенно остро осозналась после потери отца. Важен вопрос качества жизни и того, что человек вносит в этот мир.","Думала, когда вот папу потеряла, ну вот. А так, в обычной жизни, ну, Но она неизбежна, как бы. То есть у каждого человека, я считаю, свой жизненный путь.","печаль, философское принятие","качество жизни, память о близких","Переживание утраты формирует зрелое отношение к жизни и смерти, смещая акцент на качество жизни и вклад в окружающий мир.",эпизод,,,,,,,,,,,
8,Настоящее,Самоанализ и принятие себя,"Респондентка склонна к самоанализу, признает свои слабости (лень, выгорание), но старается принимать себя и не идеализировать.","Все мы не идеальны, да, есть... Такие моменты, где-то присутствует и лень, и эмоциональное выгорание, и где-то вообще хочется все бросить. Ну, всякое бывает.","самопринятие, реализм","честность с собой, принятие несовершенства","Самоанализ и принятие своих слабостей — черта зрелой личности, способной к рефлексии и внутреннему росту.",декларация,,,,,,,,,,,
9,Настоящее,Отношение к политике и законам,"Респондентка не чувствует себя политически подкованной, но осознает важность знаний о законах. Критически относится к закону о банкротстве физических лиц и системе ЖКХ.","Мне непонятен закон разрешать банкротство. Я его не понимаю, не принимаю и не одобряю вообще.","непонимание, раздражение","справедливость, законопослушность","Недоверие к некоторым государственным институтам и законам типично для граждан, сталкивающихся с бюрократией и непрозрачностью системы.",декларация,"ЖКХ, законодательство о банкротстве",,,,,,,,,,
10,Настоящее,Общее ощущение от интервью,"Интервью воспринимается как разговор по душам, повод для самоанализа и подведения итогов жизни.","Как разговор по душам, ну вот встреча с психологом, и вот первая встреча, да, чтобы понять человеку, ну вообще же, вот или как разговор сам с собой...","размышление, легкая усталость","открытость, рефлексия","Глубинное интервью становится для респондента способом осмыслить свою жизнь, что подчеркивает терапевтический потенциал подобных исследований.",эпизод,,,,,,,,,,,
1,Раннее детство,Семейное окружение и быт,"Респондентка родилась в Таганроге, жила в большом доме с родителями и бабушкой. Воспоминания о детстве связаны с семейными традициями, совместными чаепитиями, заботой о животных и огороде. В семье одна, но были двоюродные братья и племянники. Детство описывается как теплое и трудовое.","Мы жили в большом доме. Бабушка, мама и папа. Я в семье одна. ... Очень мы его чтим, помним, как всегда. В Дни Победы часто вспоминают, альбом как бы есть.","Тепло, ностальгия, благодарность","Семья, традиции, трудолюбие, память о предках","Типичная для советского и постсоветского юга России семейная структура с несколькими поколениями под одной крышей, сильная роль бабушки, сохранение семейных ритуалов и памяти о предках.",эпизод,"семья, дом, традиции",False,,False,,,,,,,
2,Дошкольный и младший школьный возраст,Социальные связи и первые трудности,"Детство респондентки было беззаботным, но она ощущала одиночество из-за отсутствия братьев и сестер. Вспоминает о желании иметь братьев/сестер, о двоюродных братьях и племянниках. Начальная школа запомнилась несправедливостью со стороны учителей и разделением детей на любимчиков и остальных.","Мне все время хотелось... братьев, сестричек. ... Учительница была очень строгая, и класс был поделен, грубо говоря, на любимчиков, ну и просто дети, которые тянут программу.","Легкая грусть, чувство несправедливости, одиночество","Справедливость, принадлежность, дружба",Опыт одиночества в детстве и раннее столкновение с социальной иерархией в школе формируют у респондента ценность справедливости и желание быть услышанной.,эпизод,"школа, семья",False,,False,,,,,,,
3,Подростковый возраст и юность,"Школьные и внешкольные активности, выбор профессии","Респондентка занималась спортом и танцами, участвовала в хореографическом ансамбле. Семья имела средний доход, родители работали на железной дороге. После школы поступила в колледж на бухгалтера по совету родителей, но поняла, что это не ее путь.","Сначала я хотела быть бухгалтером. ... На тот момент, сейчас бы я рассуждала по-другому, тогда мы слушали родителей.","Поиск себя, неуверенность, благодарность","Самоопределение, уважение к родителям, трудолюбие",Выбор профессии под влиянием родителей и ограниченного профориентационного поля типичен для 1990-х годов. Внешкольные активности формируют социальные навыки.,узел,"школа, колледж, семья",False,,False,,,,,,,
4,Студенчество,"Переход к самостоятельности, институт, новые знакомства","После неудачного опыта в колледже респондентка переводится в университет путей сообщения, получает общежитие, заводит новых друзей. В институте появляется больше самостоятельности, ответственности, участвует в хоре и спорте. Первая любовь заканчивается трагически.","Я жила с девчонками, три девчонки были в комнате, ... В институте на третьем курсе у меня был молодой человек, который ухаживал. Но, к сожалению, он погиб.","Грусть, взросление, благодарность, самостоятельность","Дружба, самостоятельность, ответственность, память",Переезд в общежитие и участие в студенческой жизни способствуют формированию самостоятельности. Первая трагическая любовь — важный переломный момент взросления.,перелом,"университет, общежитие",True,,False,,,,,,,
5,"Молодость, начало трудовой деятельности",Начало карьеры и создание семьи,"После окончания института респондентка начинает работать в железнодорожной структуре, сначала учеником, затем специалистом. Познакомилась с будущим мужем через одногруппницу, вскоре вышла замуж. Получила жилье (квартира мужа).","Я очень благодарна родителям за случайный способ. Я не думала, кем я буду, что это будет мое призвание. ... В итоге мне нравится моя работа, мне нравится помогать людям.","Благодарность, удовлетворение, стабильность","Семья, труд, помощь другим, стабильность","Карьера строится по инерции, под влиянием родителей и обстоятельств. Создание семьи и получение жилья — важные этапы взросления и социальной интеграции.",узел,"ОРЖД, семья",True,,True,,,,,,,
6,"Зрелость, семейная жизнь","Рождение детей, семейные ценности, утраты","После свадьбы респондентка долго ждала рождения дочери, сталкивалась с трудностями по здоровью. Важными событиями стали смерть бабушки и отца, забота о матери, которая осталась одна. Семейные традиции и поддержка сохраняются.","Потом родилась дочка в феврале. Долгожданный ребенок, как бы желанный, все. ... Из таких грустных событий умерла бабушка у меня. И потом уже в 2009 году умер папа.","Радость, горе, забота, ответственность","Семья, забота о близких, преемственность, поддержка","Семейные и родственные связи остаются ключевыми, несмотря на утраты. Забота о пожилых родителях — важная часть женской биографии в российском контексте.",эпизод,семья,True,,False,,,,,,,
7,"Зрелость, расширение семьи",Жилищный вопрос и ипотека,"Планируя второго ребенка, семья принимает решение улучшить жилищные условия: продают старую квартиру и берут ипотеку на трехкомнатную квартиру в Ростове. Респондентка предпочла бы дом, но это оказалось невозможным. Мать осталась жить в Таганроге.","Когда мы уже планировали второго ребенка, мы реально понимали, что нам жилищное условие как-то менять. И тогда на этом этапе мы подумали про ипотеку.","Решимость, прагматизм, легкая грусть","Семейное благополучие, стабильность, забота о детях","Решение жилищного вопроса через ипотеку типично для среднего класса в 2000-х годах. Предпочтение дому отражает традиционные ценности, но экономические реалии диктуют выбор квартиры.",узел,"банк (ипотека), рынок недвижимости",True,,True,,,,,,,
1,"Взрослая жизнь, создание семьи",Покупка жилья и переезд,"В 2018 году семья респондентки взяла ипотеку, долго выбирала район и жильё, переезд совпал с рождением ребёнка. С тех пор живут в новой квартире.","В восемнадцатом мы заключили договор и как бы выбирали долго. Мы выбирали район. Ну, как бы, ну, много было критериев для подбора жилья.","Взволнованность, ответственность, удовлетворение","Семья, стабильность, комфорт, безопасность","Покупка жилья через ипотеку — типичная стратегия для семей среднего класса, отражающая стремление к стабильности и улучшению жилищных условий. Важность выбора района и критериев подчеркивает заботу о будущем детей.",узел,"ипотека, рынок недвижимости",True,,,,,,,,,
2,"Взрослая жизнь, семейный досуг",Отдых и компромиссы в семье,"Семья любит активный отдых, особенно поездки в горы и на море. Респондентка предпочитает море, муж — горы, поэтому ищут компромиссы. Отдых воспринимается как способ узнать новое.","Я к ним спокойна, но как бы он меня не заразил, я больше к морю. Поэтому мы ищем всегда компромиссы в плане того, что это активный отдых в горах.","Спокойствие, поиск баланса, лёгкая ностальгия","Семейное единство, открытость новому, компромисс","Семейный досуг строится на поиске баланса между интересами супругов, что отражает ценность компромисса и совместного времяпрепровождения.",эпизод,,,,,,,,,,,
3,"Взрослая жизнь, профессиональная деятельность",Работа и реструктуризация,"На работе происходили постоянные изменения: реструктуризация, смена статуса, перевод в другие подразделения. Это вызывало стресс и ощущение нестабильности.","На работе тоже была всякая ректуризация. Нас все время куда-то переводили, кому-то передавали. Это тоже своего рода меняли и место, где мы работали, и статус.","Тревога, усталость, неопределённость","Стабильность, профессионализм, адаптация","Реструктуризация и нестабильность труда характерны для постсоветских предприятий, особенно в окологосударственном секторе. Это влияет на чувство защищённости работников.",эпизод,"Организация, ранее под МПС (РЖД), сейчас коммерческая структура",,,,,,,,,,
4,"Взрослая жизнь, семейные роли",Профессия мужа и семейные финансы,"Муж респондентки — юрист, работает в разных фирмах, имеет дополнительный доход. Официально оформлен, с лицензиями. Образование получил в Ростове.","Муж у меня юрист, и он, так сказать, на свободных хлебах. То есть он как бы официально то в одной фирме, то в другой, но имеет как это называется, ну, дополнительный доход.","Уверенность, спокойствие","Профессионализм, самостоятельность, финансовая устойчивость","Мужчина как основной добытчик, но с гибкой занятостью — отражение современных тенденций на рынке труда, где ценится многофункциональность и дополнительные источники дохода.",декларация,,,,True,,,,,,,
5,"Родительство, воспитание детей","Воспитание дочери, выбор школы и увлечения","Дочь занималась танцами и музыкой, родители старались дать ей разностороннее развитие. Школу выбирали рядом с домом из-за логистики. Подростковый период был сложным, дочь проявляла самостоятельность.","Хотя многие рекомендовали в гимназию куда-то поездить. Это хлопотно, потому что машина у нас одна. И в основном ездит муж.","Забота, тревога, ответственность","Образование, развитие, семейное удобство","Выбор школы определяется не только качеством образования, но и логистическими возможностями семьи. Родители стремятся дать детям максимум, но вынуждены учитывать бытовые ограничения.",узел,"школа, музыкальная школа, кружки",,,,,,,,,,
6,"Родительство, взросление детей",Профориентация и поступление дочери,"Дочь долго определялась с выбором профессии, в итоге поступила на международные отношения в Ростовский университет. Обучение платное, бюджетных мест не было. Родители поддерживали, но выбор был трудным.","После кучи тестирований, как бы она сказала, я хочу поступать на международные отношения. Хотя до этого был инъяс. Но учителем я себя не вижу.","Волнение, поддержка, гордость","Самостоятельность, образование, поддержка семьи","Поступление в вуз — важный этап для семьи, особенно при отсутствии бюджетных мест. Родители поддерживают самостоятельность дочери, но финансовая нагрузка велика.",перелом,Ростовский университет,,,True,,,,,,,
7,"Родительство, взросление детей",Самостоятельная жизнь дочери,"Дочь живёт отдельно с подругами, так как общежитие не предоставили. Семья помогает финансово, но дочь проявляет самостоятельность, подрабатывает. Родители переживают, но гордятся её взрослением.","Жить, она сказала, будет отдельно. Это случилось на втором курсе, потому что, ну вот, сказала... Все, раз общежитие не положено, а снимать самостоятельно тоже, как бы, ну, не то, что накладно, но обучение платное, ну, накладно, да.","Тревога, гордость, облегчение","Самостоятельность, поддержка, ответственность","Отдельное проживание студентов — маркер взросления и самостоятельности, но также финансовой нагрузки на семью. Родители испытывают смешанные чувства: тревогу и гордость.",перелом,,False,,,,,,,,,
8,"Родительство, младший ребёнок",Воспитание младшего сына,"Младший сын Ярослав готовится к школе, пробует разные секции, но из-за слабого здоровья пока не нашёл подходящее занятие. Родители ищут баланс между развитием и здоровьем.","Он нигде ничего. То есть ему тяжело. Ну, там не проблема с здоровьем, но больше, так сказать, нехватка веса у нас.","Забота, тревога, терпение","Здоровье, развитие, поддержка","Родители стремятся развивать ребёнка, но вынуждены учитывать индивидуальные особенности и ограничения по здоровью. Важна поддержка и терпение.",эпизод,,,,,,,,,,,
9,"Взрослая жизнь, быт и домашние традиции",Животные в семье и мечты о доме,"В семье всегда были животные, особенно кошки. Респондентка мечтает о собаке, но считает, что это возможно только в собственном доме. Домашние обязанности распределены между членами семьи.","Очень люблю, очень хочу, мне нравится. Когда-нибудь в будущем, если что-то улучшится, это... покупать большой домик и тогда уже будет собака.","Тёплая ностальгия, мечтательность","Любовь к животным, уют, мечты о будущем",Домашние животные — часть семейной идентичности. Мечта о собственном доме с собакой символизирует стремление к улучшению жилищных условий и реализации личных желаний.,декларация,,True,,,,,,,,,
10,Детство и юность,Семейные ценности и отношения с родителями,"В детстве респондентка воспитывалась в строгой, но поддерживающей семье. Важны были взаимовыручка, компромиссы, совместные разговоры за столом. Отец был сдержан, мать — мягкая и поддерживающая.","Учили всегда добру. Помогать близким. Вера в лучшее, вера в хорошее. Взаимовыручка.","Благодарность, лёгкая грусть","Семейная поддержка, доброта, компромисс","Семейные традиции и ценности, заложенные в детстве, переносятся в собственную семью респондентки. Важность совместных разговоров и поддержки — ключевой элемент семейной культуры.",узел,,,,,,,,,,,
11,Детство и юность,Дефицит внимания и гиперопека в родительстве,В детстве респондентке не хватало внимания из-за занятости родителей. Это привело к гиперопеке по отношению к своим детям.,"Вот, наверное, то, что мне не доставало у меня в детстве, наверное, я принесла на своих детей. То есть это, наверное, можно сказать, как старшая говорит уже потом, гиперопека.","Рефлексия, сожаление","Забота, внимание, саморефлексия","Личный опыт дефицита внимания в детстве формирует стиль родительства — склонность к гиперопеке. Это типично для поколения, выросшего в 90-е годы.",декларация,,,,,,,,,,,
