id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,region,housing_type,siblings,neighborhood,market_participation,housing_change,housing_promised,health_status,housing,collapse_context,insurance_status,housing_status,pets,digital_adaptation,insurance
13,"Зрелость, последние годы",Потеря близких и влияние стресса на здоровье,"Смерть сестры и её мужа стала сильным стрессом, после чего у респондентки развился диабет. Она связывает болезнь с этим событием.","То, что похоронили родителей как-то. А, сестру мы похоронили. А через неделю похоронили ее мужа. Вот это вот с этого и пошло. Очень сильный стресс был.","горе, стресс","семейная сплочённость, эмоциональная устойчивость","Связь между тяжёлыми жизненными событиями и ухудшением здоровья, типичная для старшего поколения.",перелом,,,,,,,,,,,,,,,,
14,"Зрелость, последние годы",Стратегии поддержания здоровья,"Респондентка строго следует медицинским рекомендациям, ведёт активный образ жизни, сбросила значительный вес, что улучшило её самочувствие.","Я обращаюсь к врачу всегда. Обращаюсь к врачу. Следую рекомендациям этих врачей. Вовремя пью свои таблетки, покупаю таблетки. Но затем я все-таки веду здоровый образ жизни. Все равно стараюсь вести здоровый образ жизни. Я всегда в движении. И что мне очень понравилось, я в течение года сбросила около 40 килограмм.","гордость, удовлетворение","дисциплина, здоровье, активность",Пример успешной саморегуляции и медицинской комплаентности в пожилом возрасте.,эпизод,,,,,,,,,,,,,,,,
1,"Пожилой возраст, пенсионный период",Режим и структура приема лекарств,"Респондент принимает несколько лекарств на постоянной основе, хорошо знает их названия и строго соблюдает режим приема.","Я эти лекарства наизусть знаю, потому что это то, что я живу.","Серьезность, принятие необходимости","Здоровье, дисциплина, ответственность","Регулярный прием лекарств становится частью повседневной рутины пожилых людей с хроническими заболеваниями, формируя особую дисциплину и отношение к собственному здоровью.",эпизод,,,,,,Постоянный покупатель лекарств,,,,,,,,,,
2,Пожилой возраст,Отношение к официальной и народной медицине,"Респондент доверяет официальной медицине, но допускает использование народных средств при легких заболеваниях.",Я и подчиняюсь этой медицине... Народную медицину я тоже признаю. Но я ее признаю при легких каких-то своих болезнях.,"Умеренное доверие, прагматизм","Рациональность, доверие к профессионалам, открытость опыту","Сочетание доверия к официальной медицине с прагматичным использованием народных средств типично для старшего поколения, особенно при хронических заболеваниях.",декларация,,,,,,,,,,,,,,,,
3,Пожилой возраст,Критика коммерциализации медицины,"Респондент отмечает рост коммерциализации медицины, считает, что врачи часто назначают дорогие препараты и ориентируются на прибыль.","Сейчас уже больше коммерческая, конечно. Потому что я вот смотрю, они лекарства назначают всем как-то. Одно и то же всем назначают. И стараются подороже таблеточки заказать.","Недоверие, разочарование","Справедливость, забота, честность","Рост коммерциализации медицины вызывает недоверие у пожилых пациентов, усиливает ощущение уязвимости и несправедливости.",декларация,,,,,,,,,,,,,,,,
4,Пожилой возраст,Выбор между государственной и частной медициной,"Респондент отмечает, что в частной медицине врачи вежливее, но методы лечения схожи с государственными учреждениями. Чаще обращается в государственную медицину.","Ну, когда идешь на прием к платному врачу, там вот что единственное, там они более вежливы.",Сдержанная удовлетворенность,"Вежливость, профессионализм, доступность","Для пожилых людей важна не только медицинская помощь, но и отношение персонала. Однако экономические ограничения делают государственную медицину основным выбором.",декларация,Государственная и частная медицина,,,,,,,,,,,,,,,
5,Пожилой возраст,Роль государства в здравоохранении,"Респондент считает, что государство больше ориентировано на отчеты, а не на реальные нужды пациентов. Отмечает устаревшие постановления и недостаток новшеств.","Государство, наверное, больше это устраивает уже, отчёты.","Скепсис, разочарование","Обновление, забота, эффективность","Недоверие к государственным институтам и ощущение формализма в их работе характерны для пожилых людей, сталкивающихся с бюрократией.",декларация,Государство,,,,,,,,,,,,,,,
6,Пожилой возраст,Доступ к качественной медицине,"Респондент отмечает, что сейчас для получения качественной медицинской помощи нужны деньги, а не связи.","А сейчас, наверное, нужны только деньги, чтобы получить что-то качественное.","Реализм, некоторая обреченность","Доступность, справедливость",Сдвиг от системы «по знакомству» к системе «за деньги» воспринимается как ухудшение доступности медицины.,декларация,,,,,,,,,,,,,,,,
7,"Пожилой возраст, пандемия COVID-19",Отношение к вакцинации,"Респондент раньше полностью доверяла прививкам, но после пандемии COVID-19 стала относиться к ним с недоверием.","А раньше такая стопроцентная вера была в медицину, что мы все прививки все всегда вовремя делали. Но вот с ковидом мы столкнулись, и какое-то недоверие пошло.","Разочарование, тревога","Безопасность, доверие, осторожность","Пандемия COVID-19 стала переломным моментом в отношении к вакцинации у части пожилых людей, усилив недоверие к системе здравоохранения.",перелом,,,,,,,,,,,,,,,,
8,"Пожилой возраст, выход на пенсию",Медицинское страхование,"После выхода на пенсию респондент лишилась добровольной медицинской страховки, осталась только ОМС.","Когда работали, у нас были. А потом, когда мы уже вышли на пенсию, у нас эти страховки отпали.",Сожаление,Социальная защищенность,Потеря ДМС после выхода на пенсию снижает чувство защищенности и доступ к дополнительным медицинским услугам.,узел,"ОМС, ДМС",,,,,,,,,,,,,,,
9,Пожилой возраст,Оценка качества медицинской помощи,"Респондент не полностью довольна качеством медицинской помощи, но вынуждена доверять врачам из-за зависимости от них.","Я не скажу, что я довольна, но просто я без докторов никуда. Поэтому я стараюсь им верить, стараюсь их слушаться.","Сдержанное недовольство, вынужденное доверие","Доверие, выживание",Зависимость от системы здравоохранения формирует двойственное отношение: критика сочетается с вынужденным доверием.,декларация,,,,,,,,,,,,,,,,
10,Пожилой возраст,Опыт получения экстренной медицинской помощи,"Респондент не сталкивалась с отказом в экстренной помощи, помощь оказывалась своевременно.","Когда обращалась, обращаюсь всегда как бы, мне оказывают нужную мне помощь, первую помощь оказывают.","Благодарность, спокойствие","Надежность, поддержка",Положительный опыт взаимодействия со скорой помощью укрепляет доверие к отдельным элементам системы.,эпизод,,,,,,,,,,,,,,,,
11,Пожилой возраст,"Финансовые трудности, связанные с медициной","Респонденту приходилось брать кредит на лечение зубов, отмечает высокую стоимость медицинских услуг и анализов.","На лечение зубов приходилось брать кредит, чтобы зубы лечить, просто лечить ещё. Это роскошь зубы у нас.","Огорчение, усталость","Доступность, здоровье","Высокая стоимость медицинских услуг вынуждает пожилых людей брать кредиты, что усиливает финансовую нагрузку и стресс.",эпизод,,,,,,"Платные медицинские услуги, кредиты",,,,,,,,,,
12,Пожилой возраст,Эмоциональное состояние и способы справляться со стрессом,"Респондент испытывает тревогу и подавленность, особенно в плохую погоду, справляется с помощью общения с дочерью, подругами, а также медикаментов и отвлечения.","Когда есть уж такой стресс или что, опять-таки мне вот дочь помогает. Я как-то дочери, подруги помогают.","Тревога, благодарность","Семья, поддержка, общение",Семейные и дружеские связи играют ключевую роль в эмоциональной поддержке пожилых людей.,декларация,,,,,,,,,,,,,,,,
13,Пожилой возраст,Отношение к психологической помощи,"Респондент положительно относится к психологической помощи, но не обращалась к специалистам из-за материальных ограничений, предпочитает поддержку семьи.","Просто я, наверное, немножко материально стеснённая, поэтому для меня это тяжеловато всё-таки. А так вот я считаю, что, конечно, это большая помощь.","Понимание, сожаление","Психологическое здоровье, поддержка","Финансовые барьеры ограничивают доступ к психологической помощи для пожилых людей, несмотря на признание её важности.",декларация,,,,,,,,,,,,,,,,
14,Пожилой возраст,Отношение к альтернативным практикам и гадалкам,"Респондент скептически относится к гадалкам и гипнозу, считает гадалок хорошими психологами, но не верит в их предсказания.","Я считаю, что просто они хорошие психологи. И есть мошенники хорошие, которые заранее все знают, узнают, а потом уже ведут. Я отрицательно отношусь.",Скепсис,"Рациональность, критическое мышление",Скептическое отношение к альтернативным практикам характерно для части пожилых людей с опытом взаимодействия с официальной медициной.,декларация,,,,,,,,,,,,,,,,
15,Пожилой возраст,Забота о здоровье близких,"Респондент переживает за здоровье дочери, советует ей следить за анализами, но отмечает, что заставить лечиться сложно.","Советуешь. Сейчас больно-то не заставишь ведь. Советуешь. Всё, как-то больше советую.","Тревога, забота","Семья, забота",Забота о здоровье близких и попытки влиять на их поведение — важная часть жизни пожилых женщин.,эпизод,,,,,,,,,,,,,,,,
16,Пожилой возраст,Опыт ухода за родственниками и помощь подругам,"Респондент ухаживала за матерью после инсульта, сейчас помогает подругам ухаживать за их родственниками.","Моя помощь заключается в том, что я помогаю им физически смотреть за мамой, ухаживать.","Сочувствие, ответственность","Взаимопомощь, солидарность",Взаимопомощь среди пожилых женщин — важный ресурс в условиях недостатка социальных услуг.,эпизод,,,,,,,,,,,,,,,,
17,Пожилой возраст,Страх утраты самостоятельности,"Респондент боится оказаться прикованной к постели и зависеть от других, размышляет о том, кто сможет о ней позаботиться.","Я переживаю и говорю, не дай бог, не дай бог оказаться в постели как-то. Это меня тревожит все равно тоже по-своему.","Страх, тревога","Самостоятельность, достоинство",Страх утраты самостоятельности и зависимости от других — один из ключевых страхов пожилых людей.,декларация,,,,,,,,"Ожидание поддержки от дочери, мужа, подруг",,,,,,,,
18,Пожилой возраст,Источники дохода и финансовое положение,"Основные источники дохода — пенсия и помощь дочери. Пенсии маловаты, значительная часть уходит на лекарства.",Источники дохода у меня пенсия пенсия и скажем мир дочь она дочь финансирует нас.,"Смирение, некоторая неудовлетворенность","Семейная поддержка, финансовая стабильность",Финансовая зависимость от детей и высокая доля расходов на медицину типичны для пожилых семей с хроническими заболеваниями.,декларация,,,,,,,,,,,,,,,,
19,Пожилой возраст,Оценка уровня жизни и благополучия,"Респондент оценивает уровень жизни как средний: есть дом, огород, машина, но денег всегда не хватает, коммунальные услуги и продукты дорогие.","Слава богу, у нас все хорошо. что мы сыты, обуты, одеты, что у нас есть дом, у нас есть огород, у нас есть приусадебный участок, у нас есть дачка, у нас есть машина, то вроде, слава Богу.","Благодарность, реализм","Достаток, стабильность, благодарность",Сравнение своего положения с другими — типичная стратегия поддержания позитивного самоощущения у пожилых людей.,декларация,,,,,,,,,,"Собственный дом, приусадебный участок",,,,,,
1,Пенсионный возраст,Ограничения по здоровью и доходу,"Респондент отмечает, что из-за проблем со здоровьем не может подрабатывать, что ограничивает возможности улучшить материальное положение.","Если бы у нас было здоровье, то, естественно, мы бы подрабатывали бы, поэтому мы могли бы улучшить свое материальное положение. Но раз здоровья нет, то уже его нету.","Смирение, легкая грусть","Здоровье, материальная стабильность","Пенсионеры часто сталкиваются с ограничениями по здоровью, что влияет на их экономическую активность и уровень жизни.",декларация,,,,,,,,,,,,,,,,
2,Пенсионный возраст,Экономия и потребительское поведение,"Экономия осуществляется в основном на деликатесах, но основные потребности не ущемляются. К акциям и скидкам относятся положительно, если они честные.","Приходится экономить на деликатесах, а так основное, что нужно нам, мы не экономим.","Рациональность, осторожный оптимизм","Честность, разумное потребление","Пенсионеры вынуждены экономить, но стараются не ущемлять базовые потребности. Скепсис к маркетинговым трюкам.",эпизод,,,,,,,,,,,,,,,,
3,Пенсионный возраст,Адаптация к новым форматам покупок,"Респондент и её семья активно пользуются маркетплейсами, отмечают удобство и доступность, хотя помощь дочери важна для освоения новых технологий.","Сейчас уже и мы пенсионеры... Берем все, что надо... очень удобно.","Интерес, удовлетворение","Адаптивность, семейная поддержка","Пожилые люди осваивают цифровые сервисы, но часто с помощью молодых членов семьи.",узел,,,,,,активное использование маркетплейсов,,,,,,,,,,
4,Пенсионный возраст,Роль дочери в принятии решений,"Дочь активно помогает с выбором и покупкой товаров, особенно дорогих, а также с освоением новых сервисов.",Тут уже мы полагаемся на дочь.,"Благодарность, доверие","Семейная взаимопомощь, доверие",В пожилом возрасте дети становятся важным ресурсом для родителей в вопросах потребления и технологий.,узел,,,,,,,,,,,,,,,,
5,Пенсионный возраст,Отношение к кредитам и крупным покупкам,"Респондент избегает кредитов на пенсии, считая это рискованным. Крупные покупки совершаются редко и только после обсуждения с семьёй.","Мы на своей пенсии уже кредиты не берем. Это у нас может сын взять, а мы нет.","Осторожность, прагматизм","Финансовая ответственность, независимость","Пожилые люди склонны избегать долгов, опасаясь ухудшения финансового положения.",декларация,,,,,,,,,,,,,,,,
6,Пенсионный возраст,Семейная поддержка и финансовая устойчивость,"В трудных ситуациях респондент может рассчитывать на помощь дочери, что позволяет избегать серьёзных ограничений в базовых потребностях.","Я же у меня дочь палочковая, которая всегда поможет.","Уверенность, благодарность","Семейная сплочённость, взаимопомощь",Семейная поддержка — ключевой фактор финансовой устойчивости пожилых людей.,узел,,,,,,,,,,,,,,,,
7,Пенсионный возраст,Организация повседневных покупок,"Покупки вещей осуществляются онлайн с помощью дочери, продукты — совместно с мужем в супермаркетах. Походы в магазин воспринимаются как приятное событие.","Если в таких продуктовых магазинах, то это уже мы с мужем. Нам даже нравятся эти поездки, эти покупки.","Удовольствие, радость","Семейное время, комфорт",Для пожилых людей походы в магазин могут быть формой досуга и социализации.,эпизод,,,,,,,,,,,,,,,,
8,Пенсионный возраст,Использование доставки и отношение к полуфабрикатам,"Доставка продуктов используется в случае болезни, но полуфабрикаты не покупают — предпочитают готовить сами.","Нет, полуфабрикатами мы не пользуемся. Мы сами готовим.","Уверенность, традиционность","Здоровое питание, самостоятельность","Пожилые люди склонны сохранять традиционные пищевые привычки, даже при наличии новых сервисов.",эпизод,,,,,,,,,,,,,,,,
9,Пенсионный возраст,Финансовое планирование и сбережения,"Респондент старается откладывать деньги от пенсии к пенсии, хранит сбережения на банковском счёте, пользуется картой.","От пенсии к пенсии, да, мы откладываем деньги.","Рациональность, осторожный оптимизм","Финансовая дисциплина, безопасность",Даже при ограниченных доходах пенсионеры стремятся к финансовой подушке безопасности.,декларация,,,,,,,,,,,,,,,,
10,Пенсионный возраст,Собственность и долговые обязательства,"Семья владеет жильём, автомобилем, участком, дачей. Кредитами не пользуются, долговых трудностей не испытывали.","Кредитами не пользуйтесь. Долг мы деньги брали, но чтобы были трудности, отдавать или что, такого, конечно, не было.","Уверенность, спокойствие","Собственность, финансовая независимость",Наличие собственности и отсутствие долгов — важные индикаторы стабильности для пожилых семей.,декларация,,,,,,,,True,,,,,,,,
11,Пенсионный возраст,Оплата образования детей,"Сын учился платно, родители оплачивали его обучение. Дочь училась платно, но сама оплачивала свою учёбу. К платному образованию респондент относится отрицательно.","Да, у нас сын учился платно. Не то, что приходилось, а мы оплачивали.","Сдержанность, лёгкое недовольство","Образование, самостоятельность детей","Платное образование воспринимается как вынужденная мера, а не как желаемая норма.",эпизод,образовательные учреждения,,,,,,,,,,,,,,,
12,Пенсионный возраст,Семейный бюджет и принятие решений,"Мелкие покупки совершаются спонтанно, крупные обсуждаются всей семьёй, особенно с дочерью. Иногда возникают разногласия по поводу нужности вещей.",Большие покупки мы обязательно обсуждаем. А в магазин мы как-то едем уже спонтанно.,"Открытость, сотрудничество","Семейное согласие, рациональность",В пожилых семьях сохраняется коллективное принятие решений по крупным расходам.,узел,,,,,,,,,,,,,,,,
13,Пенсионный возраст,Причины финансовых трудностей,Финансовые трудности возникают из-за непредвиденных расходов на детей и внуков или из-за неправильного расчёта бюджета.,"В основе таких ситуаций может быть то, что что-то купили, может внукам дали больше, может сыну дали больше.","Самокритика, забота о семье","Забота о близких, ответственность",Поддержка детей и внуков — частая причина перерасхода у пенсионеров.,эпизод,,,,,,,,,,,,,,,,
14,Пенсионный возраст,Гендерные роли и распределение обязанностей,"Респондент считает, что мужчина должен зарабатывать больше, но признаёт, что сейчас это не всегда так — всё зависит от обстоятельств.","В семье зарабатывать должен мужчина, конечно, большая часть денег. Но в наше время уже это не имеет значения.","Рефлексия, принятие изменений","Традиционные роли, гибкость",Переосмысление гендерных ролей характерно для старшего поколения в современных условиях.,декларация,,,,,,,,,,,,,,,,
15,Пенсионный возраст,Смысл денег и финансовые ожидания,"Деньги воспринимаются как основа безопасности и свободы. Для комфортной жизни респонденту нужна сумма 100-200 тысяч рублей в месяц, но считает это нереальным.","Это подушка безопасности, я считаю. Это рычаг в жизни.","Рациональность, лёгкая неудовлетворённость","Безопасность, свобода","Деньги для пожилых — не только средство, но и символ уверенности в будущем.",декларация,,,,,,,,,,,,,,,,
16,Пенсионный возраст,Взаимодействие с государственными органами,"Респондент и её семья не сталкивались с полицией, судами, налоговой, мошенничеством. Государственной помощи не получают.","Нет, не приходилось.","Спокойствие, дистанция","Самостоятельность, законопослушность",Часть пожилых семей предпочитает минимизировать контакты с государственными структурами.,декларация,государственные органы,,,,,,,,,,,,,,,
17,Пенсионный возраст,Отношение к службе в армии,"Респондент положительно относится к службе в армии, хотя сын не является призывником.","Положительно отношусь, положительно.","Патриотизм, спокойствие","Гражданский долг, патриотизм",Пожилое поколение часто сохраняет позитивное отношение к воинской обязанности.,декларация,,,,,,,,,,,,,,,,
1,Пенсионный возраст,Отношение к долгам и кредитным организациям,"Респондентка не задумывается о долгах и кредитных организациях, старается абстрагироваться от этой темы.","Я об этом не думаю, я не думаю об этом.","Безразличие, дистанция","Самостоятельность, избегание лишних забот","Пожилые люди часто дистанцируются от финансовых инструментов, которые кажутся им сложными или потенциально опасными. Это может быть связано с негативным опытом или отсутствием необходимости в кредитах на данном этапе жизни.",декларация,,,,,,,,,,,,,,,,
2,Пенсионный возраст,Взаимодействие с государственными институтами,Респондентка не обращается в МФЦ и не сталкивалась с необходимостью оформления документов или получения наследства.,Я не обращаюсь к ним.,"Отстранённость, равнодушие","Автономия, минимизация контактов с бюрократией","Для некоторых пенсионеров характерно стремление к минимальному взаимодействию с государственными структурами, что может быть связано с усталостью от бюрократии или отсутствием новых жизненных событий, требующих оформления документов.",декларация,МФЦ,,,,,,,,,,,,,,,
3,Пенсионный возраст,Влияние государства на жизнь,"Респондентка не может вспомнить ни одной ситуации, когда государство заметно присутствовало в её жизни.","Вы знаете, никакие. Никакие.","Безразличие, усталость","Независимость, отсутствие ожиданий от государства",Отсутствие ярких воспоминаний о взаимодействии с государством может говорить о стабильности или о низком уровне вовлечённости в социальные процессы.,декларация,,,,,,,,,,,,,,,,
4,Пенсионный возраст,Текущее положение и изменения за последний год,"Респондентка отмечает отсутствие изменений в жизни за последний год, её жизнь стабильна и проходит дома.","Нет, я же пенсионерка. Нет, я дома.","Спокойствие, некоторая скука","Стабильность, покой","Для многих пенсионеров характерна рутина и отсутствие значимых событий, что может приводить к ощущению однообразия и снижению социальной активности.",декларация,,,,,,,,Постоянное проживание дома,,,,,,,,
5,Пенсионный возраст,Оценка изменений в жизни,"Респондентка считает, что её жизнь не изменилась ни в лучшую, ни в худшую сторону за последний год.","Все так же, потому что дома все то же самое.","Безразличие, спокойствие","Постоянство, привычность","Стабильность и отсутствие перемен могут восприниматься как положительный фактор в пожилом возрасте, особенно если человек не испытывает острых проблем.",декларация,,,,,,,,,,,,,,,,
6,Пенсионный возраст,Рефлексия по итогам интервью,"Респондентка отмечает, что участие в интервью позволило ей окунуться в воспоминания.",Я окунулась в воспоминания.,Лёгкая ностальгия,"Рефлексия, память","Интервью может выполнять функцию не только сбора данных, но и психотерапевтическую, помогая респонденту осмыслить свой жизненный путь.",эпизод,,,,,,,,,,,,,,,,
1,"Настоящее время, пенсионный возраст",Самопрезентация и текущий статус,"Респондентка представляется, сообщает о своем возрасте, национальности, семейном положении, месте жительства и текущем статусе (пенсия). Живет в Альметьевске, Татарстан, замужем, двое взрослых детей, двое внуков, среднетехническое образование, муж также на пенсии.","Так, мне полно 62 года... Мужу мне 65 лет, он тоже на пенсии. Он тоже, как и я, родился и вырос в этом городе, работали в этом городе.","Спокойствие, удовлетворенность, легкая гордость","Семья, стабильность, принадлежность к родному городу, национальная идентичность","Респондентка демонстрирует устойчивую семейную и профессиональную биографию, типичную для советского и постсоветского поколения. Привязка к месту и национальной идентичности подчеркивает стабильность и укорененность.",декларация,"Пенсионная система, брак, система образования, городская инфраструктура",,,,,нет,,False,,,True,,,,,
2,Детство,"Двор, семья и самостоятельность","Детство прошло в большом дворе с множеством детей, самостоятельные походы в школу, родители работали, дети были предоставлены сами себе. В семье три сестры, респондентка — младшая.","Мы как-то в школу уже в первый класс, нас не родители повели, а мы пошли сами. Вот это я хорошо помню...","Теплота, ностальгия, легкая гордость","Самостоятельность, коллективизм, семейная поддержка, дружба","Опыт социализации во дворе типичен для советских городов: дети объединялись в группы, были самостоятельны, родители работали полный день. Многодетность и плотные связи между соседями создавали чувство общности.",эпизод,"Школа, советский двор, семья",,,,,,,True,,,True,,,,,
3,Детство и отрочество,"Игры, лагеря и летний досуг","Лето проводилось в пионерских лагерях или у бабушки в деревне. Родители получали бесплатные путевки с работы. В лагерях была хорошая дисциплина, питание, насыщенная программа, традиции (пионерский костер, зорница, праздники).","Лагеря были замечательные, они на данный момент у нас тоже существуют, эти же самые, но более обновленные. Я помню, что питание было хорошее, дисциплина была хорошая.","Радость, благодарность, ностальгия","Забота взрослых, коллективизм, традиции, безопасность","Пионерские лагеря — важный институт социализации советских детей, обеспечивавший не только досуг, но и формирование коллективных ценностей, дисциплины, доверия к государству.",эпизод,"Пионерская организация, система соцобеспечения предприятий",,,,,нет,,False,,,True,,,,,
4,Юность и ранняя зрелость,Образование и начало трудовой деятельности,"После школы поступила в училище при заводе радиоприборов, затем работала на заводе в отделе технического контроля. Позже заочно окончила Московский экономический техникум.","Училась я в этой школе 10 лет... Затем после окончания школы У нас было училище, где готовили специалистов для работников завода радиоприборов... Я работала в отделе технического контроля. Там же я поступила заочно... в Московский экономический техникум, который тоже закончила.","Уверенность, удовлетворение","Трудолюбие, профессионализм, образование, стабильность","Путь через профессиональное училище и завод типичен для советской индустриальной модели: гарантированное трудоустройство, поддержка образования, социальные лифты через заочное обучение.",узел,"Завод, профессиональное училище, заочное образование",,,,,да,,False,,,True,,,,,
5,"Зрелость, 1990-е годы","Кризис, материнство и забота о семье","В 90-е годы начались проблемы с зарплатой на заводе, пришлось уволиться из-за болезни сына (порок сердца), операция в Казани. После этого — работа вахтером в доме культуры, чтобы совмещать уход за ребенком и работой. Одновременно поддержка мужа и уход за пожилыми родителями.","Уже начались проблемы с зарплатой. Зарплату не давали, где-то по полгода мы мучились... Сын у меня родился. Сын родился, но, к великому сожалению, у сына обнаружили порог сердца, поэтому мне пришлось уволиться с работы и заниматься здоровьем сына.","Тревога, стресс, благодарность за поддержку","Семья, забота, жертвенность, поддержка, здоровье","Кризис 90-х годов проявился в нестабильности занятости и доходов, что особенно остро ощущалось женщинами с детьми. Семья становится главным ресурсом поддержки, а государственная медицина — важным институтом (операция бесплатна).",перелом,"Завод, дом культуры, система здравоохранения",,,,,да (вынужденный выход из рынка труда),,False,,,True,,,,,
