id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation
17,"Взрослая жизнь, семейный этап",Отношение к брендам и качеству,"Бренды не важны, главное — качество товара. Ориентируется на собственный опыт и тестирование.","Ну, в последнее время мне бренды не важны, мне важно качество товара, вот скажем так.",Рациональность,"Качество, самостоятельность",Сдвиг от статуса к функциональности в потреблении.,декларация,,,,
18,"Взрослая жизнь, семейный этап",Крупные покупки и принятие решений,"Крупные покупки обсуждаются с мужем, планируются заранее, возможна экономия на других статьях расходов.","Совместно все равно с мужем я принимаю. И плюс это подразумевает, что где-то мы должны сэкономить, урезать, чтобы сделать такую покупку.","Партнёрство, рациональность","Семейность, планирование",Коллективное принятие решений в семье — типичная стратегия для крупных расходов.,эпизод,,,,
19,"Взрослая жизнь, семейный этап",Отношение к кредитам,"Раньше пользовалась кредитами, сейчас избегает, не любит чувство долга.","Ну, пользовалась раньше, но вообще не очень люблю кредиты, потому что, ну, все равно ты понимаешь, что ты кому-то должен, и это тоже, ну, как бы не очень приятно, скажем так.","Неприязнь, осторожность",Финансовая независимость,Отказ от кредитов как стратегия снижения финансового стресса.,декларация,,,,
20,"Взрослая жизнь, семейный этап",Организация повседневных покупок,"Покупки продуктов осуществляются совместно с мужем, закупки раз в неделю, доставка не используется из-за негативного опыта.","В основном закупаемся, но раз в неделю мы ездим на седанку, сити, у нас есть магазин большой. ... доставку Я как-то пока не практикую.","Рациональность, недоверие к сервисам","Семейность, самостоятельность","Преобладание традиционных форм закупки, недоверие к доставке из-за плохого опыта.",эпизод,,,,
1,"Взрослая жизнь, семейный быт",Покупка готовой еды и отношение к расходам,"Респондентка предпочитает покупать готовую еду, когда занята или не хочет готовить. При этом старается выбирать более бюджетные варианты, если нужно экономить.","Я люблю покупать готовую еду. Особенно, когда, допустим, понимаешь, что вечер у тебя будет интересный, какой-то занятостью, или, например, бывает просто лень готовить, да, тоже такое бывает у женщин, наверное, у всех.","спокойствие, практичность","комфорт, рациональность, экономия","Потребительское поведение респондентки отражает типичный для городских жителей баланс между удобством и экономией. Покупка готовой еды становится частью повседневной рутины, особенно для занятых женщин.",эпизод,,,1.0,покупка готовой еды
2,"Взрослая жизнь, забота о детях и образовании",Отношение к платному образованию,"Респондентка позитивно относится к платному образованию, считая, что оно расширяет возможности для получения знаний и опыта, особенно если не удалось поступить на бюджет.","Вообще хорошо я отношусь к платному образованию, потому что вот репетиторы, допустим, хорошо бывает, помогают подготовиться ученикам, чем даже учитель...","позитив, прагматизм","образование, индивидуальный подход, возможности","Платное образование воспринимается как инструмент социальной мобильности и индивидуального развития, что характерно для семей с ориентацией на успех детей.",декларация,"образовательные учреждения, репетиторство",,1.0,
3,Семейная жизнь,Финансовые разногласия в семье,"В семье респондентки случаются споры по поводу трат, но они умеют находить компромиссы.","Ну, бывает мы спорим, кто куда чего потратит. Но в целом мы находим компромисс вот так.","спокойствие, уверенность","компромисс, семейная гармония","Финансовые вопросы — частая причина споров в семьях, однако способность к компромиссу свидетельствует о зрелых отношениях.",эпизод,,,1.0,
4,"Взрослая жизнь, профессиональное самоопределение",Гендерные роли и карьера,"Респондентка считает, что мужчина должен обеспечивать семью, но не согласна с тем, что женщина обязана строить карьеру — это индивидуальный выбор.","То, что мужчина должен обеспечить семью, как говорится, это вообще, ну, самый важный постулат, наверное... А кому-то и домохозяйкой может хорошо быть его предназначение.","размышление, уважение к разным позициям","традиционные ценности, индивидуализм, свобода выбора","Видна ориентация на традиционные гендерные роли, но с уважением к разнообразию женских стратегий — от карьеры до домохозяйства.",декларация,,,1.0,
5,Взрослая жизнь,Отношение к деньгам,"Деньги для респондентки — это, прежде всего, возможности для улучшения жизни. Она отмечает, что с ростом дохода растут и потребности.",Деньги – это возможности. Потому что для меня деньги – это равно возможности.,"прагматизм, реализм","материальное благополучие, развитие, комфорт","Деньги воспринимаются как инструмент для реализации желаний и повышения качества жизни, что типично для среднего класса.",декларация,,,1.0,
6,Переход от студенчества к взрослой жизни,Достаточность дохода и материальные ожидания,"Респондентка отмечает, что доход всегда кажется недостаточным, вне зависимости от возраста и жизненного этапа.","Что мне тогда, когда я студентка, было 20 тысяч недостаточно. Сейчас я взрослый человек, мне моего дохода недостаточно.","ирония, реализм","развитие, стремление к лучшему",Постоянное ощущение нехватки дохода отражает динамику потребностей и ожиданий в современном обществе.,узел,,,1.0,
7,Взрослая жизнь,Связь счастья и денег,"Респондентка считает, что счастье и деньги не тождественны, но для комфортной жизни необходим доход в 2-3 раза выше текущего.","Ну, вообще счастье и деньги не совсем, мне кажется, тождественные понятия, скажем так.","размышление, умеренность","достаток, счастье, баланс",Отделение понятий счастья и материального достатка характерно для зрелого взгляда на жизнь.,декларация,,ипотека,1.0,
8,Взрослая жизнь,Взаимодействие с государственными органами,"Респондентка в целом позитивно оценивает опыт взаимодействия с госорганами, особенно отмечая удобство электронных сервисов.","Особенно мне нравится сейчас то, что появились госуслуги. Это значительно упрощает нашу жизнь, на мой взгляд.",удовлетворение,"удобство, справедливость, честность",Рост цифровизации госуслуг воспринимается как значительное улучшение качества жизни.,эпизод,госуслуги,,1.0,
9,Семейная история,Опыт семьи с полицией,"Отец респондентки работал в полиции, но сама она и ее семья стараются избегать обращений в полицию, чтобы не сталкиваться с разбирательствами.","У меня папа в полиции раньше служил, скажем так. Но сами в полицию мне обращались. И да и бог не обратимся.","настороженность, нежелание вовлекаться","спокойствие, избегание конфликтов","Даже при наличии семейных связей с полицией, обращение в органы воспринимается как крайняя мера, связанная с дискомфортом.",эпизод,полиция,,1.0,
10,Взрослая жизнь,Опыт с мошенничеством,"Респондентка сталкивалась с мошенничеством, но на небольшие суммы и не обращалась в полицию, чтобы не тратить время и нервы.","Ну да, просто я вот как-то не хочу вот это вот, ну, какие-то разбирательства, выяснения, дачи показаний.","раздражение, усталость","экономия времени, спокойствие",Нежелание обращаться в полицию даже при столкновении с мошенничеством — индикатор недоверия к эффективности системы.,эпизод,,,1.0,
11,Взрослая жизнь,Опыт судебных разбирательств,"Судебный опыт связан с бытовым конфликтом с соседями, который удалось разрешить минимальными усилиями. В целом суды воспринимаются как неприятная, но иногда необходимая процедура.","Если ты обвиняемый, вообще не хочется. Если ты хочешь какое-то свое право отстоять, да, тоже не очень приятно...","неудовольствие, прагматизм","справедливость, минимизация стресса","Суды воспринимаются как вынужденная мера, связанная с бюрократией и стрессом.",эпизод,суд,,1.0,
12,Взрослая жизнь,Отношение к армии и СВО,"Армия ассоциируется с защитой, но и с военными действиями, которые респондентка воспринимает негативно. Война затронула знакомых респондентки.","С одной стороны, армия это защита Родины, но... Когда попадаешь в реальные военные действия, ничего от этого хорошего нет.","тревога, сочувствие","мир, безопасность","Война воспринимается как трагедия, даже если не затронула напрямую, что отражает общий социальный фон.",узел,армия,,1.0,
13,Взрослая жизнь,Отношение к налоговым органам,"Респондентка отмечает высокую налоговую нагрузку, особенно для малого бизнеса, и воспринимает это как тяжелое обязательство.","С одной стороны, хорошо относишься, но с другой стороны, сколько много налогов приходится оплачивать. И каждый раз как сидишь и плачешь.","раздражение, усталость","справедливость, экономическая свобода","Высокая налоговая нагрузка — типичная жалоба малого бизнеса, отражающая амбивалентное отношение к государству.",декларация,налоговая,,1.0,малый бизнес
14,Студенчество,Опыт получения социальной помощи,"Во время учебы респондентка пользовалась социальной поддержкой (бесплатный проезд), что оставило позитивное впечатление.","Когда мы были в университете, нам давали бесплатный проезд или что-то такое...",благодарность,"социальная поддержка, справедливость",Социальные льготы для студентов воспринимаются как реальная помощь и формируют позитивное отношение к государству.,эпизод,социальная поддержка,,1.0,
15,Взрослая жизнь,Отношение к кредитам и коллекторам,"Респондентка опасается брать кредиты из-за страха просрочек и потери имущества, хотя понимает необходимость взыскания долгов для банков.","Не хочется брать кредитит повторно, потому что внутри ощущение, что ты должен кому-то, а не дай бог ты просрочишь, и тебя заберут половину твоего имущества...","тревога, осторожность","финансовая независимость, безопасность",Страх перед кредитами и коллекторами характерен для людей с опытом или знанием негативных последствий долгов.,декларация,,,1.0,
16,Взрослая жизнь,Оформление документов и цифровизация,"Респондентка положительно оценивает цифровые сервисы для оформления документов, отмечая их удобство и скорость.","Очень сильные, хорошие сайты, которые помогают вот этим документам оформить быстро, в электронной части оформить...",удовлетворение,"удобство, технологичность",Цифровизация госуслуг воспринимается как значительное улучшение качества жизни и снижения бюрократии.,эпизод,"МФЦ, госуслуги",,1.0,
17,Взрослая жизнь,Доверие к государственным органам,"Доверие к государственным органам среднее, с акцентом на их ограничительную функцию (взыскание налогов, штрафов), а не на поддержку.",Больше у нас конечно органы государственной власти они именно как взыскивают людей либо налоги по кредитам либо за правонарушение...,"скепсис, умеренность","справедливость, независимость",Восприятие государства как карательного органа типично для постсоветского пространства.,декларация,,,1.0,
18,Взрослая жизнь,Власть и политика,"Респондентка позитивно оценивает региональную власть за реальные улучшения, но федеральную власть оценить затрудняется. К политике интереса не проявляет, считая это мужской сферой.","В основном, ну, особенно в нашем городе, да, стараются принимать какие-то хорошие решения у нас. ... Политика больше для мужчин, я в это не сильно интересуюсь...","безразличие, умеренный позитив","прагматизм, локальный патриотизм","Локальная власть воспринимается ближе и понятнее, чем федеральная; политическая апатия типична для женщин среднего возраста.",декларация,,,1.0,
19,Взрослая жизнь,Отношение к войне и международной политике,"Респондентка выступает за скорейшее окончание войны, считает, что конфликт разрушает обе стороны. Внутреннюю политику оценивает частично положительно (импортозамещение, инфраструктура).","Я считаю, что больного уже нужно прекратить, но это, говорю, мое личное мнение, да, вот постараться найти какой-то компромисс между сторонами...","тревога, усталость","мир, развитие, независимость",Позиция за мир и компромисс отражает усталость общества от конфликта и ориентацию на внутреннее развитие.,декларация,,,1.0,
20,Взрослая жизнь,Отношение к выборам и монополиям,"Респондентка считает, что выборы формальны, а монополия государства в некоторых сферах имеет как плюсы, так и минусы.","На самом деле уже, как говорится, все решено в плане того, что люди уже просто выбирают тех, кто уже сейчас работает по привычке, мне кажется.","скепсис, равнодушие","справедливость, прагматизм",Недоверие к институту выборов и амбивалентное отношение к монополиям типично для зрелых россиян.,декларация,,,1.0,
21,Взрослая жизнь,Социальная политика государства,"Респондентка позитивно оценивает социальную политику, но отмечает недостаточность поддержки и высокий уровень стресса на работе.","Государство поддерживает стариков, военнослужащих, это тоже хорошо. Какие-то категории населения тоже нет.","умеренный позитив, критичность","социальная справедливость, забота",Ожидание большей поддержки от государства характерно для работников бюджетной сферы.,декларация,,,1.0,
22,Взрослая жизнь,Использование цифровых технологий и соцсетей,"Респондентка активно использует мессенджеры и профессиональные соцсети, но не увлекается блогами и развлекательными платформами.","Ну, мне нравятся телеграммы, ватсап, больше всего их использую... А вот блоги, тематические сообщества, соцсети – Ну, я как-то не особо в тебя, только профессионально...","удовлетворение, умеренность","практичность, профессионализм",Использование цифровых технологий преимущественно для коммуникации и профессионального развития.,эпизод,,,1.0,
23,Взрослая жизнь,Отношение к искусственному интеллекту,"Респондентка положительно относится к ИИ и чат-ботам, но считает, что полностью заменить людей они не смогут. Опасения связаны с сокращением рабочих мест.","Чат-боты тоже хорошая идея, потому что где-то помогает экономить время. Но оператор иногда очень нужен...","умеренный оптимизм, осторожность","технологичность, критическое мышление",Ожидание технологических изменений сочетается с опасениями по поводу рынка труда.,декларация,,,1.0,
24,"Взрослая жизнь, профессиональная деятельность",Влияние цифровых технологий на детей и семью,"Респондентка отмечает, что дети и взрослые проводят много времени за гаджетами, что становится причиной конфликтов в семье.",Потому что даже на уроках очень сложно детей оттащить от компьютера. И люди сейчас просто действительно после новых телефонов в компьютерах сидят.,"беспокойство, раздражение","баланс, семейные отношения",Проблема цифровой зависимости становится актуальной для семей с детьми школьного возраста.,эпизод,,,1.0,
1,"настоящее, прошедший год",Влияние событий года на личную жизнь,"Респондент отмечает, что экологическая катастрофа в Черном море произвела на нее впечатление, но практически не повлияла на ее повседневную жизнь, кроме появления небольшой эко-привычки. Также упоминает юбилей школы как необычное, но незначимое событие.","Ну, вот меня затронуло, конечно, что было в Черном море, да, вот экологическая катастрофа. Просто она меня затронула, что много животных умерло, да. Но на мой ужас, конечно, это никак не повлияло, ну, потому что... Ну, только единственное, как бы, больше, что... Меньше страшно мусора выкидывать.","легкая тревога, сочувствие, равнодушие к переменам","экологическая ответственность, эмпатия, привычка к стабильности","Респондент демонстрирует дистанцированное отношение к крупным общественным событиям, отмечая их эмоциональное воздействие, но отсутствие реальных изменений в собственной жизни. Это типично для людей, чья повседневность мало зависит от внешних катастроф.",эпизод,школа (юбилей),,0.0,
2,"настоящее, прошедший год",Общее восприятие изменений за год,"Респондент оценивает прошедший год как немного улучшившийся, но без существенных перемен. Эмоциональное состояние осталось стабильным.","Ну, мне кажется, что чуть-чуть лучше стало, но не насильно. Это практически не изменилось вот так.","спокойствие, умеренный оптимизм","стабильность, спокойствие",Склонность к умеренной оценке перемен и отсутствие резких эмоциональных колебаний свидетельствуют о внутренней устойчивости и адаптивности.,декларация,,,0.0,
3,настоящее и ближайшее будущее,Планы и ожидания на будущее,"Респондент строит планы, связанные с улучшением материального положения (ипотека, рост дохода), развитием бизнеса и успехами учеников. Делит цели на краткосрочные (3 года) и долгосрочные (5 лет).","Я жду, что мы все-таки сможем взять ипотеку, что уровень дохода повысится. Хотелось бы, что проект, который мы сейчас делаем по бизнесу, он разовьется. Ученики Будет больше благодарных учеников, да, будут более высокие у них результаты по экзаменам, по каким-то мероприятиям.","умеренный оптимизм, надежда","материальное благополучие, профессиональное развитие, ответственность за учеников","Планы респондента отражают типичные для среднего класса ценности: стремление к финансовой стабильности, профессиональному росту и улучшению качества жизни через образование.",узел,,ожидание покупки жилья в ипотеку,0.0,планирует участие в ипотечном рынке
4,настоящее и будущее,Контроль над жизнью и источники изменений,"Респондент считает, что успехи и перемены зависят в первую очередь от собственных решений и действий, а не от внешних обстоятельств.","Я думаю, конечно, это будет больше зависеть от моих решений, потому что надеяться на манну небесную, наверное, не приходится.","уверенность, самостоятельность","самостоятельность, активность, вера в личную ответственность","Высокий уровень внутреннего локуса контроля — респондент приписывает успехи и неудачи собственным усилиям, что характерно для людей с активной жизненной позицией.",декларация,,,0.0,
5,"рефлексия, итог разговора",Жизненные ценности,"Респондент формулирует свои ключевые ценности: саморазвитие, активность, семья, поддержка, здоровье, материальное благополучие.","Важно саморазвитие, активность, семья тоже важна, поддержка друг друга, хорошее здоровье, материальное благополучие.","уверенность, спокойствие","саморазвитие, семья, здоровье, материальное благополучие","Набор ценностей типичен для представителей среднего класса, ориентированных на личностный рост и семейное благополучие.",декларация,,,0.0,
6,"рефлексия, самоопределение",Самоопределение и личные качества,"Респондент определяет себя как активного, инициативного человека, стремящегося к улучшениям и новым опытам.","Я активный, инициативный человек, пробующий что-то новое, стараюсь улучшить какие-то процессы.","уверенность, самоуважение","активность, инициативность, стремление к развитию",Самоопределение через активность и инициативу свидетельствует о внутренней мотивации и ориентации на изменения.,декларация,,,0.0,
7,"рефлексия, оценка жизненного пути",Оценка жизненного пути,"Респондент воспринимает свою жизнь как путь с взлетами и падениями, но без драматизации.",Со смётными падениями.,"ирония, спокойствие","реализм, принятие жизненных трудностей",Лаконичная ироничная формулировка указывает на зрелое отношение к жизненным трудностям.,декларация,,,0.0,
8,"рефлексия, отношение к страхам",Страхи и отношение к ним,"Респондент отмечает, что страхов как таковых уже нет, считает, что нужно больше действовать, чтобы добиться успеха.","Ну, наверное, страхов уже как бы-то каковых нет. Просто надо больше действовать, мне кажется, и потихоньку все раскачается, и все равно должно как-то получиться, я думаю.","уверенность, спокойствие","действие, вера в успех, отсутствие страха",Преодоление страхов через активность — характерная стратегия для людей с внутренней мотивацией.,декларация,,,0.0,
9,"рефлексия, итог интервью",Рефлексия над интервью,"Респондент отмечает, что было интересно проанализировать свою жизнь в ретроспективе, что обычно не делает этого.","Ну, было интересно все равно посмотреть, проанализировать такую ретроспективу, да, сделать, потому что, ну, обычно же ты так не анализируешь никогда, только как-то вспоминаешь события, так, конечно, было интересно.","интерес, удовлетворение","рефлексия, самоанализ","Интервью становится для респондента инструментом саморефлексии, что может способствовать личностному росту.",эпизод,,,0.0,
010,завершение интервью,Общее эмоциональное состояние,"Респондент чувствует удовлетворение после разговора, не испытывает потребности что-то добавить.","Ну, в целом удовлетворенное состояние.","удовлетворение, спокойствие","гармония, завершенность",Позитивное завершение интервью свидетельствует о доверии к исследователю и внутренней гармонии респондента.,декларация,,,0.0,
