id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children_count,collapse_context
11,"Настоящее время, взрослая жизнь",Опыт участия в судебных процессах,"Респондент впервые участвовал в суде по бытовому делу, решение было в его пользу. Также был свидетелем в других делах.","Для меня это было волнительно. ... Просто принимали решение, выселить человека или не выселить.","Волнение, новизна","Законность, справедливость","Опыт суда воспринимается как стрессовый, но не криминальный. Важна поддержка знакомых.",эпизод,Суд,,,,False
12,"Настоящее время, взрослая жизнь",Обращение в полицию и опыт мошенничества,"Супруга респондента обращалась в полицию по поводу мошенничества, но результат был предсказуемо формальным. Сам респондент не обращался за помощью.","Вы сами понимаете, что результат здесь сложно какой-то получить...","Скепсис, разочарование","Справедливость, защита","Недоверие к эффективности полиции, распространенное среди населения.",эпизод,Полиция,,,,False
13,"Юность, взрослая жизнь",Отношение к армии и службе,"Респондент не служил в армии по состоянию здоровья. Тема службы для него болезненна, особенно в контексте сыновей, испытывает тревогу за их будущее.","Для меня это больная тема, и не знаю, как я отношусь. Да никак я не отношусь, очень осторожно, тревожно я отношусь...","Тревога, страх","Безопасность детей, забота о семье","Тема армии вызывает у респондента сильные эмоции, отражая общественную тревожность по поводу военной службы.",узел,Армия,,,,False
1,"Настоящее, зрелый возраст, родитель многодетной семьи",Отношение к военной службе и армии,"Респондент испытывает тревогу по поводу темы армии, считает, что армия должна быть профессиональной и независимой, а не массовой и обязательной для всех. Однако выступает за равные права и обязанности для всех граждан, включая мигрантов и людей с привилегиями.","Армия должна быть профессиональной и Армия должна быть независимой вообще от всего. Армия должна быть такой, что в нее должно быть вообще все. Армия – это как государство в государстве, которое должно быть независимым от каких-то внешних факторов.","Тревога, обеспокоенность, рациональность","Справедливость, профессионализм, равенство, ответственность","Респондент демонстрирует двойственность: с одной стороны, выступает за профессионализацию армии, с другой — за обязательность службы для всех, включая мигрантов и людей с привилегиями. Это отражает распространённую в российском обществе установку на справедливость и неприятие неравенства.",декларация,армия,,,,True
2,"Настоящее, зрелый возраст, глава семьи","Взаимодействие с государственными органами (налоговые, социальные службы)","Респондент сталкивался с бюрократическими трудностями (например, с налоговой задолженностью в 57 копеек), но в целом оценивает работу налоговых и социальных органов как стабильную и понятную. Пользуется госуслугами, отмечает автоматизацию и удобство, но критикует низкий уровень социальных выплат.","Прожить на 40 тысяч в пятером, в четвером, это нереально. полагаться прямо на эти социальные выплаты какие-то, потому что тебе государство поможет прям реально. Я не знаю, как на 40 тысяч жить.","Умеренное недовольство, прагматизм","Семья, стабильность, прагматизм, государственная поддержка","Респондент демонстрирует типичное для многодетных семей отношение к социальным выплатам: воспринимает их как недостаточные, но пользуется всеми возможностями. Отмечает цифровизацию госуслуг как положительный тренд.",эпизод,,,получатель социальных выплат,,True
3,"Настоящее, зрелый возраст",Доверие к государственным органам,"Доверие к государственным органам оценивается как среднее, нет стопроцентной уверенности в их защите интересов граждан.","Среднее, потому что нет 100% уверенности. ... стопроцентной уверенности нет вообще.","Скепсис, осторожность","Осторожность, критичность, реализм","Недоверие к государству — характерная черта для части российского общества, особенно среди людей, сталкивающихся с бюрократией и недостаточной поддержкой.",декларация,,,,,True
4,"Настоящее, зрелый возраст","Переезд, регистрация, мобильность","Респондент упоминает опыт переезда и смены регистрации, что связано с бюрократическими процедурами (например, регистрация автомобиля в другой области).",до определенного момента Зарегистрированы.,"Нейтральность, принятие","Адаптация, мобильность","Переезды и смена регистрации — распространённая практика, связанная с поиском лучших условий жизни или работы.",эпизод,,0.0,,,True
5,Настоящее,Отношение к власти и политике,"Респондент поддерживает существующую власть, считает, что всегда были власть и другие слои населения. Не интересуется политикой, воспринимает власть как данность.","Как власть скажет, так и будет. Всегда было и во все времена. всегда была власть и были другие слои населения.","Покорность, принятие","Стабильность, иерархия, адаптация","Пассивное отношение к политике и власти характерно для значительной части населения, что способствует воспроизводству патерналистских установок.",декларация,,,,,True
6,Настоящее,Оценка работы власти (региональной и федеральной),"Респондент не видит существенных различий между региональной и федеральной властью, не испытывает сильных эмоций по поводу их работы.","В целом, наверное, и по стране, и по региональным вот этим всем участкам, в целом, наверное, одинаково все работает.","Безразличие, умеренность","Стабильность, отсутствие вовлечённости",Отсутствие интереса к деталям работы власти и политических процессов — признак политической апатии.,декларация,,,,,True
7,Настоящее,Интерес к новостям и обсуждению политики,"С 2022 года респондент стал больше интересоваться новостями и обсуждать их с близкими, испытывает тревогу по поводу текущей ситуации.","Начиная с 2022 года нет таких людей, которые не обсуждают, не интересуются, вообще не переживают за все это.","Тревога, обеспокоенность","Информированность, сопричастность",Рост интереса к политике и новостям после 2022 года отражает влияние внешнеполитических событий на повседневную жизнь россиян.,узел,,,,,True
8,Настоящее,Доверие к источникам информации,"Респондент не доверяет ни одному источнику информации на 100%, формирует мнение на основе разных источников.","Ну, как бы собирается такая общая картина со всех источников, уже плюс-минус, понимаешь, правда, неправда.","Скепсис, критичность","Критическое мышление, самостоятельность",Недоверие к СМИ и поиск информации из разных источников — характерная черта современного медиапотребления.,декларация,,,,,True
9,Настоящее,Отношение к внешней и внутренней политике,"Положительно оценивает внешнюю политику, гордится дипломатами, внутреннюю политику считает стабильной по сравнению с другими странами.","Мне кажется, у нас, наверное, более-менее стабильная ситуация. Это и есть заслуга наших всех политических людей, которые этим занимаются.","Умеренное одобрение, гордость","Патриотизм, стабильность","Позитивное отношение к внешней политике и дипломатии — часть патриотического дискурса, распространённого в российском обществе.",декларация,,,,,True
10,Настоящее,Восприятие специальной военной операции,"Респондент тяжело переживает события, связанные с СВО, особенно из-за личных связей с Украиной. Испытывает тревогу, активно следит за новостями, надеется на скорое завершение конфликта.","Тяжело, с учетом того, что я жил... Рядом с Украиной, с границей Украины. У меня были там друзья, у меня сестры поначалу жили там. Тяжело. Я не знаю, почему такие дядьки профессиональные, умные, не смогли договориться.","Тревога, боль, разочарование","Мир, гуманизм, информированность",Личные связи с Украиной усиливают эмоциональное восприятие конфликта. Респондент выражает типичную для части населения усталость и желание скорейшего мира.,перелом,,,,,True
11,Настоящее,Использование цифровых технологий и социальных сетей,"Респондент активно использует смартфон, банковские приложения, мессенджеры, соцсети для новостей и общения. Не считает себя продвинутым пользователем, но уверенно пользуется офисными программами.","У меня по большей части все в телефоне. Все программы, все приложения, все банковские приложения, все в телефоне.","Уверенность, прагматизм","Технологичность, удобство, информированность","Распространённая цифровая грамотность среди взрослых пользователей, акцент на практическом использовании технологий.",эпизод,,,,,True
12,Настоящее,Влияние соцсетей на общение,"Соцсети и мессенджеры упростили поддержание контактов, но уменьшили количество личных встреч. Виртуальное общение воспринимается как удобное, но не полностью заменяет офлайн-контакты.","Личные встречи уменьшились, да. В какой-то степени да, ну, а что, позвонил, увидел. А в другой степени, ну, вот эти соцсети, мессенджеры, они помогают как бы, ну, да, контакт, лишний раз пообщаться.","Умеренная ностальгия, рациональность","Коммуникация, удобство, поддержание связей","Трансформация форматов общения — характерная черта цифровой эпохи, особенно для людей среднего возраста.",узел,,,,,True
1,Зрелая семейная жизнь с детьми,Использование цифровых технологий и отношение к ним,"Респондент рассказывает о своем отношении к мобильным приложениям, искусственному интеллекту и компьютерным играм. Он использует в основном утилитарные приложения (заправки, бонусы), не привязан к отдельным приложениям, не интересуется ИИ, не играет в компьютерные игры, но отмечает, что дети проводят много времени за гаджетами.","Приложений нет, это, собственно говоря, сам телефон, без которого я уже не представляю жизнь.","Спокойствие, умеренная озабоченность (по поводу детей)","Практичность, семейная ответственность, умеренность в технологиях","Респондент демонстрирует типичную позицию взрослого пользователя: технологии воспринимаются как инструмент, а не как часть идентичности. Отмечается дистанция от новых трендов (ИИ), а также забота о цифровом поведении детей.",эпизод,,,"Пользователь сервисов (заправки, бонусы), не вовлечен в цифровые рынки как создатель или активный участник",,
2,"Зрелая семейная жизнь, родительство маленького ребенка",Изменения и трудности последнего года,"Последний год был насыщенным и тяжелым из-за появления маленького ребенка. Респондент отмечает сложности, связанные с уходом за ребенком, изменением привычного образа жизни, но подчеркивает, что был к этому готов.","На самом деле год такой насыщенный, я бы сказал тяжелый, потому что с появлением ребенка появились определенные задачи.","Усталость, принятие, реализм","Ответственность, готовность к переменам, семейная поддержка","Появление ребенка — типичный переломный момент для семьи, связанный с изменением рутин, ограничением личной свободы и ростом ответственности. Респондент демонстрирует адаптацию и принятие новых ролей.",перелом,Семья,0.0,,,
3,Зрелая семейная жизнь,Стратегии преодоления трудностей,Респондент справляется с трудностями через совместное обсуждение и принятие решений с супругой. Семейная коммуникация и поддержка — ключевой ресурс.,"Общение с супругой, принятие каких-то совместных решений для того, чтобы так или иначе поступить, чтобы легче как-то было.","Уверенность, спокойствие","Сотрудничество, партнерство, поддержка",Семейная солидарность и совместное принятие решений — важный механизм адаптации к жизненным вызовам в российских семьях.,узел,Семья,,,,
4,Зрелая семейная жизнь,Оценка изменений и выводы за год,"Респондент отмечает, что жизнь изменилась: появилось больше ответственности и забот, но не считает это ухудшением. Важно принятие изменений как части жизненного пути.","Я бы не сказал, что в худшую сторону, однозначно нет, не в худшую, но чтобы сказать, что легче мне стало, пока не могу тоже сказать.","Реализм, принятие","Ответственность, принятие перемен","Респондент демонстрирует зрелую рефлексию: не идеализирует прошлое, не драматизирует настоящее, воспринимает опыт как ценность.",декларация,,,,,
5,Зрелая семейная жизнь,Взгляд в будущее и планирование,"Респондент старается смотреть в будущее с оптимизмом, но избегает детального планирования из-за страха разочарования. Основные ожидания связаны с успехами детей.","Хочется с оптимизмом верить, что все будет хорошо, все пойдет по намеченному плану, по намеченным целям. Но быть реалистичным сложно...","Осторожный оптимизм, сдержанность","Семейное благополучие, реализм, забота о детях",Отсутствие долгосрочного планирования характерно для многих российских семей в условиях неопределенности. Приоритет — благополучие детей.,декларация,,,,,
6,Зрелая семейная жизнь,"Ценности, жизненные принципы и смысл жизни","Для респондента важнейшими ценностями являются благополучие семьи, здоровье, взаимопонимание и воспитание детей. Личных амбиций почти нет, смысл жизни — в семье.","У меня нет каких-то определенных целей самому что-то достичь, но у меня есть цели и задачи по воспитанию детей, по тому, чтобы семья была в доставке.","Спокойствие, удовлетворенность","Семья, здоровье, взаимопонимание, забота о близких","Семейно-центричная система ценностей, характерная для зрелых мужчин с детьми. Личные достижения отходят на второй план.",декларация,,,,,
7,Зрелая семейная жизнь,"Рефлексия, страхи и отношение к жизни и смерти","Респондент осознает свои страхи (потеря близких, ненужность), спокойно относится к теме смерти, считает ее частью жизни. Смысл жизни видит в семье и детях.","Страх бояться кого-то потерять, бояться, что ты станешь кому-то ненужным. Страхи за своих детей...","Умеренная тревога, философское принятие","Семья, принятие неизбежного, забота о близких",Рефлексия над экзистенциальными вопросами типична для зрелого возраста. Семья — главный источник смысла и опоры.,узел,,,,,
008,Зрелая семейная жизнь,Рефлексия по поводу интервью,"Респондент отмечает, что разговор был интересен и полезен, но не вызвал сильных эмоций или новых взглядов на себя. Отдельные темы (политика, война) предпочитает не обсуждать с незнакомыми.",Было интересно и полезно рассказать.,"Спокойствие, легкая благодарность","Открытость, приватность в чувствительных вопросах","Готовность к диалогу и рефлексии, но с сохранением личных границ по чувствительным темам.",эпизод,,,,,
