id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,housing_promised,market_participation,location_preference
13,"Взрослая жизнь, политическая позиция",Отношение к президенту и федеральной власти,"Респондентка с симпатией относится к президенту, оправдывает его кадровую политику, исходя из логики управления большой системой.","Я не оправдываю Владимира Владимировича, что у него в команде мудаки. Но у меня есть понимание, почему по той или иной причине какого-либо мудака он не может убрать или не может убрать сейчас.","Лояльность, понимание сложности","Прагматизм, системное мышление, лояльность",Лояльность к высшей власти при критике отдельных исполнителей — распространённая стратегия легитимации власти в России.,декларация,федеральная власть,,,,
1,"Взрослая жизнь, зрелость",Восприятие развития России и внутренней миграции,"Респондент выражает сожаление по поводу концентрации жизни и возможностей в крупных городах России, отмечая упадок развития регионов по сравнению с советским периодом. Говорит о вынужденной миграции людей в поисках возможностей.","Меня очень расстраивает только одно, что вся Россия сконцентрировалась только в ряде территорий... Человек вынужден, даже при всей любви к территории, где он появился, вынужден туда, где он может как-то состояться.","Сожаление, грусть","Справедливость, развитие страны, связь с корнями","Респондент демонстрирует типичную для поколения 40+ ностальгию по советскому периоду, когда регионы развивались более равномерно. Отмечается разрыв между личными чувствами и объективной необходимостью миграции.",декларация,,1.0,,,
2,"Настоящее, зрелость",Отношение к источникам информации и медиапотреблению,"Респондент не доверяет телевидению и массовым источникам информации, предпочитает личный опыт и проверку информации через разные каналы, в частности Telegram. Считает, что массовое сознание формируется и через ТВ, и через соцсети.","Телевизор я не смотрю уже лет пять, если не больше... если мне надо узнать нечто среднее, у меня есть первое, это то, что я видела своими глазами...","Скепсис, рациональность","Критическое мышление, самостоятельность",Проявляется высокий уровень медиаграмотности и недоверия к официальным и массовым каналам. Респондент стремится к самостоятельному анализу информации.,декларация,,1.0,,"Пассивное потребление медиа, выборочные подписки",
3,"Настоящее, зрелость",Личный опыт участия в мобилизации и влияние СВО,"Респондент участвовала в сборе мобилизованных, имеет личные контакты с участниками СВО, понимает мотивацию людей, отмечает влияние военных выплат на рынок труда и социальную структуру.","У меня был выход друг моей дочери, который в мобилизацию собирал всех этих ребят... Я очень рада, что у меня была эта возможность.","Гордость, тревога, сочувствие","Ответственность, эмпатия, понимание процессов","Респондент демонстрирует вовлечённость в социальные процессы, осознаёт экономические и демографические последствия войны, отмечает изменение гендерных ролей на рынке труда.",эпизод,,1.0,,"Набор персонала, наблюдение за изменениями на рынке труда",
4,"Настоящее, зрелость",Патриотизм и отношение к внешней политике,"Респондент выражает независимую позицию по отношению к мнению других стран о России, считает, что страна должна идти своим путём, отмечает историческую неблагодарность других народов.","В России есть два союзника армии и флота. Это первое. Честно говоря, это, наверное, и моя позиция в жизни, так я и смотрю. Да плевать, как относятся к нам другие страны.","Уверенность, независимость","Патриотизм, самостоятельность, историческая память","Типичная для зрелого поколения установка на независимость и самодостаточность страны, скепсис к внешней оценке, опора на исторические нарративы.",декларация,,1.0,,,
5,Настоящее,Использование соцсетей и изменение коммуникаций,"Респондент использует Telegram и тематические чаты для получения информации и общения, отмечает сокращение личного общения и рост дистанционных контактов, особенно с родственниками за рубежом.","Личного общения стало в разы меньше. С одной стороны, это огромная влага, что убрались границы...","Сдержанная благодарность, легкая грусть","Связь с близкими, информированность","Респондент фиксирует трансформацию коммуникаций, отмечает плюсы и минусы цифровизации, указывает на глобализацию семейных связей.",декларация,"Социальные сети (Telegram, ВКонтакте)",1.0,,,
6,Настоящее,Отношение к онлайн-знакомствам и искусственному интеллекту,"Респонденту не близки знакомства через интернет, считает, что молодое поколение испытывает страхи в личном общении. К искусственному интеллекту относится негативно, воспринимает его как угрозу замещения человека.","Мне он не близок, но я понимаю, что это текущие реалии... К искусственному интеллекту как отношусь? Плохо. Это специальное замещение человека.","Скепсис, неприятие","Человечность, традиционные формы общения",Проявляется разрыв между поколениями в способах коммуникации и отношении к технологиям. Респондент демонстрирует осторожность и критичность к новым цифровым практикам.,декларация,,1.0,,,
7,Настоящее,Зависимость от цифровых технологий и саморефлексия,"Респондент осознаёт свою зависимость от смартфона и соцсетей, отмечает автоматизм использования Telegram, выражает недовольство этим и мечтает о жизни без интернета.","Даже куда-куда-то еду, там что-то это, залезаешь в Телеграм автоматически... Шалаш выстроить в лесу и уехать туда.","Недовольство, ирония","Автономия, осознанность","Респондент рефлексирует над цифровой зависимостью, что характерно для людей, переживших аналоговую эпоху. Присутствует желание к цифровому детоксу.",декларация,,1.0,,,
8,Последний год,Ключевые изменения в жизни: уход с работы и личностный рост,"Впервые в жизни респондент ушла с работы по собственному желанию, обрела новых ценных людей, финансовую подушку, отмечает личностный рост и переосмысление себя.","Может, были какие-то события, которые первое свое заявление об уходе с работы по собственному желанию. Вообще первое заявление в жизни об уходе с работы.","Освобождение, удовлетворение, осторожный оптимизм","Самостоятельность, личностный рост, финансовая независимость","Событие ухода с работы по собственному желанию — важный этап взросления и обретения контроля над жизнью. Формируется новая идентичность, усиливается субъектность.",перелом,,1.0,,"Выход из формального рынка труда, создание финансовой подушки",
9,Настоящее и взгляд в будущее,Отношение к будущему страны и личному будущему,"Респондент с осторожным оптимизмом смотрит в будущее, осознаёт риски политических перемен, но считает, что её личное будущее зависит только от неё самой.","Всегда от меня, только от меня. Я гибка к изменению обстоятельств, и я всегда в изменении обстоятельств вижу не яму, а просто надо найти возможности.","Уверенность, реализм, осторожность","Гибкость, самостоятельность, ответственность","Респондент демонстрирует индивидуалистскую установку, свойственную современному городскому среднему классу, при этом сохраняет тревожность по поводу будущего страны.",декларация,,1.0,,,
10,"Настоящее, зрелость",Жизненные принципы и ощущение счастья,"Респондент живёт в согласии с собой, ощущает себя счастливым человеком, уверена в своих силах и способности заработать, ценит простые радости жизни.",Я живу в согласии и понимании самой себя. Я счастливый человек. Просто счастье у всех разное.,"Гармония, удовлетворённость","Самоценность, независимость, любовь к жизни","Высокий уровень рефлексии и принятия себя, характерный для зрелого возраста. Сформированная идентичность и внутренняя опора.",декларация,,1.0,,,
11,"Зрелость, ретроспектива",Оценка жизненного пути и принятие прошлого,"Респондент не жалеет о пройденном пути, считает, что именно он сформировал её ценность как личности.","Нет. Я с годами понимаю собственную ценность, именно пройдя тот путь, который я прошла.","Принятие, благодарность","Самоценность, опыт",Принятие прошлого и отсутствие сожалений — признак зрелой идентичности и внутренней гармонии.,декларация,,1.0,,,
12,"Детство, травматический опыт",Переживание смерти отца и влияние на личность,"В детстве респондент пережила смерть отца, что стало травматическим опытом и долгое время влияло на её внутренний мир.","Отец умер в постели со мной, и эта смерть была, это прям, ну... От этого я избавлялась в определенные вещи.","Грусть, боль, рефлексия","Семья, память, преодоление","Травматический опыт в детстве оказывает длительное влияние на личность, формирует отношение к жизни и смерти, влияет на выбор партнёров и эмоциональную сферу.",узел,,1.0,,,
13,"Настоящее, зрелость",Восприятие смерти и силы воли,"Респондент размышляет о смерти, приводит пример подруги, которая борется с онкологией, отмечает силу воли и переоценку ценностей в таких ситуациях.","У нее четвертая стадия саркома. Она живет уже в ремиссии четвертый год. Это, наверное, то чудо, когда сила... желание, ну, наверное, побеждает либо отсрачивает всё.","Восхищение, уважение, переоценка","Сила духа, желание жить, переосмысление ценностей",Личные истории борьбы с болезнью становятся для респондента источником вдохновения и переосмысления жизненных приоритетов.,эпизод,"Онкологический центр «Песочная», Санкт-Петербург",1.0,,,
14,"Настоящее, завершение интервью",Рефлексия по поводу интервью и открытость,"Респондент отмечает комфорт и открытость в беседе, готовность обсуждать даже интимные темы, благодарит интервьюера.","Есть очень мало тем, которые для меня на текущий момент дискомфортны. Даже если бы вы полезли в очень интимное, я бы рассказала.","Доверие, благодарность","Открытость, искренность",Высокий уровень доверия к интервьюеру и готовность к самораскрытию свидетельствуют о сформированной идентичности и психологической зрелости.,декларация,,1.0,,,
1,"Завершение интервью, рефлексия над опытом участия",Оценка интервью и его структуры,"Респондент отмечает, что интервью было составлено интересно и охватило практически все сферы жизни, кроме интимных. Подчеркивает широту охвата и благодарит за участие.","И здесь было затронуто, в принципе, все сферы жизни. Ну, практически. Конечно, здесь еще есть сферы жизни, которые не были затронуты. Это, как вы сказали, интимные.","Благодарность, удовлетворение, интерес","Открытость, широта взглядов, признание важности разных сфер жизни","Респондент демонстрирует рефлексивность и способность оценивать исследовательский процесс, что говорит о высоком уровне вовлеченности и осознанности.",декларация,,1.0,,,
2,Профессиональная саморефлексия,Профессиональное общение и вовлечение,"Респондент размышляет о своем профессиональном опыте общения с незнакомыми людьми, отмечая, что вовлечение в моменте и профессиональный интерес делают длительное интервью незаметным по времени.","Профессионально у меня скорее общение с совершенно незнакомым человеком, вовлечение в моменте. Ну, это просто моя мысль в голове.","Профессиональный интерес, спокойствие","Профессионализм, вовлеченность, открытость новому опыту","Отражает важность профессиональных навыков коммуникации и умения находить интерес в новых контактах, что может быть характерно для представителей определённых профессий (например, HR, психология, исследовательская деятельность).",декларация,,1.0,,,
3,Рефлексия над значимостью человеческих контактов,Важность общения и эмоционального контакта,"Респондент подчеркивает значимость опыта общения с разными людьми, отмечает эмоциональный контакт, возникший в ходе интервью, и благодарит за доверие.","Да, и опыт общения с людьми, он вообще колоссально важен, для меня важен вообще в принципе. Это опыт с разными людьми.","Теплота, благодарность, удовлетворение","Человеческое общение, эмоциональная близость, доверие","Демонстрирует ценность межличностных связей и эмоционального обмена, что может быть связано с личностными особенностями или профессиональной деятельностью, ориентированной на людей.",декларация,,1.0,,,
4,Городская идентичность и культурные предпочтения,Связь с городом и культурными местами,"Респондент упоминает значимые для себя места — Санкт-Петербург, Кронштадт, Молодежный театр на Фонтанке, советует их посетить, подчеркивая их важность для личной идентичности.","И очень рада, что вот так получилось, что здесь были затронуты мои моменты такие, и Санкт-Петербург, и Кронштадт. ... Молодежка это must have. Вот вы меня вспомните.","Гордость, радость, энтузиазм","Культурная принадлежность, любовь к городу, эстетические предпочтения",Указывает на формирование городской идентичности и значимость культурных пространств как элементов самоидентификации.,эпизод,Молодежный театр на Фонтанке,1.0,,,
005,Философская рефлексия,Случайности и судьба,"Респондент выражает убеждение, что в жизни ничего не бывает случайно, подчеркивая значимость каждого события.","В этой жизни ничего случайного не бывает, Вероника.","Уверенность, философское принятие","Судьба, осмысленность происходящего","Отражает экзистенциальную установку, свойственную людям, склонным к рефлексии и поиску смысла в событиях жизни.",декларация,,1.0,,,
