id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
14,Зрелый возраст,Восприятие распределения бюджетных средств и коррупции,"Респондент считает, что распределение средств зависит от личных связей, а коррупция существует, но доказать ее сложно.","Все зависит от личного, как бы, ну, не государственный вопрос. Не по государственному вопросу решается, а решается вопрос по личным связям этого такого.","Скепсис, недоверие","Справедливость, честность","Восприятие коррупции как неотъемлемой части системы, ощущение бессилия перед ней.",декларация,,,,,
15,Зрелый возраст,Социальная политика и поддержка участников боевых действий,"Респондент считает, что государство должно решать социальные вопросы, но на практике поддержка участников боевых действий формальна и недостаточна.","Государство отворачивает. Хотя формально они признают только, что мы готовы обслуживаться.","Разочарование, обида","Справедливость, забота о людях","Ожидания социальной поддержки не реализуются, что усиливает отчуждение от государства.",эпизод,Социальные службы,,,,
16,Зрелый возраст,Восприятие специальной военной операции (СВО),"Респондент считает, что СВО затянулась из-за плохого планирования, и ее нужно заканчивать. Лично его и его семью события не затронули, но ситуация вызывает тревогу.","Ну, надо заканчивать просто ее, и все. Если уж начали, так надо заканчивать ее. Ну, просто затянули уже процессы.","Тревога, усталость","Рациональность, мир","Война воспринимается как абстрактная угроза, вызывающая тревогу, но не затрагивающая лично.",декларация,,,,,
17,Зрелый возраст,Использование цифровых технологий и социальных сетей,"Респондент активно пользуется социальными сетями (ВКонтакте, Одноклассники, Instagram, Facebook, Telegram, YouTube), публикует фотографии, общается с друзьями, следит за новостями и военными каналами, тратит на это около 3 часов в день.","Мне вообще нравится, почему мне это... Контакт, общение с людьми интересно. То есть я смотрю регулярно, не нравится, удаляю.","Удовлетворение, интерес","Коммуникация, самовыражение, информированность",Цифровая социализация стала важной частью жизни даже для зрелого поколения; соцсети используются для поддержания связей и самопрезентации.,эпизод,,,True,,средний
1,"Современный этап, зрелый возраст",Цифровые привычки и повседневность,"Респондент активно использует мобильные приложения, особенно социальные сети и банковские сервисы. Приложения стали неотъемлемой частью его повседневной жизни.","Мне больше приложение, приложение мне более удобное. ... Положение в контакте я не могу без мигу.","спокойствие, привычность","удобство, технологичность, адаптация к современности","Респондент демонстрирует высокий уровень цифровой грамотности и интеграции в цифровую экономику, что характерно для городских жителей среднего и старшего возраста.",эпизод,"банки, социальные сети",,активное использование цифровых сервисов,,
2,Современный этап,Финансовое поведение и отношение к платным сервисам,"Респондент использует платные банковские сервисы, ориентируется на выгоды (кэшбэк), но в целом не склонен платить за цифровые продукты, если не видит явной пользы.","Ну, платная Тинькофф Про у меня есть. ... Это в банке дает как бы больше.",прагматизм,"выгода, рациональность, экономия","Прагматичный подход к платным сервисам отражает типичное поведение зрелых пользователей, для которых важна ощутимая отдача от расходов.",эпизод,банки,,платные подписки,,
3,Современный этап,Отношение к искусственному интеллекту и новым технологиям,"Респондент пробовал использовать нейросети, но не готов платить за их полноценное использование. Испытывает скепсис по поводу влияния ИИ на традиционные профессии, в частности фотографию.","Единственное, что мне не нравится, что там всё платное. ... Фотография исчезнет как бизнес, а станет как хобби.","настороженность, скепсис","экономия, традиционализм, осторожность","Респондент выражает опасения по поводу вытеснения традиционных профессий технологиями, что характерно для представителей профессий, подверженных автоматизации.",узел,,,ограниченное участие в новых цифровых сервисах,,
4,Современный этап,Досуг и компьютерные игры,"Респондент играет в компьютерные игры, предпочитает взаимодействие с реальными людьми, не склонен тратить деньги на внутриигровые покупки, предпочитает зарабатывать игровые ресурсы самостоятельно.","Мне нравится, что я играю не с компьютером, а играю с людьми, которые на компьютере сидят.","интерес, вовлечённость","социальность, самостоятельность, экономия","Игры становятся способом поддержания социальных связей и досуга, при этом сохраняется ориентация на самостоятельность и минимизацию расходов.",эпизод,,,игровые сервисы (без вложений),,
5,Современный этап,Влияние технологий на общение и семейную жизнь,"Респондент отмечает снижение личного общения из-за цифровых технологий, но конфликтов в семье на этой почве не возникает. Считает, что технологии скорее отдаляют людей.","Ну потому что как-то пропадает общение личное. ... Технологии отдаляют друг от друга. Люди становятся мало общительными вживую, становятся больше роботами.","некоторая тревога, ностальгия","живое общение, семейные отношения, традиции","Ностальгия по советским временам и критика цифровизации типичны для старших поколений, испытывающих дефицит офлайн-коммуникации.",узел,,False,,,
6,"Современный этап, последний год",Изменения и события последнего года,"За последний год респондент совершил крупные покупки (машина, беседка на даче), но не отмечает значимых эмоциональных событий.",Машину купил. И ветерку поставил.,"удовлетворение, спокойствие","стабильность, материальное благополучие",Крупные покупки выступают маркерами стабильности и успеха для представителей среднего класса.,эпизод,,,"автомобильный рынок, рынок недвижимости/дачных участков",,
7,"Современный этап, ближайшее будущее",Планы и ожидания,"Респондент планирует поездку в санаторий, считает, что его будущее зависит в первую очередь от собственных решений.",Конаторий спланировал в сентябре. ... Но в моих решениях.,"уверенность, спокойствие","самостоятельность, забота о здоровье","Планирование отдыха и вера в личную ответственность за будущее характерны для зрелых, социально адаптированных людей.",декларация,санаторий,,,,
8,"Современный этап, рефлексия",Жизненные принципы и ценности,"Главной ценностью респондент считает поддержку родственников, отмечает, что старается смотреть на жизнь с оптимизмом, хотя сам склонен к пессимизму.","Поддержка родственников, в первую очередь. ... Жена говорит, что я пессимист по жизни.","саморефлексия, лёгкая грусть","семья, поддержка, оптимизм",Семейные ценности и стремление к гармонии в отношениях остаются ключевыми для респондента.,декларация,,,,,
9,"Современный этап, рефлексия",Смысл жизни и жизненный путь,"Респондент считает смыслом жизни — выжить, отмечает, что иногда задумывается о правильности выбранного жизненного пути, но не жалеет о прошлом.","Смысл жизни, наверное, выжить в этой жизни, вот это вот и есть смысл жизни. ... Может быть, я неправильно выбрал свой жизненный путь.","рефлексия, лёгкая неудовлетворённость","выживание, принятие, смирение","Рефлексия о смысле жизни и выборе профессии характерна для зрелого возраста, когда подводятся итоги и происходит переоценка ценностей.",узел,,,,,
10,"Современный этап, рефлексия",Страхи и отношение к смерти,"Респондент испытывает страх перед войной, размышляет о смерти, желает, чтобы она была быстрой и безболезненной для себя и близких.","Ну, страхи, что война придет к нам. ... Хотелось бы, чтобы это было безболезненно.","тревога, принятие","безопасность, забота о близких","Страхи, связанные с войной и смертью, усилились в последние годы и отражают общий уровень тревожности в обществе.",декларация,,,,,
011,"Современный этап, завершение интервью",Рефлексия по поводу интервью,"Респондент отмечает, что вопросы интервью заставили его задуматься о себе, возникли новые вопросы к себе, чувствует усталость, но благодарен за опыт.","Ваши вопросы, они задают вопросы мне самому. ... Грусть, усталость. Я наелся уже.","усталость, благодарность, лёгкая грусть","саморефлексия, открытость","Длительные интервью могут вызывать усталость, но также способствуют саморефлексии и переосмыслению жизненного опыта.",эпизод,,,,,
